Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[HT] Intermediate, OI",Sunsprite Madeira,JAMES ALLISTON,31,0,2.4,0,0,33.4,1,6.0
"[HT] Intermediate, OI",Ebay,HELEN ALLISTON,35.6,0,5.6,0,0,41.2,2,5.0
"[HT] Intermediate, OI",Aerolite,DANA CHASE,39.2,0,1.2,0,5,45.4,3,4.0
"[HT] Intermediate, OI",Soaring Bird,REBECCA BRAITLING,35.4,0,10.8,0,0,46.2,4,0.0
"[HT] Intermediate, OI",Vinetta M,MARISSA NIELSEN,40.8,0,6.4,0,0,47.2,5,0.0
"[HT] Intermediate, OI",Arnell's Dinero,REBECCA BRAITLING,37.5,20,14.8,0,0,72.3,6,0.0
"[HT] Intermediate, OI",Code of Conduct,DAVID W. ACORD,34.6,0,18.4,20,25,98,7,0.0
"[HT] Intermediate, OI",Sasha Fierce,DAVID W. ACORD,45.4,60,R,R,R,R,R,R
"[FEH] 2 Year-old, FEH-2",Hallelujah DF,JENNIFER MCFALL,,,,,,,80.25,1
"[FEH] 2 Year-old, FEH-2",Ariel,GALE MCCREARY,,,,,,,73.9,2
"[FEH] 2 Year-old, FEH-2",Escher DFEN,MAX GERDES,,,,,,,69.6,3
"[FEH] 2 Year-old, FEH-2",RubiconsMoonBandit,MEGAN BITTLE,,,,,,,62.05,4
"[FEH] 3 Year-old, FEH-3",Bodega Sky,NATALIE BRADY,,,,,,,67.75,1
"[FEH] 3 Year-old, FEH-3",Rubicons Hero,MEGAN BITTLE,,,,,,,66.3,2
"[FEH] Yearling, FEH-Year",Bayside Boulevard,TRACY ALVES,,,,,,,79.3,1
"[FEH] Yearling, FEH-Year",BlueDreamin CMeFly,MEGAN BITTLE,,,,,,,74.2,2
"[FEH] Yearling, FEH-Year",Bounce DFEN,MAX GERDES,,,,,,,73.53,3
"[FEH] Yearling, FEH-Year",Iluminada,EARL MCFALL,,,,,,,69.85,4
"[HT] Preliminary, OP",Cooley President,JAMES ALLISTON,24.1,0,0,0,0,24.1,1,6.0
"[HT] Preliminary, OP",Feisty Belle,JAMES ALLISTON,26.8,0,0,0,0,26.8,2,5.0
"[HT] Preliminary, OP",Woodford Reserve,ERIN R. KELLERHOUSE,27.7,0,0,0,0,27.7,3,4.0
"[HT] Preliminary, OP",Otter Pop,AMBER BIRTCIL,29.3,0,0,0,0,29.3,4,0.0
"[HT] Preliminary, OP",Duck Dynasty,MADISON TEMKIN,30,0,2.4,0,0,32.4,5,0.0
"[HT] Preliminary, OP",En Vogue,BELLA MOWBRAY,29.6,0,4,0,0,33.6,6,0.0
"[HT] Preliminary, OP",Cinzano,AMBER BIRTCIL,29.8,0,2.4,4,0,36.2,7,0.0
"[HT] Preliminary, OP",Dr. Hart,MADISON TEMKIN,34.8,0,2,0,0,36.8,8,0.0
"[HT] Preliminary, OP",Stoneman,JENNIFER MCFALL,31.8,0,7.2,4,0,43,9,0.0
"[HT] Preliminary, OP",Miss Fantastic,LOGAN E. BEARDEN,35.5,0,6.8,4,0,46.3,10,0.0
"[HT] Preliminary, OP",Easy A,TAREN HOFFOS,28.2,0,15.2,4,0,47.4,11,0.0
"[HT] Preliminary, OP",My Versace,OLIVIA A. BYRON-COOPER,35.5,0,9.2,8,0,52.7,12,0.0
"[HT] Preliminary, OP",Charlotte,JENNIFER L. MCRONALD,27.1,20,16.8,16,0,79.9,13,0.0
"[HT] Preliminary, OP",Be Real,JENNIFER MCFALL,31.8,W,W,W,W,W,W,W
"[HT] Preliminary, PR",Pride,TERALYN LALIBERTE,38,0,0,0,0,38,1,6.0
"[HT] Preliminary, PR",The Alchemist,JEANETTE M. GILBERT,40,0,0,0,0,40,2,5.0
"[HT] Preliminary, PR",Louis Vuitton,LAUREN LOCKWOOD,31.8,0,6.4,4,0,42.2,3,4.0
"[HT] Preliminary, PR",Vice Commander,KRISTIN JOLY,31.8,0,7.6,4,0,43.4,4,0.0
"[HT] Preliminary, PR",Tropic Star,CAROLINE M. DEIN,40.7,0,7.2,0,0,47.9,5,0.0
"[HT] Preliminary, PR",Sam Adams,JESSICA M. MASTERS,42.3,0,0,8,0,50.3,6,0.0
"[HT] Preliminary, PR",Catchy One-liner,BARBARA SLAUGHTER,35,0,16,0,0,51,7,0.0
"[HT] Preliminary, PR",High In The Air,STEPHANIE NICORA,39.3,0,8,4,2,53.3,8,0.0
"[HT] Preliminary, PR",Diablo Tejano,DAWN R. SCOTT,27.7,0,7.6,8,15,58.3,9,0.0
"[HT] Preliminary, PR",Kaala Jaadu,BRIANNA MARONEY,31.1,0,38.8,4,0,73.9,10,0.0
"[HT] Preliminary, PR",Falkonet,LESLIE LABRAQUE,27.3,20,RF,RF,RF,RF,RF,RF
"[HT] Training, JTR",Orion's Sweet Rubio,HALEY TURNER,34.6,0,0,0,0,34.6,1,7.0
"[HT] Training, JTR",Pikture This,KAYLA BIERMAN,35.5,0,0,0,0,35.5,2,6.0
"[HT] Training, JTR",Princess Magnifique,CALLAN WEISS,40.9,0,0,0,0,40.9,3,5.0
"[HT] Training, JTR",Remington Steele,SOPHIE HORN,42.5,0,0,0,0,42.5,4,4.0
"[HT] Training, JTR",Kilcurry Springfield,KATIE DILLON,40.7,0,2,0,0,42.7,5,3.0
"[HT] Training, JTR",Rochambeau,ASHLEY LONG,40.2,0,0,4,0,44.2,6,0.0
"[HT] Training, JTR",Frankie,RACHAEL MILLER,37.5,0,4.4,4,0,45.9,7,0.0
"[HT] Training, JTR",Marco Q,ELIZABETH MEEHAN,36.4,0,7.6,4,0,48,8,0.0
"[HT] Training, JTR",Talladega,KATIE LAFATA,34.6,0,16.8,0,0,51.4,9,0.0
"[HT] Training, JTR",Tivoli,KELSEY BLASHYN,49.8,0,3.2,4,0,57,10,0.0
"[HT] Training, JTR",Paint By Numbers,DEVON HUGHES,37.7,0,14,4,2,57.7,11,0.0
"[HT] Training, JTR",Contigo,ALEXIS CONCOLINO,35,20,4,4,0,63,12,0.0
"[HT] Training, JTR",Spitfire DF,TAYLOR MCFALL,52.7,0,0,8,3,63.7,13,0.0
"[HT] Training, JTR",Millridge Socrates,EMMA MEEHAN,46.8,0,23.2,0,0,70,14,0.0
"[HT] Training, JTR",Maradona,KATHERINE PAPAHADJOPOULOS,38.2,20,10.4,8,0,76.6,15,0.0
"[HT] Training, JTR",Stonehavens Royal Touch,TESS MOLINAR,36.1,20,19.6,4,0,79.7,16,0.0
"[HT] Training, JTR",Elfenwind,MADDIE SMITH,40,60,24,0,0,124,17,0.0
"[HT] Training, JTR",American Tribute,HALEY PROVENCHER,38.2,20,RF,RF,RF,RF,RF,RF
"[HT] Training, JTR",Dancing Diva,AMITY HEJINIAN,37.5,0,0,E,E,E,E,E
"[HT] Training, OT",Leaps and Bounds,JOSEPH P. MCKINLEY,31.8,0,0.4,0,0,32.2,1,6.0
"[HT] Training, OT",Call Me Hobbes,DELANEY VADEN,32.7,0,0.4,0,0,33.1,2,5.0
"[HT] Training, OT",Cassio's Picasso,JAMES ALLISTON,30.7,0,4.4,0,0,35.1,3,4.0
"[HT] Training, OT",Concer,AMBER BIRTCIL,32.5,0,0,4,0,36.5,4,3.0
"[HT] Training, OT",Ard Cooley,SIGOURNEY JELLINS,37.5,0,0,4,0,41.5,5,2.0
"[HT] Training, OT",Fernhill Harry,DANIELLE MCKINLEY,32.3,0,1.6,8,0,41.9,6,0.0
"[HT] Training, OT",Paloalto,BECKY LEISZ,38.2,0,5.6,0,0,43.8,7,0.0
"[HT] Training, OT",Carra Clover Princess,CHRISTINE POULOS,39.1,0,4.8,0,0,43.9,8,0.0
"[HT] Training, OT",Call It Magic,JENA TASSONE,30.2,0,12,4,0,46.2,9,0.0
"[HT] Training, OT",Western Samurai,ERIN R. KELLERHOUSE,35.7,0,10.8,0,0,46.5,10,0.0
"[HT] Training, OT",Dakota,WHITNEY TUCKER BILLETER,33.6,60,24.8,0,0,118.4,11,0.0
"[HT] Training, OT",Firebolt,JOHN STRASSBURGER,40,0,0,W,W,W,W,W
"[HT] Training, OT",TF Estrellita,GINA RUTH,41.1,60,RF,RF,RF,RF,RF,RF
"[HT] Training, STR",Live Action,SARAH P. BURTIS,28.2,0,0,0,0,28.2,1,6.0
"[HT] Training, STR",Kiva,SARAH SCHWARZER,32.5,0,0,0,0,32.5,2,5.0
"[HT] Training, STR",With Bells On,ALICE VON STADEN,33.6,0,0.8,0,0,34.4,3,4.0
"[HT] Training, STR",Wimbledon Star,DAELYN CHASE,35.5,0,0,0,0,35.5,4,3.0
"[HT] Training, STR",DVF Caliente Creek,WHITNEY C. TOMPKINS,35.9,0,4,0,0,39.9,5,2.0
"[HT] Training, STR",Cheyenne,ALYSIA DELEEUW,41.6,0,0,0,0,41.6,6,0.0
"[HT] Training, STR",Leo,LIBBY PORZIG,36.8,0,6.8,0,0,43.6,7,0.0
"[HT] Training, STR",Lismakeera Bilbo,STEVE ROON,31.6,0,15.2,0,1,47.8,8,0.0
"[HT] Training, STR",Williamson,TRACY ALVES,40.7,0,13.2,0,0,53.9,9,0.0
"[HT] Training, STR",E'zara,GINA RUTH,44.8,0,23.6,0,0,68.4,10,0.0
"[HT] Training, STR",Willett,PASCALE MELLONI,43,20,7.6,0,0,70.6,11,0.0
"[HT] Training, STR",Lakota,EMILY N. STEEMERS,35.2,20,19.2,4,0,78.4,12,0.0
"[HT] Training, STR",Business Class,ELIZABETH JIMISON,33.4,0,13.2,2,4,292.6,13,0.0
"[HT] Training, STR",Lestat,CRAIG SUGLIAN,48.9,0,27.2,8,24,108.1,14,0.0
