Division,Horse,Rider,Dressage,XC_Jump_Pen,XC_Time_Pen,SJ_Jump_Pen,SJ_Time_Pen,Final_Score,Rank
"Intermediate, I:OPEN","Jasmine X","MATTHEW R. BROWN",29.7,0,0,0,0,29.7,1
"Intermediate, I:OPEN","King Street","TIANA COUDRAY",31.4,0,2.4,0,0,33.8,2
"Intermediate, I:OPEN","Ballinakill Glory","KELLY PRATHER",34.5,0,0,0,0,34.5,3
"Intermediate, I:OPEN","Lady Calido","ROBYN FISHER",31.4,0,0,4,0,35.4,4
"Intermediate, I:OPEN","Gin & Juice","HAWLEY BENNETT-AWAD",34.1,0,0,4,0,38.1,5
"Intermediate, I:OPEN","Kildare Cavalier","DEREK DI GRAZIA",33.8,0,0.8,8,0,42.6,6
"Intermediate, I:OPEN","McTwist","JESSICA MONTGOMERY",41.4,0,7.2,0,0,48.6,7
"Intermediate, I:OPEN","Indego","JENNIFER T. KELLY",31.7,0,15.6,4,0,51.3,8
"Intermediate, I:OPEN","Finnegan's Wake","MAGGIE BRONSON",42.1,0,6,4,0,52.1,9
"Intermediate, I:OPEN","Wonder Not","ALANA AMACK",36.9,0,3.2,12,0,52.1,9
"Intermediate, I:OPEN","Sherwood","MORGAN ROUNDTREE",41.1,0,14.4,4,0,59.5,11
"Intermediate, I:OPEN","San Salvador","FIONA ALLEN",38.3,40,16.8,0,0,95.1,12
"Intermediate, I:OPEN","Teddy","CARRIE CARSTAIRS",38.3,60,17.2,24,0,139.5,13
"Intermediate, I:OPEN","Star Edition","LAUREN BROOKE",40.3,80,26.8,8,0,155.1,14
"Intermediate, I:OPEN","Balabooga Brawley","GREGORY STRITZEL",34.8,80,29.6,16,4,164.4,15
