Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[HT] Advanced/Intermediate, AI",Elle,MEGAN MCIVER,36.8,0,1.6,4,0,42.4,1,
"[HT] Advanced/Intermediate, AI",Bittersweet 2,JOSH BARNACLE,34.8,0,5.2,12,3.6,55.6,2,
"[HT] Advanced/Intermediate, AI",Quintessence,MEGAN MCIVER,42.7,20,12.8,4,2.8,82.3,3,
"[HT] Advanced/Intermediate, AI",Cinzano,AMBER BIRTCIL,35,20,TE,TE,TE,TE,TE,
"[HT] Intermediate, OI",Can Be Sweet,LAUREN BILLYS SHADY,31.8,0,3.6,0,3.2,38.6,1,
"[HT] Intermediate, OI",Diego,LAUREN LOPICCOLO,27.3,0,1,2,4,41.6,2,
"[HT] Intermediate, OI",Isi,ASIA H. VEDDER,28.6,0,9.6,12,0.4,50.6,3,1-6.0
"[HT] Intermediate, OI",Ard Cooley,SIGOURNEY JELLINS,41.6,60,E,E,E,E,E,
"[HT] Intermediate, OI",Carolina Morning,STEPHANIE GOODMAN,39.8,80,R,R,R,R,R,
"[HT] Preliminary, OP",Electric Daisy,BARBARA CRABO,24.5,0,6.4,0,0,30.9,1,
"[HT] Preliminary, OP",Skyrise,JOSH BARNACLE,27.6,0,0,4,1.2,32.8,2,
"[HT] Preliminary, OP",Kapitan Sparrow XII,MEGAN MCIVER,31.7,0,2.4,0,0,34.1,3,
"[HT] Preliminary, OP",Versace,MADDIE SMITH,35.5,0,0,0,0,35.5,4,1-6.0
"[HT] Preliminary, OP",Kilbunny Amigo,HAILEY BLACKBURN,31.2,0,0,4,0.4,35.6,5,2-5.0
"[HT] Preliminary, OP",Woodland's Be Dignified,SAMI CLARK,31.7,0,6.8,0,1.6,40.1,6,3-4.0
"[HT] Preliminary, OP",Swope,JOSEPH P. MCKINLEY,33.8,0,4.4,8,0,46.2,7,
"[HT] Preliminary, OP",Castle Larchfield Purdy,MADDIE SMITH,30.2,0,7.6,4,4.4,46.2,8,4-3.0
"[HT] Preliminary, OP",Dark Knight Royale,SALLY A. PHILLIPS,48.1,0,0,0,0,48.1,9,5-0.0
"[HT] Preliminary, OP",Ixxe Hedoniste,LEAH M. FORQUER,31.9,0,15.2,0,2,49.1,10,6-0.0
"[HT] Preliminary, OP",Daehling Dex,ELLA GARCIA,38.3,0,0,8,6,52.3,11,7-0.0
"[HT] Preliminary, OP",Temprano,ANNA REKRUTIAK,43.1,0,3.2,4,2.4,52.7,12,8-0.0
"[HT] Preliminary, OP",Josephine,KATE MILLER,38.1,0,8.4,4,5.2,55.7,13,9-0.0
"[HT] Preliminary, OP",Remington Excalibur Balladeer,SAVANNAH M. BYRD,39.1,20,31.2,4,0,94.3,14,10-0.0
"[HT] Preliminary, OP",Get Cheeky,ASIA H. VEDDER,25.2,40,R,R,R,R,R,
"[HT] Preliminary, OP",Ozzie,MARISSA NIELSEN,27.4,20,RF,RF,RF,RF,RF,
"[HT] Preliminary, OP",Fernhill and The Jets,MADELYN C. FLOYD,38.1,60,5.2,0,E,E,E,
"[HT] Preliminary, OP",Coco Chanel,SHALLARY GUYMON,41.7,0,R,R,R,R,R,
"[HT] Preliminary, OP",Elwenda DP,STEPHANIE GOODMAN,19.8,20,RF,RF,RF,RF,RF,
"[HT] Training, JTR",Duke HW,MIA BROWN,28.6,0,0,0,0,28.6,1,
"[HT] Training, JTR",Annabell,RANEY V. WOLFERS,35.5,0,1.2,4,3.6,44.3,2,
"[HT] Training, JTR",Prouno,ELLIE SPURLOCK,34.5,0,12,4,0,50.5,3,
"[HT] Training, JTR",Patito,EMMA SLOCUM,28.3,20,8.4,0,0,56.7,4,
"[HT] Training, JTR",Supah Heat,ISABELLA DEGNER,29.5,20,8,4,0,61.5,5,
"[HT] Training, JTR",Sir Lancelot,AUDREY I. TRILLING,35.7,20,9.6,0,0,65.3,6,
"[HT] Training, JTR",Johnny Royal,ANNA G. WESTON SMITH,30.7,20,13.2,8,0.4,72.3,7,
"[HT] Training, JTR",Duke's Helios,ANNA G. BROSTROM,30,40,16,8,2,96,8,
"[HT] Training, JTR",Balladeer Kilbrickens Lad,STELLA WRIGHT,28.8,--,W,8,5.2,W,W,
"[HT] Training, JTR",A Golden Effort,CLAIRE MATSON,37.9,80,E,8,0,E,E,
"[HT] Training, JTR",Storm Watch,NATALIE BARTON,31.2,--,--,W,W,W,W,
"[HT] Training, JTR",I Love Lucy,PAIGE BEAUCHAMP CRANDON,30.5,--,--,0,E,E,E,
"[HT] Training, OT",Cappachina,TOMMY M. GREENGARD,21.9,0,0,0,0,21.9,1,
"[HT] Training, OT",Fancy Feet II,MARGOT E. CHANDLER,24.5,0,0,0,0,24.5,2,
"[HT] Training, OT",Lowmax,NICHOLAS B. CWICK,26.7,0,0,0,0.8,27.5,3,
"[HT] Training, OT",Kremer VD Falieberg,TOMMY M. GREENGARD,22.9,0,0,8,0.8,31.7,4,
"[HT] Training, OT",Lucca Bravo,ALEXIS A. HELFFRICH,31.9,0,0,0,0,31.9,5,
"[HT] Training, OT",Viva La Vida,SOPHIE TICE,33.1,0,0.4,0,0,33.5,6,1-7.0
"[HT] Training, OT",Piccadilly's Pride M.E.,NICHOLAS B. CWICK,31.7,0,2.8,0,1.6,36.1,7,
"[HT] Training, OT",Libris Charlotte,ASHTON B. BENEFIEL,29.3,0,3.2,4,0,36.5,8,2-6.0
"[HT] Training, OT",Infinity,ALINE LE,36,0,20,0,2,38,9,3-5.0
"[HT] Training, OT",Gloriano,JOSH BARNACLE,34.1,0,0.4,4,0,38.5,10,
"[HT] Training, OT",Mischievous,REBECCA E. SEVERT,35,0,0.4,4,0,39.4,11,
"[HT] Training, OT",Modesto RE,TOMMY M. GREENGARD,32.6,0,0,8,0,40.6,12,
"[HT] Training, OT",I.M. Over It,BARBARA CRABO,38.6,0,3.6,0,0.4,42.6,13,
"[HT] Training, OT",Starting Over,JOSEPH P. MCKINLEY,39.3,0,0,4,0,43.3,14,
"[HT] Training, OT",Oliver,JENNIFER L. MCRONALD,30,0,10.4,4,0,44.4,15,
"[HT] Training, OT",Dubaï,GRAYSON POULOS,28.8,0,15.6,4,0.8,49.2,16,
"[HT] Training, OT",Shannondale Fionn,TOMMY M. GREENGARD,26.9,20,2.4,0,0,49.3,17,
"[HT] Training, OT",Athenian Conqueror,KIMBERLEY CASTRO,37.1,0,8.4,4,0,49.5,18,
"[HT] Training, OT",Global Monmore,STEPHANIE GOODMAN,35.5,20,32,4,0.8,92.3,19,
"[HT] Training, OT",Le Top F,AMBER BIRTCIL,31.4,--,W,0,0,W,W,
"[HT] Training, STR",Corlandro Approved,KIRA NIYOGI,31,0,0,0,0,31,1,1-6.0
"[HT] Training, STR",Fix It Felix,RACHEL HARNISH,35.7,0,0,0,0,35.7,2,2-5.0
"[HT] Training, STR",Boundless,TOM TEMMERMAN JR,36,0,0,0,0,36,3,3-4.0
"[HT] Training, STR",Prince Monsajem,KATHERINE SCHULTZ,32.6,0,0,4,0,36.6,4,4-3.0
"[HT] Training, STR",HH Ontario,MICKAYLA HOWARD,31.9,0,5.2,0,1.6,38.7,5,
"[HT] Training, STR",VC Caalif Elmy,CHLOE L. KISCHUK,28.1,0,7.6,4,0,39.7,6,5-2.0
"[HT] Training, STR",Kilcurry Springfield,KATIE DILLON,36.2,0,4,0,0,40.2,7,6-0.0
"[HT] Training, STR",Zahara,CARRIE J. FINNO,31.9,0,10,0,0,41.9,8,7-0.0
"[HT] Training, STR",Baron de Chevalier,SUSANNAH BARD,34.3,0,4.4,4,1.2,43.9,9,8-0.0
"[HT] Training, STR",Mucho Calor,GINA COONS,33.3,20,5.2,12,0,70.5,10,
"[HT] Training, STR",Elfenwind,PEYTON ROGERS,34.3,20,10.8,12,4.4,81.5,11,9-0.0
"[HT] Training, STR",Ringwood Rouge,ISABELLA N. ROBINSON,33.8,20,23.6,8,0.4,85.8,12,
"[HT] Training, STR",Instyle,VIJOA LUCAS RICARDO,37.4,--,12,TE,TE,TE,TE,
"[HT] Training, STR",D'Artiste,VALI FRANK,32.9,80,R,0,0,R,R,
"[HT] Training, TAM",Chosen One DF,AMBER PEARSON,25.7,0,0,0,0,25.7,1,1-5.0
"[HT] Training, TAM",Pride of Tautane,SAMANTHA A. STEWART,25.2,0,3.6,4,0,32.8,2,2-4.0
"[HT] Training, TAM",Excel Star Romeo,JULIE FLETTNER,33.6,0,0,0,0,33.6,3,3-3.0
"[HT] Training, TAM",Graceland's Ladera,CHARLOTTE FREEMAN,33.3,0,0,4,0,37.3,4,4-2.0
"[HT] Training, TAM",Herman,PIPPA MURRAY,27.9,0,10.4,4,4.4,46.7,5,5-1.0
"[HT] Training, TAM",Gandolph The Great,OLGA LONDA,41.4,0,10.8,8,0,60.2,6,6-0.0
"[HT] Training, TAM",VaZoom TW,ALEXANDRA A. LEBOVIC,39.5,20,7.6,4,0,71.1,7,7-0.0
"[HT] Training, TAM",Hillview Quality Control,MICHELLE WAGNER,39.1,60,16.8,8,0,123.9,8,8-0.0
"[HT] Novice, JNR",Jacobite,ELLIE B. RYHORCHUK,21.9,0,0.4,0,0,22.3,1,
"[HT] Novice, JNR",Joshua Tree,FIONA HOLLAND,23.3,0,0,0,0,23.3,2,
"[HT] Novice, JNR",Kingsfield Jasperretto,KAYLEY BATT,25.6,0,0.4,0,0,26,3,
"[HT] Novice, JNR",Armi,SOFIA SETO,26.9,0,0,0,0,26.9,4,
"[HT] Novice, JNR",The Perfect Find,ANNIKA R. FOLEY,28.3,0,0,0,0,28.3,5,
"[HT] Novice, JNR",Paulank Pepper Pot,EMMA R. PISTONE,25,0,0,4,0,29,6,
"[HT] Novice, JNR",California Queen,ADDISON E. MARTIN,30.6,0,0.8,4,0,35.4,7,
"[HT] Novice, JNR",American Tribute,SOPHIA B. HASLEMANN,31.7,0,0,4,0,35.7,8,
"[HT] Novice, JNR",Amos Leigh,OLIVE BEVILACQUA,29.2,0,4.4,4,0,37.6,9,
"[HT] Novice, JNR",Tully Mac's Happy Cinders,ALEXA PAPAHADJOPOULOS,36.9,0,0,0,1.2,38.1,10,
"[HT] Novice, JNR",Do you believe in Magic?,ARIANNA M. VAN KLEECK,33.1,0,0,4,1.2,38.3,11,
"[HT] Novice, JNR",Lacey Monet,LAYLA L. BELL,29.7,0,0.8,8,0,38.5,12,
