Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[HT] Advanced, A",Myelusivedream,KRISTI WALKER,29.4,0,4.8,0,1,35.2,1,12.0
"[HT] Advanced, A",Warrick,JOHN MICHAEL DURR,34.1,0,4.4,0,0,38.5,2,10.0
"[HT] Advanced, A",Eveready II,BARBARA CRABO,33.1,0,6.4,0,0,39.5,3,8.0
"[HT] Advanced, A",Goodknight,JOLIE WENTWORTH,37.2,0,8.4,0,0,45.6,4,0.0
"[HT] Advanced, A",Nabouco De Lessay,JENNIFER WOOTEN - MACOUZET,34.7,0,18.8,4,2,59.5,5,0.0
"[HT] Advanced, A",In A Dream,EARL MCFALL,E,0,0,0,0,EE,EE,
"[HT] Intermediate, OI",Oz The Tin Man,KATHERINE GROESBECK,31.6,0,0,0,0,31.6,1,12.0
"[HT] Intermediate, OI",Lad's Night Out,BEA DI GRAZIA,28.4,0,4.4,0,0,32.8,2,10.0
"[HT] Intermediate, OI",Governess,JOLIE WENTWORTH,36,0,5.2,4,0,45.2,3,8.0
"[HT] Intermediate, OI",Oz Poof of Purchase,KATHERINE GROESBECK,33.2,0,0,12,3,48.2,4,0.0
"[HT] Intermediate, OI",Parfait,ERIN R. KELLERHOUSE,39.2,0,10,4,1,54.2,5,0.0
"[HT] Intermediate, OI",Sanssouci,YVES SAUVIGNON,40,0,16.8,8,0,64.8,6,0.0
"[HT] Intermediate, OI",,Unknown,47.6,0,12.8,12,0,72.4,7,
"[HT] Intermediate, OI",Forgotten Emblem,SHANNON P. LILLEY,44.8,20,10.4,0,0,75.2,8,0.0
"[HT] Intermediate, OI",Timber Lane,TINA WATERS,38.4,80,R,0,0,RR,RR,
"[HT] Intermediate, OI",Pierre,ALEXANDRA KNOWLES,35.6,60,E,0,0,EE,EE,
"[HT] Intermediate, OI",Dantonesque,KAYLA BIRD,43.2,100,E,0,0,EE,EE,
"[HT] Preliminary, OP",Ballingowan Pizazz,SHANNON P. LILLEY,25.5,0,0,0,0,25.5,1,6.0
"[HT] Preliminary, OP",Annie Oakley III,SAMANTHA A. STEWART,37.7,0,0,0,0,37.7,2,5.0
"[HT] Preliminary, OP",House Music,SIGOURNEY JELLINS,36.4,0,4.4,0,0,40.8,3,4.0
"[HT] Preliminary, OP",Raquel,MADISON REEB,35.9,0,5.2,0,0,41.1,4,3.0
"[HT] Preliminary, OP",Rubiginous,GINA ECONOMOU,35,0,17.6,0,0,52.6,5,2.0
"[HT] Preliminary, OP",Indy 500,ANDREA BAXTER,36.4,0,0,8,16,60.4,6,1.0
"[HT] Preliminary, OP",Firebolt,JOHN STRASSBURGER,32.7,20,7.2,20,0,79.9,7,0.0
"[HT] Preliminary, OP",Bellissimo,CAMILLE POWELL,32.3,20,16.8,8,10,87.1,8,0.0
"[HT] Preliminary, OP",Lincoln's Copper Penny,EMMA DEANE,42.7,40,26.8,0,1,110.5,9,0.0
"[HT] Preliminary, OP",Lucky Folly,PENELOPE KOJIMA,45.9,60,40.4,4,1,151.3,10,0.0
"[HT] Preliminary, OP",Weimar,BRYNN LITTLEHALE,41.4,80,E,0,0,EE,EE,
"[HT] Preliminary, OP",Smurf,GINA O. MILES,33.2,80,E,0,0,EE,EE,
"[HT] Preliminary, OP",Aida,MATTHEW R. BROWN,30,40,27.6,0,0,WWW,WWW,
"[HT] Preliminary, PH",Roxabelle,ERIN R. KELLERHOUSE,30.9,0,0,0,0,30.9,1,6.0
"[HT] Preliminary, PH",High Times,JENNIFER MCFALL,33.7,0,0.4,0,0,34.1,2,5.0
"[HT] Preliminary, PH",,SANDRA DONNELLY,36.1,0,0,0,0,36.1,3,
"[HT] Preliminary, PH",Sunrijse Sonata,GINA ECONOMOU,36.6,0,0,0,0,36.6,4,0.0
"[HT] Preliminary, PH",Jefferson,NATALIE BRADY,34.2,0,2.4,0,0,36.6,5,0.0
"[HT] Preliminary, PH",Ballyquinn,JOLIE WENTWORTH,38.5,0,0,0,0,38.5,6,0.0
"[HT] Preliminary, PH",Othello's Fogata,AUBURN EXCELL BRADY,35.9,0,0,4,0,39.9,7,0.0
"[HT] Preliminary, PH",Caboose,AUBURN EXCELL BRADY,38.1,0,0,4,0,42.1,8,0.0
"[HT] Preliminary, PH",Alesi,GINA O. MILES,45.2,0,0,0,0,45.2,9,0.0
"[HT] Preliminary, PH",Vanador PR,REBECCA BRAITLING,40.5,0,2.4,4,0,46.9,10,0.0
"[HT] Preliminary, PH",Santini,DANIELLE DOWNING,44.2,0,0,4,0,48.2,11,0.0
"[HT] Preliminary, PH",Auburn Labs Patronus,GINA O. MILES,33.7,0,0,12,10,55.7,12,0.0
"[HT] Preliminary, PH",Fuerst Nino R,ANDREA BAXTER,40.2,20,2.8,0,0,63,13,0.0
"[HT] Preliminary, PH",Bridon Beale Street,JOHN MICHAEL DURR,44.2,0,0,24,0,68.2,14,0.0
"[HT] Preliminary, PR",Cavallino Cocktail,ZACHARY BRANDT,33.7,0,0,0,0,33.7,1,6.0
"[HT] Preliminary, PR",Flashpoint D,KAITLIN L. VELTKAMP,41.1,0,0,0,0,41.1,2,5.0
"[HT] Preliminary, PR",Worthy Opponent V.E.,DANA J. ESTES,35.9,0,1.2,4,0,41.1,3,4.0
"[HT] Preliminary, PR",Tiger III,GAIL A. BRACKETT,39.6,0,2.4,0,0,42,4,3.0
