Division,Horse,Rider,Dressage,XC_Jump_Pen,XC_Time_Pen,SJ_Jump_Pen,SJ_Time_Pen,Final_Score,Rank
"Novice, N:RIDER JR B","Sixpence","EMILY LEWIS",30.0,0,0,0,0,30.0,1
"Novice, N:RIDER JR B","Harley","ALLEGRA M. AIUTO",35.5,0,0,0,0,35.5,2
"Novice, N:RIDER JR B","Jenny Go Lightly","JAKE FERNANDEZ",36.5,0,0,0,0,36.5,3
"Novice, N:RIDER JR B","Slowly But Shirley","MEGHAN S. NEWTON",38.5,0,0,0,0,38.5,4
"Novice, N:RIDER JR B","Mighty Mouse V","KRISTI MURPHY",35.5,0,0,4.0,0,39.5,5
"Novice, N:RIDER JR B","St. Patrick","CAROLINE WARDE",38.0,0,0,4.0,0,42.0,6
"Novice, N:RIDER JR B","Sly Fox","JULIE MANDLE",37.5,0,2.4,4.0,0,43.9,7
"Novice, N:RIDER JR B","Kildare II","CASEY L. CLEARY",36.5,0,0,4.0,9.0,49.5,8
"Novice, N:RIDER JR B","Sammy Dazzler","KAYLEEN P. CROWLEY",35.5,20,0,0,0,55.5,9
"Novice, N:RIDER JR B","Scarlett III","DANIELA R. MARINARO",32.0,20,4.4,0,0,56.4,10
"Novice, N:RIDER JR B","A Twist of the Falcon","PAIGE GENTRY",44.0,20,0,0,0,64.0,11
"Novice, N:RIDER JR B","The Mistress II","SAMANTHA A. STEWART",38.5,0,37.6,16.0,62.0,154.1,12
"Novice, N:RIDER JR B","Spell Check","PETER G. KAUHANEN",31.5,0,0,0,0,31.5,E
"Novice, N:RIDER JR B","Devah","RACHEL WHITE",37.5,0,0,0,0,37.5,E
"Novice, N:RIDER JR B","CCC Aman","SUTTER ALLEN",39.5,0,0,0,0,39.5,E
"Novice, N:RIDER JR C","Prestiges Town Gypsy","STEFANIE SCHLIEF",26.5,0,0,4.0,0,30.5,1
"Novice, N:RIDER JR C","Misty Morning","EMI HANSEN",33.0,0,0,0,0,33.0,2
"Novice, N:RIDER JR C","Papillon","STEVIE BOBLITT",37.5,0,0,0,0,37.5,3
"Novice, N:RIDER JR C","Catch A Star","RACHEL DWYER",39.0,0,0,0,0,39.0,4
"Novice, N:RIDER JR C","Fun in Colour","CATHERINE STACK",41.5,0,0,0,0,41.5,5
"Novice, N:RIDER JR C","Honest Ike","MADELYN REAVES",42.5,0,0,0,0,42.5,6
"Novice, N:RIDER JR C","Carpe Diem IV","HOLLY STEWART",32.0,0,0,12.0,0,44.0,7
"Novice, N:RIDER JR C","Top O' The Morning","ABIGAIL HART",48.0,0,0,0,0,48.0,8
"Novice, N:RIDER JR C","Just So Sensational","KELLY COLLINS",44.0,0,7.6,0,0,51.6,9
"Novice, N:RIDER JR C","Fox Himself II","MARISSA WESSLUND",48.0,0,0,8.0,3.0,59.0,10
"Novice, N:RIDER JR C","Huckleberry Finn III","COURTNEY GOTFRIED",45.5,0,12.8,4.0,0,62.3,11
"Novice, N:RIDER JR C","V.E. Jack of Hearts","MAGGIE TREVITHICK",42.5,20,0,0,0,62.5,12
"Novice, N:RIDER JR C","Conley **","MARISA METZGER",40.0,40,15.6,4.0,0,99.6,13
"Novice, N:RIDER JR C","Eagle's Flight","EMILY S. CHRISTENSEN",26.5,0,0,0,0,26.5,E
"Novice, N:RIDER JR C","Dutch Chocolate II","EMILY HALBREICH",32.0,0,0,12.0,0,44.0,E
"Novice, N:RIDER JR C","Pilot","MARGOT GEBERS",39.0,0,0,4.0,3.0,46.0,E
"Novice, N:RIDER SR A.","Bossanova","CARRIE RITTER",38.0,0,0,0,0,38.0,1
"Novice, N:RIDER SR A.","Do It Exact","CINDI MORAVEC",39.0,0,0,0,0,39.0,2
"Novice, N:RIDER SR A.","Portia Juliet","THAMAR DRAPER",37.0,0,0,4.0,0,41.0,3
"Novice, N:RIDER SR A.","Opportunity","COURTNEY PHLEGER",34.5,0,0,12.0,0,46.5,4
"Novice, N:RIDER SR A.","Stormin' Norman II","BRIAN FRANCHINI",43.0,0,0,4.0,0,47.0,5
"Novice, N:RIDER SR A.","Avery","MICHAEL R. THOMAS",47.0,0,0,0,0,47.0,6
"Novice, N:RIDER SR A.","Clifton Mini Me","KIM SALERA",36.5,0,7.2,8.0,0,51.7,7
"Novice, N:RIDER SR A.","Fin Pret","TICIEN SASSOUBRE",48.5,0,0,4.0,1.0,53.5,8
"Novice, N:RIDER SR A.","Sir Cedric","WILLIE S. ORR",56.5,0,0,0,0,56.5,9
"Novice, N:RIDER SR A.","My Seven Bars Elliot","ISABELLE J. FRANCHINI",42.5,20,0,0,0,62.5,10
"Novice, N:RIDER SR A.","Boy Wonder **","ANNIE BRADFILED",46.0,20,0,0,0,66.0,11
"Novice, N:RIDER SR A.","Born To Rock","CATHLEEN STARK",46.0,0,0,4.0,22.0,72.0,12
"Novice, N:RIDER SR A.","All Star","AIMEE R. HALEY",28.0,0,0,0,0,28.0,E
"Novice, N:RIDER SR A.","Hollywood **","MARINA VAN STIRUM",37.0,0,0,0,0,37.0,E
"Novice, N:RIDER SR A.","Beowulf IV","CAROL S. NELSON",39.5,0,0,0,0,39.5,E
"Novice, N:RIDER SR A.","Griffen II","MARGIE SAWYER",40.5,0,0,0,0,40.5,E
"Novice, N:RIDER SR A.","Argo","JENNIFER M. WRIGHT-WARREN",44.0,0,0,0,0,44.0,E
"Novice, N:RIDER SR A.","On Target II","JANINE S. HILL",57.0,0,0,4.0,0,61.0,E
"Novice, N:RIDER SR B","Rainier II","JUDI STEWART",31.5,0,0,0,0,31.5,1
"Novice, N:RIDER SR B","Odolus","JOAN HANKIN",40.0,0,0,0,0,40.0,2
"Novice, N:RIDER SR B","Delight's Ebony Gold","CATHERINE AISNER",40.0,0,0,0,0,40.0,3
"Novice, N:RIDER SR B","Sonoma","NICOLE MUSHKIN",37.5,0,0,4.0,0,41.5,4
"Novice, N:RIDER SR B","Atlas II","ANNE AHLMAN",43.0,0,2.4,0,0,45.4,5
"Novice, N:RIDER SR B","Madison K.","PENNY FINK",44.0,0,0,4.0,0,48.0,6
"Novice, N:RIDER SR B","Oakengrove Peter H","ERIN WILDE",37.0,4.0,0,20.0,0,61.0,7
"Novice, N:RIDER SR B","Leo **","KIRSTIN HILL",47.0,20,0,0,0,67.0,8
"Novice, N:RIDER SR B","Windklasse","MEGHAN GEILHUFE",31.5,60,11.6,0,0,103.1,9
"Novice, N:RIDER SR B","Flying Dutchman","KRISTEN BUSBY",29.5,80,10.0,0,0,119.5,10
"Novice, N:RIDER SR B","Swiss Detail","LINDA PAINE",37.5,40,6.4,12.0,24.0,119.9,11
"Novice, N:RIDER SR B","Millhouse","CHRIS A. HILLER",38.5,105,3.6,0,6.0,153.1,12
"Novice, N:RIDER SR B","Good Intentions","MEGHAN DAYKA",30.5,0,0,0,0,30.5,R
"Novice, N:RIDER SR B","Arianna","ROSEMARY CREEL",41.5,0,0,0,0,41.5,R
"Novice, N:RIDER SR B","Rainey","THERESA SIMMONS",42.0,0,0,0,0,42.0,E
"Novice, ON","O'Ricardo","BEA DI GRAZIA",24.0,0,0,0,0,24.0,1
"Novice, ON","Declan","YVES SAUVIGNON",29.0,0,0,0,0,29.0,2
"Novice, ON","Ernesto","SUSANNA HOLDER",27.5,0,0,0,2.0,29.5,3
"Novice, ON","Wolke","GABRIELLE M. GONI",30.0,0,0,0,0,30.0,4
"Novice, ON","High Tower","JOHN MICHAEL DURR",27.0,0,0,4.0,0,31.0,5
"Novice, ON","Osprey","KATY METCALF",28.5,0,0,4.0,0,32.5,6
"Novice, ON","Diamond Brenna","RYAN B. BROWN",37.5,0,0,0,0,37.5,7
"Novice, ON","In The Spotlight II","NICHOLAS CWICK",38.0,0,0,0,0,38.0,8
"Novice, ON","Jump Start III (Zoe)","JENNIFER WOOTEN - MACOUZET",38.5,0,0,0,0,38.5,9
"Novice, ON","Sweet Reason","VICTORIA KLEIN",32.0,0,0,4.0,4.0,40.0,10
"Novice, ON","Canadian Spy","SUE CHURCH",40.5,0,0,4.0,0,44.5,11
"Novice, ON","Better Than Christmas","DEVON O'BRIEN",40.5,0,0,4.0,0,44.5,12
"Novice, ON","Kilduggan","DAVID ADAMO",30.5,20,0,0,0,50.5,13
"Novice, ON","Valor","MICHELLE EMMERMANN",45.5,0,2.4,4.0,0,51.9,14
"Novice, ON","Prestidigitation","JANELLE RIDDLE",37.0,20,0,0,0,57.0,15
"Novice, ON","Noble Endeavor II","HEATHER NAVARRETE",38.0,20,0,0,0,58.0,16
"Novice, ON","Joey VI","NICHOLAS CWICK",33.5,20,0,4.0,6.0,63.5,17
"Novice, ON","High Patriot","SONEE K. ARCE",44.0,20,0,0,0,64.0,18
"Novice, ON","Pele II","BEA DI GRAZIA",28.5,60,0,4.0,1.0,93.5,19
"Novice, ON","Le Soldat Sur (Soldier On)","SUMMER COGAN",38.5,40,0.4,12.0,31.0,121.9,20
"Novice, ON","Pullara","HEATHER B. LEVENSTONE",26.0,0,0,4.0,0,30.0,E
"Novice, ON","D'Behr","VALERIE BELOT",32.0,0,0,4.0,0,36.0,E
"Novice, ON","Weatherby","DAN BYRUM",39.5,0,0,0,0,39.5,E
"Novice, ON","The Answer Man","MOLLY GASIEWICZ",38.5,0,0,4.0,0,42.5,E
"Beginner Novice, BN:OPEN","Phar Away Day","ALYSON COLE",27.5,0,0,0,0,27.5,1
"Beginner Novice, BN:OPEN","Prinzess Pia","PAT MCFARLAND",31.5,0,0,0,0,31.5,2
"Beginner Novice, BN:OPEN","Dezdemona","ALISON HARRIS",38.5,0,0,0,0,38.5,3
"Beginner Novice, BN:OPEN","Meant 2 Be","AIMEE BLALOCK",38.0,0,0,8.0,0,46.0,4
"Beginner Novice, BN:OPEN","Cachet","TERRY CLARK",38.0,0,3.2,8.0,14.0,63.2,5
"Beginner Novice, BN:OPEN","Chaka","TRACY L. SIMS",44.0,0,0,0,0,44.0,E
"Beginner Novice, BN:RIDER JR A","Time to Chime","ASHLEIGH GUICH",37.5,0,0,0,0,37.5,1
"Beginner Novice, BN:RIDER JR B","Windsor VII","HAYLEY ANNE M. MORGAN",32.5,0,0,0,0,32.5,1
"Beginner Novice, BN:RIDER JR B","Graf Argentan","MOLLY TOTTEN",45.5,0,0,4.0,0,49.5,2
"Beginner Novice, BN:RIDER SR A","Amadeus VI","DANA WILCOX",38.5,0,0,0,0,38.5,1
