Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[HT] Training, JTR",Bold n Royal,AZURE SIRACO,34.8,0,0,4,0,38.8,6,
"[HT] Training, JTR",ROR Lisbane Finch,KIRAN D'SOUZA,39.3,0,0,0,0,39.3,7,
"[HT] Training, JTR",Semper Fidelis,HANNAH ERTL,36.1,0,0,4,0,40.1,8,
"[HT] Training, JTR",Stanalama,ISABEL SVEC,36.1,0,0,4,0,40.1,9,
"[HT] Training, JTR",Bijou,AVERY HUGHES,36.8,0,0,4,0,40.8,10,
"[HT] Training, JTR",Rosewood August,ELLA GARCIA,38,0,0,4,0,42,11,
"[HT] Training, JTR",Davinci,PEYTON N. KLEIN,34.8,0,0,8,0,42.8,12,
"[HT] Training, JTR",Mischief Managed,PEYTON N. KLEIN,33.9,0,2,12,0,47.9,13,
"[HT] Training, JTR",Global Showtime,SARAH ERTL,40.5,0,5.6,4,0,50.1,14,
"[HT] Training, JTR",Killinick Native,GRACE O. PERKINS,37.3,0,0,4,9,50.3,15,
"[HT] Training, JTR",E'zara,BELLA SILVEIRA,34.6,0,13.6,4,0,52.2,16,
"[HT] Training, JTR",Killian III,GEORGINA MCCUTCHEON,32.3,20,9.2,4,0,65.5,17,
"[HT] Training, JTR",Dancing Diva,AMITY HEJINIAN,40.7,0,0.4,12,13,66.1,18,
"[HT] Training, JTR",Call Me Jewel,EMMA STEPHENSON,33.6,0,8.4,0,RRR,RRR,RRR,
"[HT] Training, JTR",Merry Marchmouse,MCLAINE MANGUM,39.8,20,RF,RF,RF,RF,RF,
"[HT] Training, OT",Frankfurt,RUTH BLEY,26.6,0,0,0,0,26.6,1,
"[HT] Training, OT",Bill's Midnight Magic,WHITNEY TUCKER BILLETER,27.3,0,0,0,0,27.3,2,
"[HT] Training, OT",Urbino du Breuil,ALEXIS A. HELFFRICH,27.5,0,0,0,0,27.5,3,
"[HT] Training, OT",Mine The Melody,BARBARA CRABO,28.4,0,0.4,0,0,28.8,4,
"[HT] Training, OT",Dexter,ALEXIS A. HELFFRICH,28.2,0,0.8,0,0,29.0,5,
"[HT] Training, OT",Ringwood Rouge,SHANNON P. LILLEY,29.3,0,0,0,0,29.3,6,
"[HT] Training, OT",Balladeer Hot Springs,SHANNON P. LILLEY,29.3,0,0,0,0,29.3,7,
"[HT] Training, OT",Herman,AMBER BIRTCIL,28.9,0,0.4,0,0,29.3,8,
"[HT] Training, OT",Graceland's Lanai,ALEXIS A. HELFFRICH,28.4,0,0,4,0,32.4,9,
"[HT] Training, OT",Rhonaldo,REBECCA BRAITLING,28.2,0,6,0,0,34.2,10,
"[HT] Training, OT",Catina,KATELYN J. GRUBICH,33.6,0,4,0,0,37.6,11,
"[HT] Training, OT",MVP Madbum,MADISON TEMKIN,34.6,0,0,4,0,38.6,12,
"[HT] Training, OT",Order Of The Phoenix,JOHN STRASSBURGER,33.6,0,1.2,4,0,38.8,13,
"[HT] Training, OT",Dulce Vida,MADISON R. LLOYD,38.9,0,0,0,0,38.9,14,
"[HT] Training, OT",Dazzle,JOSH BARNACLE,35.2,0,0,4,0,39.2,15,
"[HT] Training, OT",Tropic Star,CAROLINE M. DEIN,32.7,0,6.8,0,0,39.5,16,
"[HT] Training, OT",Paper Jam,HELEN ALLISTON,29.8,0,6,4,0,39.8,17,
"[HT] Training, OT",Santino,BARBARA CRABO,37.3,0,5.2,0,0,42.5,18,
"[HT] Training, OT",Macintosh,BARBARA CRABO,33.6,0,10.4,0,0,44.0,19,
"[HT] Training, OT",Patriot's Liberty,FREDERIC BOULAND,34.1,0,9.2,0,1,44.3,20,
"[HT] Training, OT",Bohemian Rhapsody,KRISTI M. NUNNINK,38.2,0,7.6,8,0,53.8,21,
"[HT] Training, OT",Ard Cooley,SIGOURNEY JELLINS,40,20,5.6,4,0,69.6,22,
"[HT] Training, STR:A",Spartacus D'L'Herbage,RUTH BLEY,28.9,0,0,0,0,28.9,1,
"[HT] Training, STR:A",Once Upon A Dream,HEATHER KOZY,38,0,0,0,0,38,2,
"[HT] Training, STR:A",King of Hearts,SHANNON HARGER,36.4,0,0,4,0,40.4,3,
"[HT] Training, STR:A",Mighty Smart,NIKKI LLOYD,28.9,0,14,0,0,42.9,4,
"[HT] Training, STR:A",Steamer Lane,MATTHEW B. WALLEY,32.1,0,10.8,8,0,50.9,5,
"[HT] Training, STR:A",A Premier Cooley,ZOEY GREENWOOD,43.4,0,11.2,0,0,54.6,6,
"[HT] Training, STR:A",Grand Coeur,KJERSTI HORAIS,45.9,0,10.8,0,0,56.7,7,
"[HT] Training, STR:A",Horse Reviews Bella,SAMANTHA BURNS,38.9,20,4,0,0,62.9,8,
"[HT] Training, STR:A",Corona Rosa,NICOLE FUENTES,32.5,0,6.8,16,16,71.3,9,
