Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[HT] Advanced, A",Paper Jam,JAMES ALLISTON,32.3,0,4.4,0,4,40.8,1,
"[HT] Advanced, A",Czechers,JAMES ALLISTON,37.7,0,9.2,12,0.8,59.7,2,
"[HT] Advanced, A",Quintessence,MEGAN MCIVER,35.5,80,E,0,0.4,EE,0,
"[HT] HT 4-Star, CCI4-S",Woodford Reserve,ERIN R. KELLERHOUSE,37.9,0,5.6,0,0,43.5,1,
"[HT] HT 4-Star, CCI4-S",Classic's Mojah,MEGAN N. SYKES,36.8,0,8.8,0,1.2,46.8,2,
"[HT] HT 4-Star, CCI4-S",Newmarket Jack,ALEXANDRA N. MACLEOD,43.1,0,7.2,0,0,50.3,3,
"[HT] HT 4-Star, CCI4-S",Caravaggio II,REBECCA BRAITLING,40.8,0,9.2,4,1.2,55.2,4,
"[HT] HT 4-Star, CCI4-S",MoonLight Crush,RYLEIGH LEAVITT,40.9,0,19.6,4,1.2,65.7,5,
"[HT] HT 4-Star, CCI4-S",Quidproquo,SOPHIA L. CLICK,33.9,60,42.4,8,1.2,145.5,6,
"[HT] HT 3-Star, CCI3-S",Nemesis,JAMES ALLISTON,30.7,0,0.4,0,0,31.1,1,
"[HT] HT 3-Star, CCI3-S",Can Be Sweet,LAUREN BILLYS,31.9,0,4,4,0,39.9,2,
"[HT] HT 3-Star, CCI3-S",Laguna Seca,ANDREA BAXTER,39.6,0,2.4,0,0,42,3,
"[HT] HT 3-Star, CCI3-S",BSP Tuxedo,AUBURN EXCELL BRADY,34,0,8,0,0,42,4,
"[HT] HT 3-Star, CCI3-S",Happiness Is,JOSH BARNACLE,35.1,0,6,4,0,45.1,5,
"[HT] HT 3-Star, CCI3-S",Flyin Huckleberry,CHLOE E. SMYTH,35.6,0,6,4,0,45.6,6,
"[HT] HT 3-Star, CCI3-S",OBOS Quality Time,AUDREY SANBORN,33.1,0,10.8,4,0,47.9,7,1-16.0
"[HT] HT 3-Star, CCI3-S",Global Showtime,SARAH ERTL,34.2,0,8.8,8,0,51,8,2-14.0
"[HT] HT 3-Star, CCI3-S",MVP Madbum,MADISON TEMKIN,46.1,0,8.4,0,0,54.5,9,
"[HT] HT 3-Star, CCI3-S",Drs Resolute,STEPHANIE GOODMAN,36.5,0,18.4,0,0,54.9,10,
"[HT] HT 3-Star, CCI3-S",MB MaiBlume,KAYLAWNA SMITH-COOK,45,0,16,4,0,65,11,
