Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[TEST] Starter, JSR",Longwood Diamond Supreme,SOFIA BRESIN,28.3,0,0,2.8,3,1.1,17.0,
"[TEST] Starter, JSR",Little Miss Perfect,ABIGAIL JOHNSON,32,0,0,0,0.8,32.8,20.0,
"[TEST] Starter, JSR",Take That,HARVEST RENFRO,32.3,0,0,0,0.8,33.1,35.0,
"[TEST] Starter, JSR",Pico De Gallo,LAYLA J. MEYERS,33.3,0,0,0,0,33.3,40.0,
"[TEST] Starter, JSR",Mo,MATHILDE SALLEMBIEN,35,0,0,0,0,35,50.0,
"[TEST] Starter, JSR",Mother Teresa,PENELOPE R. PEJCHA,25,20,0,0,0.8,45.8,60.0,
"[TEST] Starter, JSR",Business Class,BRIANA WENGLER,34,0,0,1,2,0,46,70.0,
"[TEST] Starter, JSR",Haynesome,KYRA L. GLASS,35.7,0,0,20,0.8,56.5,80.0,
"[TEST] Starter, JSR",Jonny,MCKENZIE NELSON,32,20,0,4,1.6,57.6,90.0,
"[TEST] Starter, JSR",Ashanti,AMELIA EVANS,39,40,0,0,0.8,79.8,100.0,
"[TEST] Starter, JSR",Sean O'Connor,JOSIE SCHNEIDER,28,0,0,W,W,W,0.0,
"[TEST] Starter, JSR",Fortunate Son,MARLOWE TUCKER,35.7,20,0,W,W,W,0.0,
"[TEST] Starter, OSTART",Smudge,MARYBETH YOUNG,25.3,0,0,0,0.4,25.7,17.0,
"[TEST] Starter, SSR",SD FORT I VALENT,CORINNE L. NEUMAN,27.7,0,0,4,0,31.7,17.0,1-7.0
"[TEST] Starter, SSR",Unbeattable Cozway,JUDY NORTON,31.7,0,0,0,0,31.7,26.0,2-6.0
"[TEST] Starter, SSR",Champion of Menlo,HEATHER CLARK,32.3,0,0,0,0,32.3,35.0,3-5.0
"[TEST] Starter, SSR",Johnny Cash,SARAH CURRIE,33.3,0,0,0,2,35.3,40.0,
"[TEST] Starter, SSR",Overzealous,SAYRE HELBLING-FRY,36.3,0,0,0,0,36.3,50.0,
"[TEST] Starter, SSR",Plain Bagel HE,SARA BAYLES,31,0,0,4,1.6,36.6,60.0,
"[TEST] Starter, SSR",D'Adgio,HEIKE BLOCKUS,34.3,0,0,4,0,38.3,70.0,
