Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[HT] Intermediate, OI",Thomascourt Cooley,JAMES ALLISTON,24.6,0,3.6,0,0,28.2,1,2.0
"[HT] Intermediate, OI",Ben,HELEN ALLISTON,29.4,0,0,0,0,29.4,2,10.0
"[HT] Intermediate, OI",Corazon,KELLY PUGH GOODMAN,30.8,0,0,0,0,30.8,3,8.0
"[HT] Intermediate, OI",Sunsprite Madeira,JAMES ALLISTON,33.3,0,0,0,0,33.3,4,0.0
"[HT] Intermediate, OI",Leonado SE,ALEXIS A. HELFFRICH,27.3,0,3.6,0,4,34.9,5,0.0
"[HT] Intermediate, OI",Kingslee,MADISON TEMKIN,32.9,0,4,4,0,40.9,6,0.0
"[HT] Intermediate, OI",Stakkato II,ASHLYN DORSEY,31.9,0,7.2,4,0,43.1,7,0.0
"[HT] Intermediate, OI",Talisker,JAMES ALLISTON,33.3,0,0,20,0,53.3,8,0.0
"[HT] Intermediate, OI",A Golden Effort,CORI LYNN HERR,41.3,0,10.4,12,0,63.7,9,0.0
"[HT] Intermediate, OI",Sasha Fierce,DAVID W. ACORD,41.3,20,10.8,0,0,72.1,10,0.0
"[HT] Intermediate, OI",Code of Conduct,DAVID W. ACORD,32.7,60,16.4,8,0,117.1,11,0.0
"[HT] Intermediate, OI",Alectra,DAVID ADAMO,35.2,60,E,E,E,E,E,
"[HT] Intermediate, OI",Lanacapri,GINA O. MILES,43.8,60,E,E,E,E,E,
"[HT] Intermediate, OI",Beetle Bailey,LISA PEECOOK,39.2,80,E,E,E,E,E,
"[FEH] 3 Year-old, 3yo",BestKeptSecret,EARL MCFALL,,,,,,,85.5,1
"[FEH] 3 Year-old, 3yo",See Spot Fly,LESLIE ASBE,,,,,,,83.1,2
"[FEH] 3 Year-old, 3yo",MVP Madbum,MADISON TEMKIN,,,,,,,80.1,3
"[FEH] 3 Year-old, 3yo",Electric Avenue,AMY CRAWFORD,,,,,,,74.4,4
"[FEH] 3 Year-old, 3yo",Iolani FCF,BROOKE GIBSON,,,,,,,73,5
"[FEH] 3 Year-old, 3yo",Wholehearted,ANNA C. SELLENRIEK,,,,,,,71,6
"[FEH] 3 Year-old, 3yo",Sesame Street,AMY CRAWFORD,,,,,,,69.9,7
"[FEH] 2 Year-old, FEH",Wave The Wheat,SERA MORAN,,,,,,,79.8,1
"[FEH] 2 Year-old, FEH",Wind River,MARIE A. ZUMWALT,,,,,,,79.4,2
"[FEH] 2 Year-old, FEH",Bodega Sky,EARL MCFALL,,,,,,,71.8,3
"[FEH] Yearling, Year",Bravehearts Renegade,BROOK MORRISON,,,,,,,76.2,1
"[FEH] Yearling, Year",,ERIN SERAFINI,,,,,,,72.1,2
"[HT] Preliminary, OP:A",Bill's Midnight Magic,ERIN R. KELLERHOUSE,25.7,0,0.8,0,0,26.5,1,6.0
"[HT] Preliminary, OP:A",Dan The Man,JAMES ALLISTON,28,0,0,0,0,28,2,5.0
"[HT] Preliminary, OP:A",Beresford,GABRIELLA THOMPSON,32.3,0,0,0,0,32.3,3,4.0
"[HT] Preliminary, OP:A",Ansel Adams,JOANNA SAUNDERS,30,0,0,4,0,34,4,3.0
"[HT] Preliminary, OP:A",Street Melody,SARAH SMITH,34.6,0,0,4,0,38.6,5,2.0
"[HT] Preliminary, OP:A",Eloise,INDIA MCEVOY,23.4,0,21.2,0,0,44.6,6,0.0
"[HT] Preliminary, OP:A",KF Escuda,JOLIE WENTWORTH,35.5,0,3.2,8,0,46.7,7,0.0
"[HT] Preliminary, OP:A",Bodark,PRIYA PATEL,46.8,0,0,0,0,46.8,8,0.0
"[HT] Preliminary, OP:A",Ols Take Time,SYDNEY JOHNSON,31.1,0,2.4,12,2,47.5,9,0.0
"[HT] Preliminary, OP:A",CAN DO IT,HALEY TURNER,33.4,0,18,4,0,55.4,10,0.0
"[HT] Preliminary, OP:A",Duck Dynasty,ERIN SERAFINI,30.5,0,22.4,4,0,56.9,11,0.0
"[HT] Preliminary, OP:A",Kaiden,CARRIE J. FINNO,38.4,0,2,16,3,59.4,12,0.0
"[HT] Preliminary, OP:A",My Cheatin Heart,SIGOURNEY JELLINS,40.9,0,10.4,4,5,60.3,13,0.0
"[HT] Preliminary, OP:A",Mairin,ALEXANDRA M. KOLB,33.4,0,8,12,8,61.4,14,0.0
"[HT] Preliminary, OP:A",King West,AMANDA BLASZKOWSKI,42.7,0,8,16,0,66.7,15,0.0
"[HT] Preliminary, OP:A",My Versace,OLIVIA A. BYRON-COOPER,43,0,11.6,12,10,76.6,16,0.0
"[HT] Preliminary, OP:A",Coming In Hot,AMELIA CHRISTIANSEN,41.1,0,20.8,16,0,77.9,17,0.0
"[HT] Preliminary, OP:A",KIR ROYALE,SALLY A. PHILLIPS,44.3,40,R,R,R,R,R,
"[HT] Preliminary, OP:A",Lookit Louie,SAMANTHA BACHELDER,35.2,0,RF,RF,RF,RF,RF,
"[HT] Preliminary, OP:A",WSS Bombs Away,MARISSA P. REWCASTLE,37.3,40,1.6,0,E,E,E,
"[HT] Preliminary, OP:A",Sir Walter Raleigh,KIMBERLY A. MORSE,43.4,0,11.6,0,E,E,E,
"[HT] Preliminary, OP:A",Guardian,JENA TASSONE,35.9,80,E,E,E,E,E,
"[HT] Preliminary, OP:A",Stony Creek,LAUREN HENRY,31.6,0,0,E,E,E,E,
"[HT] Preliminary, OP:B",Learning To Fly,TRISTEN N. HOOKS DVM,24.3,0,0,0,0,24.3,1,6.0
"[HT] Preliminary, OP:B",Ringwood Little Imp,KATHRYN CANARIO,24.8,0,0,4,0,28.8,2,5.0
"[HT] Preliminary, OP:B",Greenfort Othello,GINA O. MILES,29.3,0,0,0,0,29.3,3,4.0
"[HT] Preliminary, OP:B",Magical Instinct,SOPHIE M. STOCKS,27.5,0,2.4,0,0,29.9,4,3.0
"[HT] Preliminary, OP:B",Elfenwind,MADELEINE S. MOORE,31.1,0,0,0,0,31.1,5,2.0
"[HT] Preliminary, OP:B",Pleasant Soul,LOGAN E. BEARDEN,30.5,0,0,4,0,34.5,6,1.0
"[HT] Preliminary, OP:B",Whats That Sportsfield,ERIN R. KELLERHOUSE,25.2,0,2,8,1,36.2,7,0.0
"[HT] Preliminary, OP:B",Kaptain Jak,KATELYN J. GRUBICH,41.6,0,0,0,0,41.6,8,0.0
