Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[HT] Advanced, A",Warrick,JOHN MICHAEL DURR,45,0,6.8,4,1,56.8,1,
"[HT] Advanced, A",,Unknown,43.7,0,8.4,1,2,55.1,2,
"[HT] Advanced, A",Chaos Theory,GINA ECONOMOU,58.3,0,RF,RF,RF,RF,RF,
"[HT] Advanced, A",Jude's Law,BETH MAHON BROWN,33,0,RF,RF,RF,RF,RF,
"[HT] Advanced, A",Gin & Juice,HAWLEY BENNETT-AWAD,35.3,WW,WW,WW,WW,WW,WW,
"[HT] Advanced, A",Goodknight,JOLIE WENTWORTH,44.7,0,RF,RF,RF,RF,RF,
"[HT] Intermediate, OI",Juicy Couture,ALEXANDRA KNOWLES,32.4,0,0.8,0,0,33.2,1,12.0
"[HT] Intermediate, OI",Corner Street,ERIN SERAFINI SPOHR,37.6,0,3.2,0,3,43.8,2,10.0
"[HT] Intermediate, OI",Glitteratti,DEVIN ROBEL,40.4,0,0,8,0,48.4,3,8.0
"[HT] Intermediate, OI",V.E. Nokia,KAYLEEN P. CROWLEY,47.6,0,0,4,0,51.6,4,0.0
"[HT] Intermediate, OI",Don Juanito,HAWLEY BENNETT-AWAD,43.2,0,8.8,0,0,52,5,0.0
"[HT] Intermediate, OI",Borneo Royale,NORA BATTIG,42.4,0,9.2,4,0,55.6,6,0.0
"[HT] Intermediate, OI",Pele II,HILARY B. NIEMANN,46.4,0,7.2,4,0,57.6,7,0.0
"[HT] Intermediate, OI",Iona Grey,JOHN MICHAEL DURR,46.4,0,4.4,16,0,66.8,8,0.0
"[HT] Intermediate, OI",Nantucket Red,AMBER LEVINE,42.8,20,10.4,0,0,73.2,9,0.0
"[HT] Intermediate, OI",Stella Brava,STACEY J. WINTER,40.4,0,6.8,20,15,82.2,10,0.0
"[HT] Intermediate, OI",C.S.I.,TAMRA SMITH,30.4,20,50.8,8,2,111.2,11,0.0
"[HT] Intermediate, OI",Snap Decision II,JEANINE K. ALLRED,49.6,0,9.2,0,TE,TE,TE,
"[HT] Intermediate, OI",Fox Himself II,MARISSA WESSLUND,47.2,20,32.8,WW,WW,WW,WW,
"[HT] Preliminary, OP",Last Call,ALEXANDRA KNOWLES,28.7,0,0,0,0,28.7,1,6.0
"[HT] Preliminary, OP",Lad's Night Out,DEREK DI GRAZIA,27.8,0,0,4,0,31.8,2,5.0
"[HT] Preliminary, OP",Fleeceworks Fernhill,TAMRA SMITH,34.8,0,0,0,0,34.8,3,4.0
"[HT] Preliminary, OP",Ru II,SHANNON P. LILLEY,30.9,0,0,4,0,34.9,4,3.0
"[HT] Preliminary, OP",Gem Dandy,TAMRA SMITH,35.2,0,0,0,0,35.2,5,2.0
