Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[HT] Novice, JNR",A Premier Cooley,ANNIKA CRAWFORD,32.8,0,0,0,0,32.8,3,0.0
"[HT] Novice, JNR",RF Calypso,MAREENA G. COSGROVE,28.9,0,0,4,0,32.9,4,0.0
"[HT] Novice, JNR",Carter,LAINE RETHMEIER,33.6,0,0,0,0,33.6,5,0.0
"[HT] Novice, JNR",Tyroan MF,CECILIA A. CAKMAKCI,33.9,0,0,0,0,33.9,6,0.0
"[HT] Novice, JNR",Tickle Me Elmo,CAMILLE M. KAPPUS,35,0,0,0,0,35,7,0.0
"[HT] Novice, JNR",When Starz Align,LAUREN KLINGEL,34.4,0,0,4,0,38.4,8,0.0
"[HT] Novice, JNR",Charleston Lariouat,NINA KOELEMEIJER,37.8,0,1.2,0,0,39,9,0.0
"[HT] Novice, JNR",Sir Walter Raleigh,AILEE HIRSCH,36.9,0,4.4,0,0,41.3,10,0.0
"[HT] Novice, JNR",It Was A Dark And Stormy Night,GRACELYN D. DE NIJS,32.8,60,7.6,0,0,100.4,11,0.0
"[HT] Novice, NAM",CARADETTE SZ,DANA CHASE,28.1,0,0,0,0,28.1,1,0.0
"[HT] Novice, NAM",Shannondale Fionn,JEANNE CARLEY,28.6,0,0,0,0,28.6,2,0.0
"[HT] Novice, NAM",Dancing in the Dark,SUE BUXTON,30.6,0,0,0,0.8,31.4,3,0.0
"[HT] Novice, NAM",American Quest,AMANDA TAPOCIK,28.3,0,0,4,0,32.3,4,0.0
"[HT] Novice, NAM",Arya Stark,ELYSE P. ROWLEY,31.4,0,1.2,0,0,32.6,5,0.0
"[HT] Novice, NAM",Zahara,CARRIE J. FINNO,36.7,0,0,0,0,36.7,6,0.0
"[HT] Novice, NAM",Al Qahira,ALBERTO MARTINEZ,38.9,0,0,0,1.2,40.1,7,0.0
"[HT] Novice, NAM",Comanche Ranger,ALBERTO MARTINEZ,31.7,0,0,8,2.4,42.1,8,0.0
"[HT] Novice, NAM",Denfer Du Banney,GABRIEL AGUILAR,34.7,0,8.4,0,0,43.1,9,0.0
"[HT] Novice, NAM",Great Commission,MIA SENDLAKOWSKI,37.5,0,6.4,4,2,49.9,10,0.0
"[HT] Novice, NAM",Come To Me,LEAH YACOUB HALPERIN,36.4,0,14.4,0,0,50.8,11,0.0
"[HT] Novice, NAM",Castlerea Draoi,MOLLY JOHNSON,31.7,20,0,0,0,51.7,12,0.0
"[HT] Novice, NAM",Transilvanian Hunger,MADELINE YACUR,40,0,0,0,12,52,13,0.0
"[HT] Novice, NAM",Oscar Wild,MADDY MAZZOLA,31.7,20,0,0,0.8,52.5,14,0.0
"[HT] Novice, NAM",Kiss My Grits,AUDREY MORRISSEY,33.3,20,3.2,8,0,64.5,15,0.0
"[HT] Novice, NAM",Mystique,IRIS STEVENSON,33.1,40,2,24,6.4,105.5,16,0.0
"[HT] Novice, NAM",Ringo Star,ANGELA BRYSON,27.8,-,-,-,8,RF,RF,0.0
"[HT] Novice, NAM",Wildwych Forbidden Fruit,SAVANNAH GREENWOOD,35.8,0,TE,40,TE,TE,TE,0.0
"[HT] Novice, NAM",Mufasa CM V/D Wolfshoeve,JENNIFER MEYER,30.6,0,RF,0,0,RF,RF,0.0
"[HT] Novice, NAM",Duffy's Cruising Star,BROOK MORRISON,36.4,60,RF,8,1.2,RF,RF,0.0
"[HT] Novice, ON",SD FORT I VALENT,TOMMY M. GREENGARD,23.1,0,0,0,0.8,23.9,1,0.0
