Division,Horse,Rider,Dressage,XC_Jump,XC_Time,SJ_Jump,SJ_Time,Final_Score,Rank
"Beginner Novice OBN","Donatella","DANIELLE DOWNING",33.50,0,0.00,4,0.00,37.50,5
"Beginner Novice OBN","Jeffersonn","DAWN ROBBINS",27.50,20,0.00,0,0.00,47.50,6
"Beginner Novice OBN","Runabout","RACHEL ROBERTSON-HINDMAN",38.50,20,0.00,0,0.00,58.50,7
"Beginner Novice OBN","Destined To Be","ERIN L. MCCABE",35.50,0,19.60,4,0.00,59.10,8
"Beginner Novice OBN","PVTC Selene","SOFIA LOMBERA",49.00,0,0.00,12,0.00,61.00,9
"Beginner Novice OBN","Silver Sage","SANDY BOLING",36.00,20,1.60,4,4.00,65.60,10
"Beginner Novice OBN","N/A","MAGGIE TREVITHICK",50.50,40,26.79,4,0.00,121.30,11
"Beginner Novice OBN","N/A","PAM ROMELFANGER",38.50,E,E,8,16.00,E,E
"Beginner Novice OBN","N/A","HILLARY J. LUDWIG",48.00,W,W,E,E,E,E
"Beginner Novice OBN","N/A","KRISTEN ORTON",38.00,E,E,4,0.00,E,E
"Beginner Novice SBNR","N/A","GWEN HUBBARD",36.00,0,0.00,0,0.00,36.00,1
"Beginner Novice SBNR","Village Prince","N/A",37.00,0,0.00,0,0.00,37.00,2
"Beginner Novice SBNR","N/A","N/A",41.50,0,0.00,4,0.00,45.50,3
"Beginner Novice SBNR","Bread and Butter","JO CAIN-STILES",41.00,0,0.00,12,0.00,53.00,4
"Beginner Novice SBNR","Letrista","MARIDA BERLIN",43.00,8.80,0,4,4.00,59.80,5
"Beginner Novice SBNR","Rockey","KATHRYN M. KADE",36.00,40,10.80,4,0.00,90.80,6
"Beginner Novice SBNR","N/A","KRISTINE ZBILICKI",42.00,60,0.00,8,3.00,113.00,7
"Beginner Novice SBNR","N/A","JULIA K. TUSSING",34.50,E,E,0,0.00,E,E
"Beginner Novice SBNR","N/A","ERIN SAUNDERS",40.50,W,W,E,E,E,E
"Beginner Novice SBNR","N/A","JEANNE CARLEY",45.50,W,W,E,E,E,E
"Beginner Novice SBNRB","Britannica","ANNIE DESMOND",29.50,0,0.00,4,0.00,33.50,1
"Beginner Novice SBNRB","Reb's Honor **","CAROL ARNOLD",36.00,0,0.00,0,0.00,36.00,2
"Beginner Novice SBNRB","N/A","MARIE ROUSSEL",35.00,0,0.00,4,0.00,39.00,3
"Beginner Novice SBNRB","My Seven Bars Elliot","ISABELLE J. FRANCHINI",41.50,0,0.00,0,0.00,41.50,4
"Beginner Novice SBNRB","The Irish Hooligan","KATHRYN DAVIS",42.50,0,0.00,0,0.00,42.50,5
"Beginner Novice SBNRB","N/A","N/A",42.00,0,0.00,4,0.00,46.00,6
"Beginner Novice SBNRB","Diva","ELIZABETH HANSEN",40.50,0,0.00,8,0.00,48.50,7
"Beginner Novice SBNRB","Pudding","BRIAN FRANCHINI",37.00,0,0.00,12,0.00,49.00,8
"Beginner Novice SBNRB","Katrina IV","VALLI BOWMAN",28.50,0,0.00,12,10.00,50.50,9
"Beginner Novice SBNRB","N/A","MICHELLE CAPPARELLI",31.00,1.20,0,8,11.00,51.20,10
"Beginner Novice SBNRB","N/A","GREG CAMPILLO",42.50,18.39,0,4,16.00,80.90,11
"Beginner Novice SBNRB","Igman","JAYNE SLAYTON",40.50,W,W,E,E,E,E
