Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[TEST] Starter, START:A",Valentine,SOPHIA KUZMA,20.3,0,0,0,0,20.3,1,7.0
"[TEST] Starter, START:A",Bijou,JANE LI,25.0,0,0,0,0,25.0,2,6.0
"[TEST] Starter, START:A",Fort Arthur Buddy,SHANE MERITT,26.7,0,0,0,0,26.7,3,5.0
"[TEST] Starter, START:A",Liberty Song,PATRICIA CAMERON,23.7,0,0,4,1.6,29.3,4,4.0
"[TEST] Starter, START:A","""C"" Taz Go",SUSAN BURWEN,29.3,0,0,0,0.8,30.1,5,3.0
"[TEST] Starter, START:A",Manitoba,BRIANA WENGLER,33.0,0,0,0,0,33.0,6,2.0
"[TEST] Starter, START:A",Kentucky Bourbon,NOELLE HENRICH,36.0,0,0,0,0,36.0,7,0.0
"[TEST] Starter, START:A",Aces High,SAVANNAH M. GALYEAN,31.7,0,4.4,0,0,36.1,8,0.0
"[TEST] Starter, START:A",FE Uncle Ben,NATALIE DEITCHER,37.7,0,0,0,0,37.7,9,0.0
"[TEST] Starter, START:A",Tally Ho,ANINA G. WINFREY,32.3,0,0,4,1.6,37.9,10,0.0
"[TEST] Starter, START:A",Democrat Duck,TAYLOR ADAMS,39.0,0,0,0,0,39.0,11,0.0
"[TEST] Starter, START:A",Rush Himalaya,JUDY NORTON,35.3,0,8.8,0,0,44.1,12,0.0
"[TEST] Starter, START:A",Kiko,MIA BEY,40.7,0,0,4,0.0,44.7,13,0.0
"[TEST] Starter, START:A",Baltimore Drive,MEGAN E. GUM,41.3,0,0,4,0.0,45.3,14,0.0
"[TEST] Starter, START:A",Bella Mia Apache,EILEEN W. MORGENTHALER,34.0,0,0,8,5.2,47.2,15,0.0
"[TEST] Starter, START:A",Island in the Sun,ADELEI G. WARNER,43.3,0,0,4,0.0,47.3,16,0.0
"[TEST] Starter, START:A",South Park,SUPRIYA I. BORGERT,36.3,0,0,12,0.0,48.3,17,0.0
"[TEST] Starter, START:A",Marmaduke,NINA VIJEH,34.7,0,0,12,4.4,51.1,18,0.0
"[TEST] Starter, START:A",Rionach,MICHELLE LEAHY,37.3,0,0,12,12.0,61.3,19,0.0
"[TEST] Starter, START:A",Diarocca DF,EARL MCFALL,38.7,40,5.2,4,0.0,87.9,20,0.0
"[TEST] Starter, START:A",Everyday's A Holiday,GENEVIEVE HEDGES,23.3,0,0,TE,TE,TE,0.0,0.0
"[TEST] Starter, START:A",Once Upon A Dream,SIENNA LISKE,33.7,0,0,0.4,HC,HC,0.0,0.0
"[TEST] Starter, START:B",Take That,CHLOE L. KISCHUK,21.7,0,0,0,0,21.7,1,0.0
"[TEST] Starter, START:B",Napoleon,MAYA BURKE,23.3,0,0,4,0.0,27.3,2,7.0
"[TEST] Starter, START:B",Carmen Miranda,SIERRA CLAYTON,29.3,0,0,0,0,29.3,3,6.0
