Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[HT] Advanced, A",Morning Star,ASHLYNN E. MEUCHEL,36.2,0,19.2,12,6,73.4,1,12.0
"[HT] Advanced, A",Brighton,REBECCA BUEHLER,35.9,WW,20,11,WW,WW,,
"[HT] Advanced, A",Ray,NATHAN GROSSE,41.8,80,E,40,E,E,,
"[HT] HT 3-Star, CIC3",Basco,BONNER CARPENTER,47.7,0,0,0,1,48.7,1,32.0
"[HT] HT 3-Star, CIC3",Tivoli,JAMES ALLISTON,51.3,0,0.8,0,0,52.1,2,29.0
"[HT] HT 3-Star, CIC3",Flashpoint D,KAITLIN L. VELTKAMP,57,0,0,0,0,57,3,26.0
"[HT] HT 3-Star, CIC3",Revitavet Capato,JORDAN LINSTEDT,54.6,0,0,4,0,58.6,4,0.0
"[HT] HT 3-Star, CIC3",Indy 500,ANDREA BAXTER,60,0,4,8,0,72,5,0.0
"[HT] HT 3-Star, CIC3",Gleaming Road,ANNA C. COLLIER,62.1,0,8,8,1,79.1,6,0.0
"[HT] HT 3-Star, CIC3",S.V.R. Ron,GINA O. MILES,57.6,0,10,12,7,86.6,7,0.0
"[HT] HT 3-Star, CIC3",Reins for Justice,DAVID W. ACORD,61.5,0,14.8,8,5,89.3,8,0.0
"[HT] HT 3-Star, CIC3",Novelle,ANGELA BOWLES,61.5,20,8,0,0,89.5,9,0.0
"[HT] HT 3-Star, CIC3",Mojito,MADDY MAZZOLA,67.5,0,6,20,1,94.5,10,0.0
"[HT] HT 3-Star, CIC3",Dee Dee Chaser,JIL WALTON,53.4,20,21.6,8,0,103,11,0.0
"[HT] HT 3-Star, CIC3",Lad's Night Out,BEA DI GRAZIA,46.5,WW,0,1,WW,WW,,
"[HT] HT 3-Star, CIC3",Airlington,EMILY A. PESTL-DIMMITT,56.4,0,RF,0,1,RF,RF,
"[HT] HT 3-Star, CIC3",Rise Against,BUNNIE S. SEXTON,55.5,,,,0,RF,RF,RF,
"[HT] HT 2-Star, CIC2",Castle Larchfield Purdy,LAUREN BILLYS,52.2,0,0.4,0,0,52.6,1,16.0
"[HT] HT 2-Star, CIC2",Gustav,JAMES ATKINSON,48.8,0,0,8,0,56.8,2,14.0
"[HT] HT 2-Star, CIC2",Master Plan,LEAH K. BREAKEY,61.4,0,0,4,0,65.4,3,12.0
"[HT] HT 2-Star, CIC2",Tuscan Sun,FLORENCE MILLER,61.4,0,2.8,4,0,68.2,4,0.0
"[HT] HT 2-Star, CIC2",Mystic Mojo,ALLISON SPARKS,65.5,0,0,4,0,69.5,5,0.0
"[HT] HT 2-Star, CIC2",The Rock,CADENCE L. MICHEL,61.7,0,7.2,8,0,76.9,6,0.0
"[HT] HT 2-Star, CIC2",Prince William,MARY BURKE,67.5,0,0,12,0,79.5,7,0.0
"[HT] HT 2-Star, CIC2",Rigby,PAM FISHER,62.6,0,2.4,16,3,84,8,0.0
"[HT] HT 2-Star, CIC2",Sasha Fierce,DAVID W. ACORD,73.3,0,2.8,12,0,88.1,9,0.0
"[HT] HT 2-Star, CIC2",Ballingowan Ginger,LAUREN BILLYS,56.8,20,11.6,0,0,88.4,10,0.0
"[HT] HT 2-Star, CIC2",Flanigan,MCKENA KNOTT,54.8,20,12.4,8,0,95.2,11,0.0
"[HT] HT 2-Star, CIC2",LC O'Shawnisee,ANDREA NIELSEN,64,60,18.4,12,1,155.4,12,0.0
