Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[HT] Advanced, A",Eskapade,ANNE-SOPHIE LEVESQUE,37.4,40,RF,0,1,RFRF,RF,
"[HT] HT 3-Star, CIC3",Happenstance,JAMES ALLISTON,45.1,0,2,0,0,47.1,1,32.0
"[HT] HT 3-Star, CIC3",Ben,HELEN ALLISTON,54.4,0,2.8,0,0,57.2,2,29.0
"[HT] HT 3-Star, CIC3",Rise Against,BUNNIE S. SEXTON,53.8,0,8,4,0,65.8,3,26.0
"[HT] HT 3-Star, CIC3",Walterstown Don,REBECCA BRAITLING,56.5,0,10.8,4,0,71.3,4,0.0
"[HT] HT 3-Star, CIC3",RF Kinetic,ASHLYN DORSEY,57.1,0,8.8,8,0,73.9,5,0.0
"[HT] HT 3-Star, CIC3",Rembrandt,SABRINA K. GLASER,54.1,0,9.6,12,0,75.7,6,0.0
"[HT] HT 3-Star, CIC3",High Decorum,JULIE A. BOYER,68.1,0,8.8,4,0,80.9,7,0.0
"[HT] HT 3-Star, CIC3",LC O'Shawnisee,ANDREA NIELSEN,60.9,20,18,16,9,123.9,8,0.0
"[HT] HT 3-Star, CIC3",Ringwood Isabelle,BEA DI GRAZIA,56.5,40,29.2,4,0,129.7,9,0.0
"[HT] HT 3-Star, CIC3",Greenfort Othello,GINA O. MILES,63,20,16.8,4,40,143.8,10,0.0
"[HT] HT 3-Star, CIC3",Parker,JAMES ALLISTON,55.2,0,RF,4,0,RFRF,RF,
"[HT] HT 3-Star, CIC3",Eye of the Storm,KIM LIDDELL,69.1,,W,32,12,WW,W,
"[HT] HT 3-Star, CIC3",Ringwood Justice,DEREK DI GRAZIA,48,20,R,4,4,RR,R,
"[HT] HT 2-Star, CIC2",Ebay,HELEN ALLISTON,52.2,0,0,0,0,52.2,1,16.0
"[HT] HT 2-Star, CIC2",Counterpoint,REBECCA BRAITLING,48.9,0,3.6,0,0,52.5,2,14.0
"[HT] HT 2-Star, CIC2",Diego,LAUREN LOPICCOLO,48.9,0,2,8,0,58.9,3,12.0
"[HT] HT 2-Star, CIC2",Sunsprite Madeira,JAMES ALLISTON,53.3,0,10.8,0,1,65.1,4,0.0
"[HT] HT 2-Star, CIC2",Soaring Bird,REBECCA BRAITLING,54.4,0,10,0,2,66.4,5,0.0
"[HT] HT 2-Star, CIC2",Tom Riddle,TOSCA HOLMES-SMITH,57.8,0,6,4,0,67.8,6,0.0
"[HT] HT 2-Star, CIC2",Fiat,TOSCA HOLMES-SMITH,59.4,0,10.4,4,0,73.8,7,0.0
"[HT] HT 2-Star, CIC2",Kingslee,MADISON TEMKIN,55.9,0,14,0,4,73.9,8,0.0
"[HT] HT 2-Star, CIC2",Borasco,KERRY GROOT,61.7,0,7.6,16,0,85.3,9,0.0
"[HT] HT 2-Star, CIC2",Beetle Bailey,LISA PEECOOK,69.5,,,,,,WWW,W,
"[HT] HT 2-Star, CIC2",Heirloom,CHELAN KOZAK,52.8,40,RF,12,1,RFRF,RF,
"[HT] HT 2-Star, CIC2",Stag Party,CHLOE E. SMYTH,75.2,,W,0,0,WW,W,
"[HT] HT 2-Star, CIC2",Pistol Annie,GINA O. MILES,57.2,,W,16,13,WW,W,
"[HT] Intermediate, OI",Mojo,SOPHIE TICE,33.1,0,0,4,0,37.1,1,6.0
"[HT] Intermediate, OI",Otter Pop,AMBER BIRTCIL,32.7,0,4,4,0,40.7,2,5.0
"[HT] Intermediate, OI",Lafite,LIZA HORAN,40.4,0,4.8,4,0,49.2,3,4.0
"[HT] Intermediate, OI",En Vogue,BELLA MOWBRAY,33.5,0,9.6,8,0,51.1,4,0.0
"[HT] Intermediate, OI",Glitteratti,JOHN P. FILER,42.3,0,8.8,4,0,55.1,5,0.0
"[HT] Intermediate, OI",Clarissa Purisima,MALLORY K. HOGAN,40,0,16.8,0,0,56.8,6,0.0
"[HT] Intermediate, OI",Super Nova,KERRY GROOT,40.4,20,23.2,8,0,91.6,7,0.0
"[HT] Intermediate, OI",Dr. Hart,MADISON TEMKIN,39,60,E,,,EE,E,
"[HT] Intermediate, OI",Gaelic Wealth,ASIA H. VEDDER,35.2,60,R,,,RR,R,
"[YEH] 4 Year-old, YEH-4",Sunsprite's Watusi,MARC GRANDIA,25.06,,42.25,,10.74,78.05,1,
"[YEH] 4 Year-old, YEH-4",CrissCross PCH,NICOLE CARROLL,29.33,,37.25,,10.89,77.47,2,
"[YEH] 4 Year-old, YEH-4",MB MaiStein,TAMRA SMITH,29.96,,32.3,,12.45,74.71,3,
"[YEH] 4 Year-old, YEH-4",Reine Noire,ERIN R. KELLERHOUSE,25.2,,33.8,,10.95,69.95,4,
