Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[HT] Advanced, A",Eveready II,BARBARA CRABO,33.4,0,0.4,0,0,33.8,1,24.0
"[HT] Advanced, A",Mojo,JAMES ALLISTON,39.4,0,0,0,0,39.4,2,22.0
"[HT] Advanced, A",Ballingowan Ginger,LAUREN BILLYS,33.4,0,7.6,8,0,49,3,20.0
"[HT] Advanced, A",Cambridge,JORDAN TAYLOR,41.6,0,7.2,4,0,52.8,4,0.0
"[HT] Advanced, A",Jefferson D'Aurois,KEVIN BAUMGARDNER,39.7,0,0,16,0,55.7,5,0.0
"[HT] Advanced, A",Bonza Twist of Fate,TERESA HARCOURT,37.5,0,10.4,8,0,55.9,6,0.0
"[HT] Advanced, A",Ben,HELEN BOUSCAREN,40.9,0,7.6,8,0,56.5,7,0.0
"[HT] Advanced, A",Young Gun,MARIS L. BURNS,36.6,20,9.6,4,0,70.2,8,0.0
"[HT] Advanced, A",Kingslee,GERIANN L. HENDERSON,39.7,20,10,4,0,73.7,9,0.0
"[HT] Advanced, A",Chanel,GINA O. MILES,37.8,20,16.4,0,0,74.2,10,0.0
"[HT] Advanced, A",Fuerst Nino R,ANDREA BAXTER,35.9,20,28,0,3,86.9,11,0.0
"[HT] Advanced, A",Indy 500,ANDREA BAXTER,41.3,20,23.6,8,5,97.9,12,0.0
"[HT] Advanced, A",Spot On,KELLY PUGH,32.2,60,R,RF,RF,RF,R,
"[HT] Advanced, A",Nonsensical,EMILEE LIBBY,41.3,--,W,W,W,W,W,
"[HT] Advanced, A",Over Easy,BARBARA CRABO,38.8,0,18.8,0,E,E,E,
"[HT] Intermediate, OI",Super Socks BCF,MATTHEW R. BROWN,30.8,0,0,0,0,30.8,1,12.0
"[HT] Intermediate, OI",Normandy Soldier,TAMRA SMITH,32.8,0,1.2,0,0,34,2,10.0
"[HT] Intermediate, OI",Kings Crossing,MADISON K. HOGAN,34.8,0,0,0,0,34.8,3,8.0
"[HT] Intermediate, OI",Snap Decision II,JEANINE K. ALLRED,32,0,0,4,0,36,4,6.0
"[HT] Intermediate, OI",,Unknown,38.8,0,0,0,0,38.8,5,
"[HT] Intermediate, OI",Jefferson,NATALIE BRADY,36.8,0,0,4,0,40.8,6,0.0
"[HT] Intermediate, OI",Aida,MATTHEW R. BROWN,38,0,6.4,0,0,44.4,7,0.0
"[HT] Intermediate, OI",Mojito,MADDY MAZZOLA,42,0,4.4,0,0,46.4,8,0.0
"[HT] Intermediate, OI",Tullamore,MARIS L. BURNS,39.6,0,7.6,0,0,47.2,9,0.0
"[HT] Intermediate, OI",De Mello,MEGAN GASTEL,35.6,0,0,12,0,47.6,10,0.0
"[HT] Intermediate, OI",Worthy Opponent V.E.,DANA J. ESTES,33.6,0,2.8,20,0,56.4,11,0.0
"[HT] Intermediate, OI",Astro,KRISTI M. NUNNINK,38,0,12.4,8,0,58.4,12,0.0
"[HT] Intermediate, OI",Legal Limit,KATHY CAIN,42,0,1.2,12,15,70.2,13,0.0
"[HT] Intermediate, OI",Goodknight,JOLIE WENTWORTH,36.4,0,--,0,0,36.4,HC,
"[HT] Intermediate, OI",Firebolt,JOHN STRASSBURGER,44.4,20,9.6,--,W,W,W,
"[HT] Intermediate, OI",Sam I Am,REBECCA BRAITLING,38.8,0,12.4,--,W,W,W,
"[HT] Intermediate, OI",Ballyquinn,JOLIE WENTWORTH,37.2,40,R,RF,RF,RF,R,
"[HT] Preliminary, OP",BCF Belicoso,MATTHEW R. BROWN,23.2,0,0,0,1,24.2,1,6.0
"[HT] Preliminary, OP",Obi-Wan Kenobi,KELLY PUGH,28.2,0,0,0,0,28.2,2,5.0
"[HT] Preliminary, OP",Talisker,JAMES ALLISTON,27.7,0,0,4,0,31.7,3,4.0
"[HT] Preliminary, OP",In It To Win It,AVERY L. KLUNICK,29.1,0,4.8,0,0,33.9,4,3.0
"[HT] Preliminary, OP",Compelling Chris,STEPHANIE CALLIHAN,30,0,0,4,1,35,5,0.0
"[HT] Preliminary, OP",Fleeceworks Fernhill,TAMRA SMITH,31.8,0,4,0,0,35.8,6,0.0
"[HT] Preliminary, OP",Dassett Theme BCF,MATTHEW R. BROWN,30.5,0,4.4,0,1,35.9,7,0.0
"[HT] Preliminary, OP",Parfait,ERIN R. KELLERHOUSE,36.4,0,0,4,0,40.4,8,0.0
"[HT] Preliminary, OP",French Polish,MADISON REEB,35.5,0,2.8,4,0,42.3,9,0.0
"[HT] Preliminary, OP",Killian O'Connor,MADDY MAZZOLA,30.9,0,6.8,4,1,42.7,10,0.0
"[HT] Preliminary, OP",,Unknown,31.8,0,17.2,0,0,49,11,
"[HT] Preliminary, OP",Tim Terrific,EARL MCFALL,33.6,0,17.6,0,0,51.2,12,0.0
"[HT] Preliminary, OP",Phoenix Amani,JOHN STRASSBURGER,38.2,0,8.8,4,4,55,13,0.0
"[HT] Preliminary, OP",Jasper,YVES SAUVIGNON,33.2,0,23.2,8,0,64.4,14,0.0
"[HT] Preliminary, OP",Limerick II,TAREN HOFFOS,27.7,20,15.2,0,3,65.9,15,0.0
"[HT] Preliminary, OP",Isle Of Japan,DEREK DI GRAZIA,33.2,20,13.6,4,0,70.8,16,0.0
"[HT] Preliminary, OP",Annie Oakley III,TAREN HOFFOS,30,20,22,0,0,72,17,0.0
"[HT] Preliminary, OP",Jitter Bug,LAUREN BILLYS,30,0,RF,RF,RF,RF,RF,
"[HT] Preliminary, PH",Che Landscape,MATTHEW R. BROWN,32.4,0,0,0,0,32.4,1,6.0
"[HT] Preliminary, PH",Ping Pong,JULIE FLETTNER,30.5,0,0,4,0,34.5,2,5.0
"[HT] Preliminary, PH",Gordon Biersch,JOLIE WENTWORTH,31.3,0,0,4,0,35.3,3,4.0
"[HT] Preliminary, PH",Happenstance,MATTHEW R. BROWN,34,0,2,0,0,36,4,0.0
"[HT] Preliminary, PH",Lickity Split,BARBARA CRABO,33.3,0,0,4,0,37.3,5,0.0
"[HT] Preliminary, PH",Code of Conduct,DAVID W. ACORD,34.4,0,0,4,0,38.4,6,0.0
"[HT] Preliminary, PH",Sidecar,KATHY CAIN,37.4,0,0,4,0,41.4,7,0.0
"[HT] Preliminary, PH",Lady Zeyva,JULIE A. BOYER,43.5,0,0,0,0,43.5,8,0.0
"[HT] Preliminary, PH",Canadian Spy,HAWLEY BENNETT-AWAD,36.8,0,0.8,4,3,44.6,9,0.0
"[HT] Preliminary, PH",Sasha Fierce,DAVID W. ACORD,46.3,0,0,0,0,46.3,10,0.0
"[HT] Preliminary, PH",Sabina,GINA M. SHAMAN,38.5,10,0,E,E,E,E,
