Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[HT] Advanced, A",Gleaming Road,ANNA C. COLLIER,42.7,0,21.6,12,0,76.3,1,12.0
"[HT] Advanced, A",Reins for Justice,DAVID W. ACORD,51.3,20,17.2,0,0,88.5,2,10.0
"[HT] Advanced, A",,Unknown,39.3,40,23.6,8,0,110.9,3,
"[HT] HT 3-Star, CIC3",The Alchemyst,DEBORAH ROSEN,50.5,0,4,4,0,58.5,1,32.0
"[HT] HT 3-Star, CIC3",Ballingowan Ginger,LAUREN BILLYS,47,0,8.4,4,0,59.4,2,29.0
"[HT] HT 3-Star, CIC3",Ben,HELEN BOUSCAREN,62.3,0,0.4,0,0,62.7,3,26.0
"[HT] HT 3-Star, CIC3",Chanel,GINA O. MILES,46.4,0,2.8,16,0,65.2,4,0.0
"[HT] HT 3-Star, CIC3",Goodknight,JOLIE WENTWORTH,54.2,0,9.2,4,0,67.4,5,0.0
"[HT] HT 3-Star, CIC3",Rise Against,BUNNIE S. SEXTON,64.6,0,3.2,0,0,67.8,6,0.0
"[HT] HT 3-Star, CIC3",Revitavet Capato,JORDAN LINSTEDT,65.2,0,7.2,12,0,84.4,7,0.0
"[HT] HT 3-Star, CIC3",,Unknown,64.3,0,6.4,12,2,84.7,8,
"[HT] HT 3-Star, CIC3",Mojito,MADDY MAZZOLA,68.1,0,4,16,0,88.1,9,0.0
"[HT] HT 3-Star, CIC3",Sea Lion II,PAM FISHER,61.4,0,10.4,16,3,90.8,10,0.0
"[HT] HT 3-Star, CIC3",Jefferson,NATALIE BRADY,60.3,0,11.6,16,14,101.9,11,0.0
"[HT] HT 3-Star, CIC3",Sam I Am,REBECCA BRAITLING,73.8,0,22.8,8,0,104.6,12,0.0
"[HT] HT 3-Star, CIC3",High Times,JENNIFER MCFALL,58.3,0,RF,4,0,RF,RF,
"[HT] HT 3-Star, CIC3",Nonsensical,EMILEE LIBBY,58.6,20,RF,12,0,RF,RF,
"[HT] HT 3-Star, CIC3",Young Gun,MARIS L. BURNS,53.7,---,---,0,E,E,---,
"[HT] HT 2-Star, CIC2",BCF Belicoso,MATTHEW R. BROWN,46.3,0,0.4,0,3,49.7,1,16.0
"[HT] HT 2-Star, CIC2",Aida,MATTHEW R. BROWN,49.9,0,0,0,0,49.9,2,14.0
"[HT] HT 2-Star, CIC2",Esprit De La Danse,JOHN MICHAEL DURR,50.2,0,0,4,0,54.2,3,12.0
"[HT] HT 2-Star, CIC2",Pikture This,KIMBERLY STEINBUCH,52,0,0,4,0,56,4,10.0
"[HT] HT 2-Star, CIC2",Aerolite,DANA CHASE,51.5,0,0,8,0,59.5,5,0.0
"[HT] HT 2-Star, CIC2",Forgotten Emblem,BRYNN LITTLEHALE,59,0,0,4,0,63,6,0.0
"[HT] HT 2-Star, CIC2",Obi-Wan Kenobi,KELLY PUGH,59.2,0,0,4,0,63.2,7,0.0
"[HT] HT 2-Star, CIC2",Super Socks BCF,MATTHEW R. BROWN,52.8,0,0,12,0,64.8,8,0.0
"[HT] HT 2-Star, CIC2",Worthy Opponent V.E.,DANA J. ESTES,52.2,0,1.2,12,0,65.4,9,0.0
"[HT] HT 2-Star, CIC2",A Golden Effort,CORI L. DAVIS,61.3,0,3.2,4,0,68.5,10,0.0
"[HT] HT 2-Star, CIC2",Killian O'Connor,MADDY MAZZOLA,58.7,0,4.8,8,0,71.5,11,0.0
"[HT] HT 2-Star, CIC2",,Unknown,51.7,0,6,24,0,81.7,12,
"[HT] HT 2-Star, CIC2",Cassiopeia,HILARY BATES,53.3,0,8.4,8,15,84.7,13,0.0
"[HT] HT 2-Star, CIC2",Gustav,TAREN HOFFOS,46.5,20,18.4,4,0,88.9,14,0.0
