Event,Division,Competitor,D-S,XC-J,XC-T,SJ-J,SJ-T,S,P,Pts,U-Pts
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Novice, SNAR (Starters: 17)",Night Life / CORD FLORA,38,0,0,8,0,46,11,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Novice, SNAR (Starters: 17)",Risky Business / KEIRA LENEMAN,51,0,0,0,0,51,12,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Novice, SNAR (Starters: 17)",Stella Artois / PEARL SPIELMAN,43,0,10.8,0,0,53.8,13,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Novice, SNAR (Starters: 17)",Irish Coffee / JANE SWIGART,39,20,27.6,0,0,86.6,14,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Novice, SNAR (Starters: 17)",Rare Honor / CATHRINE HOLYOAK,40.5,60,9.2,0,0,109.7,15,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Novice, SNAR (Starters: 17)",Rhys's Pieces / NANCY BENSON,36,W,W,E,E,E,E,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Novice, SNAR (Starters: 17)",Lyric / SARAH OKUMURA,38.5,E,E,4,0,E,E,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Novice, SNR (Starters: 14)",Erin Go Dash / ALICIA M. CHANDLER,31.5,0,0,4,0,35.5,1,6.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Novice, SNR (Starters: 14)",Castle Oak Brillante / DEBRA J. GREGORY,35,0,0,0,2,37,2,5.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Novice, SNR (Starters: 14)",Marquis / PASCALE WINNICK,39,0,0,0,0,39,3,4.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Novice, SNR (Starters: 14)",Calvin / SUSAN FAIDI,37,0,2.8,0,0,39.8,4,3.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Novice, SNR (Starters: 14)",Mr. Darcy / REBECCA WALDERN,36,0,4,0,0,40,5,2.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Novice, SNR (Starters: 14)",Billy White Shoes / RACHEL BARNACLE,40.5,0,0,0,0,40.5,6,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Novice, SNR (Starters: 14)",Gatsby / ILONA LETMANYI,42.5,0,5.2,0,0,47.7,7,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Novice, SNR (Starters: 14)",Pudding / BRIAN FRANCHINI,41,0,0,4,4,49,8,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Novice, SNR (Starters: 14)",Bold Getaway / BRIANNA KETELAAR,44.5,0,4.4,8,0,56.9,9,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Novice, SNR (Starters: 14)",Breakfast of Champions / ALANDRA HALEM,47,0,0,12,0,59,10,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Novice, SNR (Starters: 14)",Stormin' Norman III / GRETCHEN FORREY,42,20,2.8,8,0,72.8,11,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Novice, SNR (Starters: 14)",Lethal Industry / SHARON Z. FLAGG-MORAN,40.5,E,E,4,0,E,E,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Novice, SNR (Starters: 14)",French Connection / CHRISTINA M. AGUET,38,TE,TE,0,0,TE,TE,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Novice, SNR (Starters: 14)",Spider V / KRISTI ALAMEDA,44,E,E,0,0,E,E,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Novice, SNRB (Starters: 12)",Cassandra / JENNIFER M. WRIGHT-WARREN,29.5,0,0,0,0,29.5,1,6.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Novice, SNRB (Starters: 12)",Tea for Two / AMY E. NELMS,31,0,0,0,0,31,2,5.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Novice, SNRB (Starters: 12)",Prince Maximillian / MARLEE J. HOLMES,31.5,0,1.2,0,0,32.7,3,4.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Novice, SNRB (Starters: 12)",Swiss Detail / LINDA PAINE,35.5,0,5.6,0,0,41.1,4,3.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Novice, SNRB (Starters: 12)",AE Psymmetry (AKA Timi) / BETSY WOBUS,34,0,6.8,8,0,48.8,5,2.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Novice, SNRB (Starters: 12)",JP Young / LUCINDA ROMERO,41,0,0,8,0,49,6,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Novice, SNRB (Starters: 12)",Shongehon / HOLLIS K. BROCK,38,0,12,0,0,50,7,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Novice, SNRB (Starters: 12)",Sir Cedric / KIMBERLY L. CARPENTER,43,0,7.2,0,0,50.2,8,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Novice, SNRB (Starters: 12)",Napoleon / ALICIA SWINTON,35.5,0,0,12,9,56.5,9,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Novice, SNRB (Starters: 12)",Tonbild's Fatasha / ROBYN M. DENEGA,41,W,W,E,E,E,E,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Novice, SNRB (Starters: 12)",Corbeagh Cruising / LINDA SAINT AMANT,50,E,E,0,0,E,E,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Novice, SNRB (Starters: 12)",Giaconda / ANDREW C. TEMKIN,34,0,0,0,0,HC,HC,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, JBNR (Starters: 14)",Nip-it-in-the-bud / CHLOE DELEHANTY,34.2,0,0,0,0,34.2,1,6.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, JBNR (Starters: 14)",Coup de Ville / SOPHIE E. HULME,33.7,0,0,4,0,37.7,2,5.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, JBNR (Starters: 14)",Equanimity / JULIETTE VERSTAEN,38.4,0,2.8,0,0,41.2,3,4.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, JBNR (Starters: 14)",/ NICOLE A. HOLOWNIA,37.4,0,0,4,0,41.4,4,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, JBNR (Starters: 14)",Corinthoz / BRANDON CARTER,41.6,0,4,0,0,45.6,5,2.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, JBNR (Starters: 14)",Braveheart / SHELBY RODEKOHR,46.3,0,0,0,0,46.3,6,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, JBNR (Starters: 14)",Jersey Boy /,38.4,0,0,4,5,47.4,7,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, JBNR (Starters: 14)",/ ELLEN M. GARAVATTI,44.2,0,0,0,4,48.2,8,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, JBNR (Starters: 14)",Not Bad For An Arab / SHYLA LEFEVER,50.5,0,0,4,0,54.5,10,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, JBNR (Starters: 14)",/ CATHERINE ROSEBERRY,44.7,20,2.4,4,0,71.1,12,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, JBNR (Starters: 14)",Borneo Silver Echo / ALICE CONEYBEER,42.1,0,28.8,4,3,77.9,13,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, JBNRB (Starters: 12)",/ AMANDA CANEPA,36.3,0,0,0,0,36.3,1,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, JBNRB (Starters: 12)",Dashing II / CHRISTINE E. FLOCK,32.6,0,0,4,0,36.6,2,5.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, JBNRB (Starters: 12)",Buddy / AMBER PEARSON,37.9,0,0,0,0,37.9,3,4.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, JBNRB (Starters: 12)",Mia Bella / LANI FRAZER,45.3,0,0,0,0,45.3,4,3.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, JBNRB (Starters: 12)",/ ALANNA REGAN,32.1,0,3.2,8,2,45.3,5,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, JBNRB (Starters: 12)",Papa's Duchess / MADELEINE S. MOORE,47.4,0,.4,0,0,47.8,6,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, JBNRB (Starters: 12)",Gino / PAIGE KINGERY,40,0,2.4,0,6,48.4,7,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, JBNRB (Starters: 12)",Bonita / KIMBERLEY LOW,43.7,0,4.8,0,0,48.5,8,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, JBNRB (Starters: 12)",Moonlit Dancer / MADISON K. HOGAN,38.4,0,4.4,4,2,48.8,9,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, JBNRB (Starters: 12)",Long Awaited / JULIE BROWN,37.4,0,13.6,4,1,56,10,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, JBNRB (Starters: 12)",Dakota / MARIAH S. COOGAN,30.5,40,25.2,12,23,130.7,11,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, JBNRB (Starters: 12)",/ JENNA BUSH,44.2,W,W,E,E,E,E,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, JBNRC (Starters: 13)",/ EMILY I. CARRENO,35.8,0,0,0,0,35.8,1,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, JBNRC (Starters: 13)",/ EMILY R. HORNBERGER,35.8,0,0,0,0,35.8,2,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, JBNRC (Starters: 13)",Stella De Mayo / KELLY A. LORIA,36.3,0,0,0,0,36.3,3,4.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, JBNRC (Starters: 13)",Without A Doubt /,40,0,0,0,0,40,4,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, JBNRC (Starters: 13)",/ CLAIRE A. CLICKNER,32.6,0,0,8,0,40.6,5,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, JBNRC (Starters: 13)",/ KRISTEN MERALA,36.8,0,0,4,3,43.8,6,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, JBNRC (Starters: 13)",Ceiriog Freya / AINSLEY FARADAY,42.1,0,5.6,0,0,47.7,8,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, JBNRC (Starters: 13)",Great Expectations / CAROLINE M. DEIN,44.7,0,3.6,0,0,48.3,9,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, JBNRC (Starters: 13)",/ HANNA RAMLETH,32.1,20,0,0,0,52.1,10,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, JBNRC (Starters: 13)",/ KENZIE AMACK,43.2,DR,DR,4,5,DR,DR,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, JBNRC (Starters: 13)",Perfect Intentions / SARAH BRAUN,37.9,W,W,0,0,W,W,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, JBNRC (Starters: 13)",InForaPenny / ABIGAIL HART,37.9,R,R,4,6,R,R,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, OBN (Starters: 12)",/ HAWLEY BENNETT-AWAD,32.1,0,0,0,0,32.1,1,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, OBN (Starters: 12)",Project Runway / MAXANCE MCMANAMY,32.6,0,0,0,0,32.6,2,5.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, OBN (Starters: 12)",Rhiannon / DANIELLE DOWNING,35.8,0,0,0,0,35.8,3,4.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, OBN (Starters: 12)",/ LAUREN WHITLOCK,36.3,0,0,0,0,36.3,4,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, OBN (Starters: 12)",/ MANON DAVIDSON,39,0,0,0,0,39,5,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, OBN (Starters: 12)",/ JAIMI MARTIN-PETERSON,37.4,0,.8,0,2,40.2,6,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, OBN (Starters: 12)",/ PAMELA RUSSELL-DALY,40.5,0,0,0,0,40.5,7,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, OBN (Starters: 12)",Cloverfield / DEBBIE DAVIS,37.9,0,0,4,0,41.9,8,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, OBN (Starters: 12)",Punahou / ALEXIS A. HELFFRICH,34.2,0,4,4,0,42.2,9,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, OBN (Starters: 12)",Magic 8 Ball / BRITTANY WHITING,39.5,W,W,4,25,W,W,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, OBN (Starters: 12)",/ VICTORIA HOWE,46.3,W,W,E,E,E,E,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, OBN (Starters: 12)",/ ALANA AMACK,36.8,W,W,W,W,W,W,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, OBNB (Starters: 13)",/ LYDIA HOLLY,34.2,0,0,0,0,34.2,1,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, OBNB (Starters: 13)",/ ADDISON JOHNSON,36.3,0,0,0,0,36.3,2,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, OBNB (Starters: 13)",Aughisky / DEBBIE DAVIS,37.4,0,0,0,0,37.4,3,4.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, OBNB (Starters: 13)",/ CHRISTINE DAVIDSON,34.2,0,0,4,0,38.2,4,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, OBNB (Starters: 13)",Sweet Pea V / DANIELLE DOWNING,40,0,0,0,0,40,5,2.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, OBNB (Starters: 13)",/ LAUREN WHITLOCK,46.3,0,0,4,0,50.3,6,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, OBNB (Starters: 13)",Toukoutou / CHRISTIANA ROSENBLATT,43.2,0,0,0,8,51.2,7,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, OBNB (Starters: 13)",Destined To Be / ERIN L. MCCABE,39,0,8.4,0,7,54.4,8,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, OBNB (Starters: 13)",/ NORA PETERSON,47.4,20,81.2,4,6,158.6,9,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, OBNB (Starters: 13)",/ LIZ A. HALL,39,W,W,8,4,W,W,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, OBNB (Starters: 13)",Fuerst Boheme R / JILLIAN TERZIAN,34.7,W,W,E,E,E,E,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, OBNB (Starters: 13)",Awesome Commander / CLAUDIA DUNCAN,47.4,W,W,R,R,R,R,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, OBNB (Starters: 13)",London / DAN BYRUM,42.6,W,W,W,W,W,W,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, SBNR (Starters: 14)",Britannica / ANNIE DESMOND,29.5,0,0,0,1,30.5,1,6.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, SBNR (Starters: 14)",Sweet Reason / VICTORIA KLEIN,33.2,0,2,0,1,36.2,2,5.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, SBNR (Starters: 14)",Reb's Honor ** / CAROL ARNOLD,42.1,0,0,0,0,42.1,4,3.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, SBNR (Starters: 14)",Spotless / ALLISON J. HULME,41.1,0,2.4,0,0,43.5,5,2.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, SBNR (Starters: 14)",Strawberry Sunshine / NICKU BASTANI,45.8,0,0,4,0,49.8,6,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, SBNR (Starters: 14)",/ VALI FRANK,46.3,0,0,0,5,51.3,7,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, SBNR (Starters: 14)",Denton / DIANE FINKELSTEIN,37.9,0,7.2,0,7,52.1,8,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, SBNR (Starters: 14)",Cutamo / JOHN F. MARSHALL,52.1,0,0,4,0,56.1,9,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, SBNR (Starters: 14)",/ KIMBERLY L. CARPENTER,54.2,0,20,4,0,78.2,10,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, SBNR (Starters: 14)",Caught Red Handed / JANE BURKEMPER,39,0,48,0,2,89,11,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, SBNR (Starters: 14)",Diva / ELIZABETH HANSEN,37.9,W,W,E,E,E,E,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Beginner Novice, SBNR (Starters: 14)",/ COURTNEY M. PECK,39.5,E,E,0,3,E,E,--,--
