Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[HT] Advanced, A",Cinzano,AMBER BIRTCIL,31.8,40,29.2,4,3.2,108.2,1,
"[HT] Advanced, A",Campari FFF,MARC GRANDIA,33.6,80,E,-,-,E,E,
"[HT] Advanced, A",Elle,MEGAN MCIVER,37.5,20,MR,-,-,MR,MR,
"[HT] Advanced, A",Cooley By Design,GINA ECONOMOU,38.4,20,RF,-,-,RF,RF,
"[HT] Intermediate, OI",Disco Traveler,MOLLY DUDA,33.4,0,0,0,0,33.4,1,12.0
"[HT] Intermediate, OI",Stoneman,TAYLOR MCFALL,37.2,0,1.2,4,0.8,43.2,2,10.0
"[HT] Intermediate, OI",HindSight,KASSANDRA MCMILLAN,33.4,0,6.4,4,0,43.8,3,8.0
"[HT] Intermediate, OI",Kilbunny Amigo,HAILEY BLACKBURN,31.8,0,7.6,8,0.8,48.2,4,8.0
"[HT] Intermediate, OI",Raskadero,GRACE WECHSER,33,0,12.8,4,0,49.8,5,
"[HT] Intermediate, OI",FE Unlimited,ELSA WARBLE,36.2,0,14.4,0,0.4,51,6,
"[HT] Intermediate, OI",Kismet Klosterbrau,JOLIE WENTWORTH,33.8,0,14,4,0,51.8,7,
"[HT] Intermediate, OI",Pistol Annie,JOSEY THOMPSON,37.8,20,23.2,0,0.4,81.4,8,
"[HT] Intermediate, OI",Daehling Dex,ELLA GARCIA,44.6,0,25.2,12,2.8,84.6,9,
"[HT] Intermediate, OI",Kapitan Sparrow XII,MEGAN MCIVER,35.6,20,28.8,0,1.6,86,10,
"[HT] Intermediate, OI",Joshuay MBF,TOMMY M. GREENGARD,27.2,-,W,-,-,W,W,
"[HT] Intermediate, OI",Isi,ASIA H. VEDDER,32.4,20,RF,-,-,RF,RF,
"[HT] Preliminary, OP",Call Me Rudi,JAMES ALLISTON,25.3,0,0,0,0,25.3,1,
"[HT] Preliminary, OP",Cora,JAMES ALLISTON,26.8,0,0,0,0,26.8,2,
"[HT] Preliminary, OP",Lilly,MOLLY DUDA,23.7,0,0,4,0,27.7,3,6.0
"[HT] Preliminary, OP",Cooley Sky Watch,FRANKIE THIERIOT STUTES,29.2,0,0,0,0.8,30,4,
"[HT] Preliminary, OP",I.M. Over It,BARBARA CRABO,32.4,0,0,0,0,32.4,5,
"[HT] Preliminary, OP",That's Me Z,TOMMY M. GREENGARD,29.2,0,0.4,4,0,33.6,6,
"[HT] Preliminary, OP",HSH Redfield Hillside Star,HELEN ALLISTON,30.8,0,0,4,0.8,35.6,7,
"[HT] Preliminary, OP",Czechers,KRISTIN JOLY,30.5,0,0,4,2.4,36.9,8,
"[HT] Preliminary, OP",Cilano,MEGAN MCIVER,35.5,0,0,0,1.6,37.1,9,
"[HT] Preliminary, OP",Elwenda DP,STEPHANIE GOODMAN,29,0,5.2,4,1.2,39.4,10,
"[HT] Preliminary, OP",Happiness Is,JOSH BARNACLE,25.8,0,0,8,6.8,40.6,11,
"[HT] Preliminary, OP",Ard Cooley,SIGOURNEY JELLINS,33.7,0,0,4,4.4,42.1,12,
"[HT] Preliminary, OP",Hallelujah DF,TAYLOR MCFALL,32.6,0,1.6,12,0,46.2,13,
"[HT] Preliminary, OP",Girl of California,JOLIE WENTWORTH,23.4,20,6.4,0,0,49.8,14,
"[HT] Preliminary, OP",Drs Resolute,STEPHANIE GOODMAN,27.9,20,27.6,0,0,75.5,15,
"[HT] Preliminary, OP",LEAP OF FAITH FSF,NATALIE BRADY,32.4,60,27.2,4,0,123.6,16,
"[HT] Preliminary, OP",Chosen One DF,AMBER PEARSON,29.5,60,R,-,-,R,R,
"[HT] Preliminary, OP",Galliard's Lancer,AUBURN EXCELL BRADY,26.6,-,W,-,-,W,W,
"[HT] Preliminary, OP",Oliver,JENNIFER L. MCRONALD,34.5,0,9.6,0,E,E,E,
"[HT] Preliminary, OP",Carlingfords Hes a Clover,MOLLY DUDA,25.5,-,W,-,-,W,W,
"[HT] Preliminary, PR",Dalanteretto,COCO C. MEERKAMP,29.2,0,0,0,0,29.2,1,6.0
"[HT] Preliminary, PR",Woodland's Be Dignified,SAMI CLARK,29.2,0,0,0,0,29.2,2,5.0
"[HT] Preliminary, PR",MGH Capa Vilou,JULIA BEAUCHAMP CRANDON,30.3,0,0,0,1.6,31.9,3,4.0
"[HT] Preliminary, PR",Greenfort Othello,EMILY SCHMITZ,33.4,0,0,0,0,33.4,4,3.0
"[HT] Preliminary, PR",Moto GP,LUNA SOUCHARD,25,0,1.6,8,0,34.6,5,
"[HT] Preliminary, PR",Playing the Game,JULIA BEAUCHAMP CRANDON,35,0,0,0,0,35,6,2.0
