Event,Division,Competitor,D-S,XC-J,XC-T,SJ-J,SJ-T,S,P,Pts,U-Pts
Woodside Spring H.T. (May 2006),"[HT] Beginner Novice, SBNAR (Starters: 11)",Logan / KRISTINA ALBRIGHT,39.5,0,0,4,0,43.5,5,2.0,--
Woodside Spring H.T. (May 2006),"[HT] Beginner Novice, SBNAR (Starters: 11)",Willing Accomplice / LINDA K. BETTS,36,0,0,4,6,46,6,0.0,--
Woodside Spring H.T. (May 2006),"[HT] Beginner Novice, SBNAR (Starters: 11)",Igman / JAYNE SLAYTON,45.5,0,18.4,0,2,65.9,7,0.0,--
Woodside Spring H.T. (May 2006),"[HT] Beginner Novice, SBNAR (Starters: 11)",/ JEANNE CARLEY,43,0,0,12,36,91,8,--,--
Woodside Spring H.T. (May 2006),"[HT] Beginner Novice, SBNAR (Starters: 11)",/ TARA VERKUIL,22.5,0,68.4,0,6,96.9,9,--,--
Woodside Spring H.T. (May 2006),"[HT] Beginner Novice, SBNAR (Starters: 11)",De Mello / MEGAN GASTEL,33.5,E,E,4,0,E,E,--,--
Woodside Spring H.T. (May 2006),"[HT] Beginner Novice, SBNAR (Starters: 11)",Comanche Moon / ALECIA MILLER,50.5,W,W,16,16,W,W,--,--
Woodside Spring H.T. (May 2006),"[HT] Beginner Novice, SBNR (Starters: 13)",Aurora / EVA BECK-ERISMANN,33.5,0,0,0,0,33.5,1,6.0,--
Woodside Spring H.T. (May 2006),"[HT] Beginner Novice, SBNR (Starters: 13)",/ COLLEEN SHJEFLO,37.5,0,0,0,0,37.5,2,--,--
Woodside Spring H.T. (May 2006),"[HT] Beginner Novice, SBNR (Starters: 13)",Awesome Commander / CLAUDIA DUNCAN,35,0,0,4,0,39,3,4.0,--
Woodside Spring H.T. (May 2006),"[HT] Beginner Novice, SBNR (Starters: 13)",Sotto Voce / LEEAN NOUNNAN,38,0,0,0,5,43,4,3.0,--
Woodside Spring H.T. (May 2006),"[HT] Beginner Novice, SBNR (Starters: 13)",/ LARA MOSER,28,20,0,0,0,48,5,--,--
Woodside Spring H.T. (May 2006),"[HT] Beginner Novice, SBNR (Starters: 13)",Kinsale / ANNIE J. SCHMIDT,38.5,0,0,4,6,48.5,6,0.0,--
Woodside Spring H.T. (May 2006),"[HT] Beginner Novice, SBNR (Starters: 13)",Cash N Diamonds / GILLIAN WARD,45.5,0,0,4,0,49.5,7,0.0,--
Woodside Spring H.T. (May 2006),"[HT] Beginner Novice, SBNR (Starters: 13)",Hadahunch / SHARON IX,38,0,5.2,0,7,50.2,8,0.0,--
Woodside Spring H.T. (May 2006),"[HT] Beginner Novice, SBNR (Starters: 13)",Diva / ELIZABETH HANSEN,39.5,20,0,4,4,67.5,10,0.0,--
Woodside Spring H.T. (May 2006),"[HT] Beginner Novice, SBNR (Starters: 13)",Figaro /,37.5,0,6.8,12,15,71.3,12,--,--
Woodside Spring H.T. (May 2006),"[HT] Beginner Novice, SBNR (Starters: 13)",Hunter / HELEN JARVIS,47,0,28.8,0,19,94.8,13,0.0,--
