Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[HT] Intermediate, OI",Can Be Sweet,LAUREN BILLYS SHADY,27.3,0,6.8,4,0,38.1,1,1-2.0
"[HT] Intermediate, OI",GHS Calexico,MARC GRANDIA,30.5,0,11.6,0,0,42.1,2,1-0.0
"[HT] Intermediate, OI",Playing the Game,JULIA BEAUCHAMP CRANDON,38.9,0,5.2,0,0,44.1,3,8.0
"[HT] Intermediate, OI",HindSight,KASSANDRA MCMILLAN,33.9,0,8,4,0,45.9,4,0.0
"[HT] Intermediate, OI",E'zara,INDIA MCEVOY,30.2,0,16.4,0,0,46.6,5,0.0
"[HT] Intermediate, OI",Greenfort Othello,EMILY SCHMITZ,35.9,0,12.8,4,0,52.7,6,0.0
"[HT] Intermediate, OI",Quintessence,MEGAN MCIVER,30.5,0,18.4,4,0,52.9,7,0.0
"[HT] Intermediate, OI",Baral Silversee,DAVID ADAMO,45.7,0,6.4,12,0,64.1,8,0.0
"[HT] Intermediate, OI",Hyacinth,ERIN D. GRANDIA,32.7,20,30,12,0,94.7,9,0.0
"[HT] Intermediate, OI",Daehling Dex,ELLA GARCIA,43.2,60,25.6,4,0,132.8,10,0.0
"[HT] Intermediate, OI",Fuego,ALYSSA R. SCHAEFER,28.9,40,R,R,R,R,R,0.0
"[HT] Intermediate, OI",Isi,ASIA H. VEDDER,26.8,60,R,R,R,R,R,0.0
"[HT] Preliminary, OP",Get Wild,GABRIELLA RINGER,27.6,0,0,0,0,27.6,1,6.0
"[HT] Preliminary, OP",Cora,JAMES ALLISTON,29.3,0,0,0,0,29.3,2,5.0
"[HT] Preliminary, OP",That's Me Z,TOMMY M. GREENGARD,29.8,0,0,0,0,29.8,3,4.0
"[HT] Preliminary, OP",Call Me Rudi,HELEN ALLISTON,30,0,0,0,0,30,4,3.0
"[HT] Preliminary, OP",Carlingfords Hes a Clover,MOLLY DUDA,31.7,0,0,0,0,31.7,5,0.0
"[HT] Preliminary, OP",Carter,AMANDA BOYCE,33.3,0,0,0.8,0,34.1,6,0.0
"[HT] Preliminary, OP",Levino,MARC GRANDIA,31.2,0,2.4,4,0,37.6,7,0.0
"[HT] Preliminary, OP",Moto GP,LUNA SOUCHARD,27.4,0,4,8,0.4,39.8,8,0.0
"[HT] Preliminary, OP",Ard Cooley,SIGOURNEY JELLINS,34.3,0,8,0,0,42.3,9,0.0
"[HT] Preliminary, OP",Dark Knight Royale,SALLY A. PHILLIPS,45,0,0,0,0,45,10,0.0
"[HT] Preliminary, OP",Fürst Floid,KRISTEN DAVIGNON,30.2,0,9.6,8,0,47.8,11,0.0
"[HT] Preliminary, OP",Stoneman,TAYLOR MCFALL,28.8,20,0.8,0,0,49.6,12,0.0
"[HT] Preliminary, OP",Justiz-ESH,INDIA MCEVOY,33.6,20,2,24,0.4,80,13,0.0
