Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[HT] Advanced/Intermediate, AI",Elliot-V,TAMRA SMITH,31.8,0,8.8,4,1.6,46.2,1,12.0
"[HT] Advanced/Intermediate, AI",Quintessence,MEGAN MCIVER,33.9,20,23.6,4,4.8,86.3,2,20.0
"[HT] Advanced/Intermediate, AI",Diego,LAUREN LOPICCOLO,30.5,0,15.2,W,W,W,0.0,
"[HT] Intermediate, OI",Global Showtime,SARAH ERTL,30.4,0,0,4,0,34.4,1,12.0
"[HT] Intermediate, OI",M Creme De La Creme SE,ALEXIS A. HELFFRICH,28,0,6.8,0,2,36.8,2,10.0
"[HT] Intermediate, OI",Shadow Inspector,HALEY TURNER,27.3,0,9.6,0,1.6,38.5,3,8.0
"[HT] Intermediate, OI",Happiness Is,JOSH BARNACLE,32.3,0,1.6,4,0.8,38.7,4,
"[HT] Intermediate, OI",Mai Tanzer,TAMRA SMITH,29.6,0,10,8,0.8,48.4,5,
"[HT] Intermediate, OI",Rogadina,MADELEINE S. MOORE,38.6,0,9.6,0,0.4,48.6,6,
"[HT] Intermediate, OI",Stonehavens Royal Touch,TESS MOLINAR,34.5,0,13.2,0,1.6,49.3,7,
"[HT] Intermediate, OI",Makemineadouble,TAMRA SMITH,35.2,0,8.4,8,0,51.6,8,
"[HT] Intermediate, OI",Cooley Rock Star,CAMILLE BREWER,33.2,0,15.6,4,4.8,57.6,9,
"[HT] Intermediate, OI",Ringwood Trendsetter,KELLY PUGH GOODMAN,32.9,20,9.6,0,0,62.5,10,
"[HT] Intermediate, OI",E'zara,INDIA MCEVOY,30,20,14.8,4,1.2,70,11,
"[HT] Preliminary, OP",Monkey,JAMES ALLISTON,26.3,0,0,0,0,26.3,1,6.0
"[HT] Preliminary, OP",Peddersson,JAMES ALLISTON,26.1,0,0,0,1.2,27.3,2,5.0
"[HT] Preliminary, OP",Flinterro Z,JAMES ALLISTON,30.4,0,0,0,0,30.4,3,4.0
"[HT] Preliminary, OP",Galicia,TAMRA SMITH,31.1,0,0,0,0.8,31.9,4,
"[HT] Preliminary, OP",Go Go Boots,JOSH BARNACLE,30.4,0,2.8,0,0,33.2,5,
"[HT] Preliminary, OP",Karma,JAMES ALLISTON,33.3,0,0,0,0,33.3,6,
"[HT] Preliminary, OP",Bittersweet 2,JOSH BARNACLE,27,0,1.2,4,2,34.2,7,
"[HT] Preliminary, OP",Deichkind 10,TAMRA SMITH,26.1,0,6.8,8,0,40.9,8,
"[HT] Preliminary, OP",M Cloudy De Lune SE,CAITLIN L. DAVISON,36.5,0,8.8,0,2,47.3,9,
"[HT] Preliminary, OP",Chatsworth Veyron,DANA CHASE,44.6,0,5.2,0,1.2,51,10,6.0
"[HT] Preliminary, OP",Fred,DAVID ADAMO,37.8,0,0,8,11.6,57.4,11,
"[HT] Preliminary, OP",Oliver,JENNIFER L. MCRONALD,39.1,0,5.6,12,0.8,57.5,12,
"[HT] Preliminary, OP",FE Nikki Beach,TOMMY M. GREENGARD,37.2,W,W,W,W,0.0,
"[HT] Preliminary, PR",Catchy One-liner,BARBARA SLAUGHTER,31.3,0,0.8,0,2.4,34.5,1,6.0
"[HT] Preliminary, PR",Farfelu,MADDISON ROUSE,35,0,0,0,0.4,35.4,2,5.0
"[HT] Preliminary, PR",Grey Moon Runner,RACHEL GRAHAM,35.9,0,0,0,0.8,36.7,3,4.0
"[HT] Preliminary, PR",Tanqueray,MIRANDA R. OLAGARAY,37.6,0,0,0,1.6,39.2,4,3.0
"[HT] Preliminary, PR",Ghost,ANNA HALBERG,38.9,0,0,0,2,40.9,5,
"[HT] Preliminary, PR",So Cool,PIP HAYES,34.6,0,1.6,8,2,46.2,6,
"[HT] Preliminary, PR",Woodland's Be Dignified,SAMI CLARK,33,0,4.8,4,4.8,46.6,7,
"[HT] Preliminary, PR",Hypnos RC,JOANNA SCHIELEIN,37.8,0,4,4,1.6,47.4,8,
"[HT] Preliminary, PR",Daehling Dex,ELLA GARCIA,43.9,0,0,4,0,47.9,9,
"[HT] Preliminary, PR",LachStone Robin,JULIETTE KOSMONT,44.4,0,1.2,4,2,51.6,10,
"[HT] Preliminary, PR",Verdandi,DEVON HUGHES,41.5,0,3.6,4,2.8,51.9,11,
"[HT] Preliminary, PR",Csongor,HALEY ABBETT,32.2,0,14.8,4,3.2,54.2,12,
"[HT] Preliminary, PR",Greenfort Othello,EMILY SCHMITZ,37.6,0,11.2,4,3.2,56,13,
"[HT] Preliminary, PR",Rosso Bellezza,AYLISH A. ARANA,43,0,1.2,16,0,60.2,14,
"[HT] Preliminary, PR",RF Calypso,MARISSA WESSLUND,40,20,9.2,4,2,75.2,15,
"[HT] Training, JTR",Duke HW,MIA BROWN,23,0,0,0,0,23,1,7.0
"[HT] Training, JTR",Geronimo,PAYTON PIEARCY,28.4,0,0,0,0,28.4,2,6.0
"[HT] Training, JTR",Excalibur Balladeer,SAVANNAH M. BYRD,30.7,0,0,0,0,30.7,3,5.0
"[HT] Training, JTR",King's Affair,NATALIE KRAUS,31.1,0,0,0,0,31.1,4,
"[HT] Training, JTR",R-Star,RYLIN M. CLARKE,32.3,0,0,0,0,32.3,5,
"[HT] Training, JTR",Dassett Theme BCF,JASMINE SANDHU,33.2,0,0,0,0,33.2,6,
"[HT] Training, JTR",Ballingowan Star Boy,NADIA VOGT,35.9,0,0,0,0,35.9,7,
"[HT] Training, JTR",Hawk Action,CLARA MARKS,32.3,0,0,4,0,36.3,8,
"[HT] Training, JTR",Luxor,CARLY SCHWAAB,35.2,0,0,4,0,39.2,9,
"[HT] Training, JTR",Moscombe Sirius,MILA MCGILL,40.2,0,0,0,0,40.2,10,
"[HT] Training, JTR",Fritz Patrick,RYLAN TUCKER,43.9,0,0,0,0,43.9,11,
"[HT] Training, JTR",Storm Watch,NATALIE BARTON,40.9,0,0,4,0,44.9,12,
"[HT] Training, JTR",Prada,SYDNEY ROBINSON,32.1,0,RF,RF,RF,RF,0.0,
"[HT] Modified/Training, MT:O",MMS Amadeus,LAUREN LOPICCOLO,31.9,0,0,0,0,31.9,1,7.0
"[HT] Modified/Training, MT:O",Fanlehane Valentino,KELLY PUGH GOODMAN,32.2,0,0,4,0,36.2,2,6.0
"[HT] Modified/Training, MT:O",Oakley's Hunt SE,LEAH M. FORQUER,32.3,0,0,4,0,36.3,3,7.0
"[HT] Modified/Training, MT:O",Infinity,LISA SABO,32.4,0,0,4,2.8,39.2,4,
"[HT] Modified/Training, MT:O",Bella Vida GWF,NICOLE A. HOLOWNIA,37.4,0,2.4,0,0,39.8,5,6.0
"[HT] Modified/Training, MT:O",Baral Silversee,DAVID ADAMO,34.8,0,0,4,1.6,40.4,6,
