Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[HT] Advanced, A",RevitaVet Calaro,JAMES ALLISTON,36.9,0,8.4,0,0,45.3,1,12.0
"[HT] Advanced, A",Outrageous Dance,KATHERINE ROBINSON,40.9,0,16,8,2,66.9,2,10.0
"[HT] Advanced, A",Whiskey Up,KAYLEEN P. CROWLEY,41,0,20.8,8,1.6,71.4,3,8.0
"[HT] Advanced, A",Exclusive,GINA ECONOMOU,32.4,,W,,,,W,
"[HT] Advanced, A",MB MaiBlume,KAYLAWNA SMITH-COOK,42.8,,W,,,,W,
"[HT] Advanced, A",Solaguayre California,TAMRA SMITH,27.4,,W,,,,W,
"[HT] Advanced, A",Laguna Seca,ANDREA BAXTER,38.3,0,R,,,,R,
"[HT] Advanced, A",Elliot V,TAMRA SMITH,30.3,,W,,,,W,
"[HT] Intermediate, OI",Joshuay MBF,TOMMY M. GREENGARD,23.6,0,4.4,4,0,32,1,12.0
"[HT] Intermediate, OI",Shadow Inspector,HALEY TURNER,24.1,0,10,0,0,34.1,2,10.0
"[HT] Intermediate, OI",Diego,LAUREN LOPICCOLO,32.5,0,6.4,0,1.6,40.5,3,8.0
"[HT] Intermediate, OI",Karma,JAMES ALLISTON,39.5,0,1.6,0,0,41.1,4,6.0
"[HT] Intermediate, OI",Rogadina,MADELEINE S. MOORE PIERETTI,39.1,0,2.4,0,0,41.5,5,4.0
"[HT] Intermediate, OI",Monkey,JAMES ALLISTON,34.8,0,4.4,4,0,43.2,6,0.0
"[HT] Intermediate, OI",Passepartout,KAYLAWNA SMITH-COOK,29.7,0,6.4,8,0,44.1,7,0.0
"[HT] Intermediate, OI",Stoneman,TAYLOR MCFALL,36.4,0,0,8,0,44.4,8,0.0
"[HT] Intermediate, OI",Quintessence,MEGAN MCIVER,37,0,9.6,0,0,46.6,9,0.0
"[HT] Intermediate, OI",BSP Tuxedo,AUBURN EXCELL BRADY,30.5,0,18,0,0.8,49.3,10,0.0
"[HT] Intermediate, OI",Counterpoint,REBECCA BRAITLING,30.9,0,14.8,4,0,49.7,11,0.0
"[HT] Intermediate, OI",Elle,KIM F. GOTO MINER,34.1,0,18.4,0,0,52.5,12,0.0
"[HT] Intermediate, OI",Kilbunny Amigo,HAILEY BLACKBURN,33.3,0,18.4,4,4.4,60.1,13,0.0
"[HT] Intermediate, OI",Cheers,TAMRA SMITH,36.4,20,34.4,0,0,90.8,14,0.0
