Division,Horse,Rider,Dressage,XC_Jump_Pen,XC_Time_Pen,SJ_Jump_Pen,SJ_Time_Pen,Final_Score,Rank
"Training, T:SR RIDER","Mon Petit Nuage","DEIRDRE MCCASKELL",41.5,20,0.0,4,0.0,65.5,8
"Training, T:SR RIDER","By Jove","EILEEN O'FARRELL",32.5,20,0.0,4,13.0,69.5,9
"Training, T:SR RIDER","Southern Sage","JENINA SEGALE",35.0,0,0.0,0,0.0,35.0,E
"Training, T:SR RIDER","Michael","GABRIEL AGUILAR",48.0,0,0.0,12,16.0,76.0,E
"Novice, N:JR RIDER","Phar Away Day","ALYSON COLE",26.0,0,0.0,0,0.0,26.0,1
"Novice, N:JR RIDER","Corlander II","ARI LOPEZ",25.0,0,0.0,4,0.0,29.0,2
"Novice, N:JR RIDER","Hurricane II","DANIELLE CHOU",32.5,0,0.0,0,1.0,33.5,3
"Novice, N:JR RIDER","Akamina","LAURA W. KRIEGER",35.5,0,0.0,0,0.0,35.5,4
"Novice, N:JR RIDER","Time to Chime","ASHLEIGH GUICH",37.5,0,0.0,0,0.0,37.5,5
"Novice, N:JR RIDER","Custom Paint Job","CLAIRE O'CONNELL",40.0,0,0.0,0,0.0,40.0,6
"Novice, N:JR RIDER","Slow Boat To Norway","DANIELLE KALEVA",37.5,0,0.0,4,0.0,41.5,7
"Novice, N:JR RIDER","Mighty Mouse V","KRISTI MURPHY",42.0,0,0.0,0,0.0,42.0,8
"Novice, N:JR RIDER","Graf Argentan","MOLLY TOTTEN",44.5,0,0.0,4,0.0,48.5,9
"Novice, N:JR RIDER","Eagle's Flight","EMILY S. CHRISTENSEN",29.0,20,0.0,0,0.0,49.0,10
"Novice, N:JR RIDER","Biscotty (See #103265)","SAMANTHA VALENTINE",33.0,20,0.0,0,0.0,53.0,11
"Novice, N:JR RIDER","Nanook","ANNA MEDINA",33.0,20,0.0,0,0.0,53.0,11
"Novice, N:JR RIDER","Quick Silver IV","EMILY MURRER",35.5,0,20.0,0,0.0,55.5,13
"Novice, N:JR RIDER","Winchester VII","CHLOE LALONDE",38.0,20,0.8,0,0.0,58.8,14
"Novice, N:JR RIDER","Tolar **","JENNIFER GRAHAM",37.5,20,0.0,4,0.0,61.5,15
"Novice, N:JR RIDER","Kilbarry Hope","ERICA C. STANCLIFF",33.5,20,0.0,12,0.0,65.5,16
"Novice, N:JR RIDER","Joie De Vivre","LANIE PETERSON",53.0,20,17.6,0,0.0,90.6,17
"Novice, N:JR RIDER","Lira","TALIA M. GOSHAY",38.0,60,0.0,0,0.0,98.0,18
"Novice, N:JR RIDER","Top O' The Morning","ABIGAIL HART",50.0,60,0.0,8,9.0,127.0,19
"Novice, N:JR RIDER","Another Toy","AMY SLOAN",30.0,0,0.0,0,0.0,30.0,E
"Novice, N:JR RIDER","Splash **","JENAI M. GARCIA",34.0,0,0.0,0,0.0,34.0,E
"Novice, N:JR RIDER","The Party's Over","HEATHER M. WINTERS",41.0,0,0.0,0,0.0,41.0,E
"Novice, N:JR RIDER","Rocket **","LAURA JASSOWSKI",33.0,0,0.0,4,4.0,41.0,E
"Novice, N:JR RIDER","Huckleberry Finn III","COURTNEY GOTFRIED",49.5,0,0.0,8,0.0,57.5,E
"Novice, N:OPEN","Isabella","JENNIFER WOOTEN - MACOUZET",27.5,0,0.0,0,0.0,27.5,1
"Novice, N:OPEN","Lexington III","ATHENA HALL",31.5,0,0.0,0,0.0,31.5,2
"Novice, N:OPEN","Kilduggan","BIRGIT BYERS",31.5,0,0.0,0,0.0,31.5,3
"Novice, N:OPEN","Panderetta","JENINA SEGALE",27.0,0,0.0,8,0.0,35.0,4
