Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[HT] Advanced, A",Warrick,JOHN MICHAEL DURR,35.7,0,12,4,0,51.7,1,12.0
"[HT] Advanced, A",In A Dream,EARL MCFALL,41,0,12,12,16,81,2,10.0
"[HT] Advanced, A",Tequesteris,NATALIA K. NENEMAN,46,0,11.2,16,5,78.2,3,8.0
"[HT] Advanced, A",Gustav,JAMES ATKINSON,36.3,20,23.2,0,3,82.5,4,0.0
"[HT] Advanced, A",Last Call,ALEXANDRA KNOWLES,33,0,0,0,0,33,HC,
"[HT] Advanced, A",Gin & Juice,HAWLEY BENNETT-AWAD,34,0,4,1,3,39,HC,
"[HT] Advanced, A",Sound Prospect,TESSA BECKETT,40.3,0,8.8,0,0,WWWW,WWWW,
"[HT] Intermediate, OI",Ballingowan Ginger,LAUREN BILLYS,36,0,2,0,0,38,1,12.0
"[HT] Intermediate, OI",Lad's Night Out,BEA DI GRAZIA,29.2,0,1.2,8,0,38.4,2,10.0
"[HT] Intermediate, OI",Five O'Clock Somewhere,HAWLEY BENNETT-AWAD,34,0,4.8,0,0,38.8,3,8.0
"[HT] Intermediate, OI",Bonza Twist of Fate,TERESA HARCOURT,33.6,0,4.8,4,0,42.4,4,0.0
"[HT] Intermediate, OI",R-Star,KRISTI M. NUNNINK,35.2,0,17.2,0,0,52.4,5,0.0
"[HT] Intermediate, OI",Rock-On Rose,WHITNEY WESTON,44.4,0,8.4,0,0,52.8,6,0.0
"[HT] Intermediate, OI",V.E. Finnegan,JOHN MICHAEL DURR,38.4,0,8.8,8,0,55.2,7,0.0
"[HT] Intermediate, OI",Annie Oakley III,JAMES ATKINSON,33.6,20,14,0,0,67.6,8,0.0
"[HT] Intermediate, OI",Sanssouci,YVES SAUVIGNON,34.4,0,44.4,0,12,90.8,9,0.0
"[HT] Intermediate, OI",Stella Brava,STACEY J. WINTER,35.2,60,R,0,0,RR,RR,
"[HT] Intermediate, OI",Tivoli,JAMES ALLISTON,38.4,0,RF,0,0,RFRF,RFRF,
"[HT] Intermediate, OI",Royal Heights,WHITNEY WESTON,36.8,60,E,0,0,EE,EE,
"[HT] Intermediate, OI",Project Runway,DEREK DI GRAZIA,32,0,RF,0,0,RFRF,RFRF,
"[HT] Preliminary, OP:A",Top Secret,TAMRA SMITH,31.3,0,0,0,0,31.3,1,6.0
"[HT] Preliminary, OP:A",Mojo,JAMES ALLISTON,32.2,0,0,0,0,32.2,2,5.0
"[HT] Preliminary, OP:A",Blackfoot Mystery,LISA PEECOOK,32.6,0,0,0,0,32.6,3,4.0
"[HT] Preliminary, OP:A",Jefferson,NATALIE BRADY,33,0,0,0,0,33,4,3.0
"[HT] Preliminary, OP:A",Elk Mountain,SHIRLEY ARONSON,30,0,0,4,0,34,5,0.0
"[HT] Preliminary, OP:A",Parker,SHIRLEY ARONSON,34.8,0,0,0,0,34.8,6,0.0
"[HT] Preliminary, OP:A",High Times,EARL MCFALL,32.6,0,3.2,4,0,39.8,7,0.0
"[HT] Preliminary, OP:A",Indy 500,ANDREA BAXTER,37,0,0,4,0,41,8,0.0
"[HT] Preliminary, OP:A",Mozart,VALERIE BELOT,39.1,0,0,4,0,43.1,9,0.0
"[HT] Preliminary, OP:A",Rumor Hazit,JULIE A. BOYER,33.9,0,12,0,0,45.9,10,0.0
"[HT] Preliminary, OP:A",Firebolt,JOHN STRASSBURGER,37.8,0,2,12,0,51.8,11,0.0
"[HT] Preliminary, OP:A",Alesi,LISA SABO,43.5,0,6.4,4,0,53.9,12,0.0
"[HT] Preliminary, OP:A",Isle Of Japan,DEREK DI GRAZIA,31.3,0,18.8,8,1,59.1,13,0.0
"[HT] Preliminary, OP:A",Auburn Labs Patronus,GINA O. MILES,31.7,20,7.2,8,0,66.9,14,0.0
"[HT] Preliminary, OP:A",Fuerst Nino R,ANDREA BAXTER,39.1,20,18,4,0,81.1,15,0.0
"[HT] Preliminary, OP:A",Serenade,JULIE A. BOYER,34.8,60,19.2,16,0,130,16,0.0
"[HT] Preliminary, OP:A",Arizona Blue,DEBORAH ROSEN,36.5,60,E,0,0,EEE,EEE,
"[HT] Preliminary, OP:B",Governess,JOLIE WENTWORTH,32.2,0,0,0,0,32.2,1,6.0
"[HT] Preliminary, OP:B",Hail II,NATALIA K. NENEMAN,35.7,0,0,0,0,35.7,2,5.0
"[HT] Preliminary, OP:B",True Confidence,DAVID W. ACORD,32.2,0,0,4,0,36.2,3,4.0
"[HT] Preliminary, OP:B",Aida,MATTHEW R. BROWN,39.1,0,0,0,0,39.1,4,3.0
"[HT] Preliminary, OP:B",Vanador PR,REBECCA BRAITLING,34.4,0,0.8,4,0,39.2,5,0.0
"[HT] Preliminary, OP:B",Estrella,ANDREA BAXTER,41.3,0,0,0,0,41.3,6,0.0
"[HT] Preliminary, OP:B",House Music,SIGOURNEY JELLINS,38.3,0,0,4,0,42.3,7,0.0
"[HT] Preliminary, OP:B",Nonsensical,HAWLEY BENNETT-AWAD,38.3,0,1.2,4,0,43.5,8,0.0
