Event,Division,Competitor,D-S,XC-J,XC-T,SJ-J,SJ-T,S,P,Pts,U-Pts
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, ON (Starters: 17)",Lethal Industry / SHARON Z. FLAGG-MORAN,31.6,0,0,8,0,39.6,9,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, ON (Starters: 17)",Orion's Light / SILVIA SZABO,42.1,0,0,4,0,46.1,10,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, ON (Starters: 17)",High Times / JENNIFER MCFALL,30,20,0,0,0,50,11,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, ON (Starters: 17)",Infinite / TRACY JAMES,46.8,0,0,8,0,54.8,12,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, ON (Starters: 17)",Armani / HEIDI D. MCRAE,32.1,0,18.4,8,0,58.5,13,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, ON (Starters: 17)",Lady Laptop / ERIN SERAFINI SPOHR,32.6,0,18,4,5,59.6,14,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, ON (Starters: 17)",Ballingowan Miller / AMBER LEVINE,42.1,0,31.6,4,5,82.7,15,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, ON (Starters: 17)",Pierre / ALEXANDRA KNOWLES,34.7,60,46.8,0,4,145.5,16,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, ON (Starters: 17)",On Tour / JULIE A. BOYER,41.1,40,15.2,28,41,165.3,17,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, SNAmt (Starters: 13)",Playin' It Cool / ASHLEY ANDERSON,32.6,0,0,0,2,34.6,1,6.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, SNAmt (Starters: 13)",Miss Tattletail / ELIZABETH MILLER,34.7,0,0,0,0,34.7,2,5.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, SNAmt (Starters: 13)",Notorious / TERRI C. TERRY,33.7,0,0,0,1,34.7,3,4.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, SNAmt (Starters: 13)",Aslan / REGINA DUPLESSE,29.5,0,8,0,0,37.5,4,3.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, SNAmt (Starters: 13)",AE Psymmetry (AKA Timi) / BETSY WOBUS,33.7,0,0,4,0,37.7,5,2.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, SNAmt (Starters: 13)",Odolus / JOAN HANKIN,35.3,0,7.6,4,2,48.9,6,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, SNAmt (Starters: 13)",Chiron / JENINA SEGALE,36.8,0,12.8,8,0,57.6,7,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, SNAmt (Starters: 13)",/ ELIISA GRIFFIN,33.2,0,8.8,4,12,58,8,--,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, SNAmt (Starters: 13)",Rhys's Pieces / NANCY BENSON,31.1,20,16,4,0,71.1,9,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, SNAmt (Starters: 13)",Silver Spring / LAURA A. WERNER,35.8,0,0,16,23,74.8,10,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, SNAmt (Starters: 13)",Awesome Commander / CLAUDIA DUNCAN,39,TE,TE,0,0,TE,TE,--,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, SNAmt (Starters: 13)",Igman / JAYNE SLAYTON,42.6,TE,TE,0,7,TE,TE,--,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, SNAmt (Starters: 13)",Fatamorgana / MATTHEW B. WALLEY,29,--,--,E,E,E,E,--,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, SNR (Starters: 23)",Amadeus VI / DANA WILCOX,28.4,0,0,0,0,28.4,1,7.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, SNR (Starters: 23)",Cor de Leigh / GRACE J. NORTON,29,0,0,0,0,29,2,6.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, SNR (Starters: 23)",Prince Maximillian / MARLEE J. HOLMES,29,0,0,0,1,30,3,5.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, SNR (Starters: 23)",Albert G / KATIE KOMNENICH,27.4,0,3.2,0,0,30.6,4,4.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, SNR (Starters: 23)",Cash N Diamonds / GILLIAN WARD,34.7,0,0,0,0,34.7,5,3.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, SNR (Starters: 23)",Ping Pong / JULIE FLETTNER,32.1,0,0,0,3,35.1,6,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, SNR (Starters: 23)",Zoe / JULIANA C. CRUZ,32.6,0,0,4,0,36.6,7,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, SNR (Starters: 23)",B A Keaster / HEIDI HOFFMANN,32.6,0,0,4,2,38.6,8,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, SNR (Starters: 23)",Woodford / WENDELL WILLIAMS,32.1,0,0,8,0,40.1,9,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, SNR (Starters: 23)",Callahan / KRISTEN MERALA,35.3,0,0,4,2,41.3,10,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, SNR (Starters: 23)",Corona & Lime / MADELYN REAVES,37.4,0,0,4,0,41.4,11,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, SNR (Starters: 23)",Ivory Joe / LYNDA MALAVANYA MD,41.6,0,1.6,0,0,43.2,12,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, SNR (Starters: 23)",Pandora / VALLI BOWMAN,42.1,0,1.2,0,0,43.3,13,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, SNR (Starters: 23)",Au Contraire / LEEAN NOUNNAN,43.7,0,0,0,0,43.7,14,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, SNR (Starters: 23)",Twiggy / JENNA D. FREITAS,34.2,0,0,8,4,46.2,15,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, SNR (Starters: 23)",Selene / GRETCHEN FORREY,43.7,0,0,4,0,47.7,16,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, SNR (Starters: 23)",Aughisky / JULIE WHITE,41.1,0,0,4,3,48.1,17,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, SNR (Starters: 23)",Lucky Folly / PENELOPE KOJIMA,47.4,0,0,0,2,49.4,18,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, SNR (Starters: 23)",Denver's Venus / LISA N. MOORE,36.3,0,11.2,4,1,52.5,19,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, SNR (Starters: 23)",Goldie Hawn / CHARLOTTE THUNEN,43.2,0,12.8,0,0,56,20,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, SNR (Starters: 23)",Two To Tango II / SUSAN ALLEN,37.4,0,0,8,18,63.4,21,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, SNR (Starters: 23)",Kaiden / CARRIE J. FINNO,49.5,0,21.2,4,7,81.7,22,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Novice, SNR (Starters: 23)",Elliot Bay / BEVERLY A. AIGEN,45.8,W,W,0,0,W,W,--,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, JBNRA (Starters: 14)",Skip's Cinder / KIMBERLY GOGAS,38.5,0,0,0,0,38.5,3,4.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, JBNRA (Starters: 14)",Killbarry Miley / ANDREA M. PFEIFFER,38,0,1.2,0,0,39.2,4,3.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, JBNRA (Starters: 14)",Apollo / TESSA MILA,31,20,0,0,0,51,6,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, JBNRA (Starters: 14)",/ LAUREN E. LEE,38,20,0,0,0,58,7,--,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, JBNRA (Starters: 14)",Celtic King / SELENA L. WEINSTOCK,31.5,0,0,12,21,64.5,8,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, JBNRA (Starters: 14)",Romina Powers / SOPHIA M. STARKMAN,39.5,40,1.6,0,0,81.1,10,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, JBNRA (Starters: 14)",/ KELLY BROTHERS,33,--,--,RF,RF,RF,RF,--,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, JBNRA (Starters: 14)",Sweet Pea V / SIMONE K. VAN OMMEREN,33.5,E,E,0,0,E,E,--,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, JBNRA (Starters: 14)",Makin' Magic / ISABELLA SULLIVAN,28.5,RF,RF,0,0,RF,RF,--,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, JBNRB (Starters: 15)",Britannica / JAMIE LERUM,17,0,0,4,0,21,1,6.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, JBNRB (Starters: 15)",/ AINSLEY FARADAY,27,0,0,0,0,27,3,--,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, JBNRB (Starters: 15)",/ SONYA BENGALI,28,0,0,0,0,28,4,--,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, JBNRB (Starters: 15)",Lance Cracker / MOLLY E. MOREIRA,36,0,0,4,0,40,9,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, JBNRB (Starters: 15)",/ NAIMA VALENTIN,45,0,0,0,0,45,10,--,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, JBNRB (Starters: 15)",/ MADISON TEMKIN,30,20,0,0,0,50,11,--,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, JBNRB (Starters: 15)",/ MADALENA P. PARISI,40.5,40,0,0,0,80.5,14,--,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, OBN (Starters: 20)",/ LINDSEY B. WEAVER,31,0,0,0,0,31,1,--,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, OBN (Starters: 20)",Mr. Splash / STEPHANIE SCHMOTTER,32.5,0,0,0,0,32.5,2,6.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, OBN (Starters: 20)",Mbalamwezi / KATHERINE FRANCHINI,33.5,0,0,0,0,33.5,3,5.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, OBN (Starters: 20)",/ MONICA DETTMER,35.5,0,0,0,0,35.5,4,--,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, OBN (Starters: 20)",Bravado / ALEXANDRA KNOWLES,32.5,0,0,4,0,36.5,5,3.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, OBN (Starters: 20)",Regal Exit / SIERRA N. MATHIAS,23.5,0,0,8,5,36.5,6,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, OBN (Starters: 20)",Illustrious / EARL MCFALL,31,0,0.4,8,0,39.4,7,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, OBN (Starters: 20)",Pudding / BRIAN FRANCHINI,40,0,0,0,0,40,8,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, OBN (Starters: 20)",Topgun / BARI BOERSMA,41,0,0,0,0,41,9,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, OBN (Starters: 20)",Two Timing Tommy / MEG GOULD,41.5,0,0,0,0,41.5,10,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, OBN (Starters: 20)",/ NATALIE BRADY,33.5,0,0,8,0,41.5,11,--,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, OBN (Starters: 20)",Tricky But Nice / ANNE A. BENNETT,44.5,0,0,4,0,48.5,12,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, OBN (Starters: 20)",Laheen / MADISON R. LLOYD,31.5,20,0,0,0,51.5,13,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, OBN (Starters: 20)",/ JENNIFER L. MCRONALD,43,0,0,12,0,55,14,--,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, OBN (Starters: 20)",/ HILLARY J. LUDWIG,31.5,20,0,8,0,59.5,15,--,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, OBN (Starters: 20)",Bronte / DANIELLE DOWNING,41,20,0,0,0,61,16,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, OBN (Starters: 20)",Orion / MICHAEL R. THOMAS,42.5,0,0,20,0,62.5,17,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, OBN (Starters: 20)",Kiwi Spice / SARAH A. JOYNT,40.5,0,8,12,2,62.5,18,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, OBN (Starters: 20)",/ NORA PETERSON,24,0,41.2,0,0,65.2,19,--,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, OBN (Starters: 20)",/ ERIN R. KELLERHOUSE,28.5,20,13.6,4,0,66.1,20,--,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, SBNR (Starters: 20)",/ ERICA D. BARTON,35,0,3.6,0,0,38.6,1,--,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, SBNR (Starters: 20)",/ NICOLE LABADIE,39.5,0,0,0,0,39.5,2,--,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, SBNR (Starters: 20)",Cutamo / JOHN F. MARSHALL,39.5,0,0,4,0,43.5,3,5.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, SBNR (Starters: 20)",Po'Ele / BARBARA SLAUGHTER,44.5,0,0,0,0,44.5,5,3.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, SBNR (Starters: 20)",Delacroix / MICHAEL BROOK,29.5,20,0,4,0,53.5,7,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, SBNR (Starters: 20)",Bee Hive / ALICE DUFFEE,34,0,14,8,4,60,8,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, SBNR (Starters: 20)",/ JEANNE CARLEY,36.5,20,7.6,0,0,64.1,9,--,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, SBNR (Starters: 20)",Sotto Voce / JENNIFER JOSLIN,42,0,20.8,0,14,76.8,10,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, SBNR (Starters: 20)",/ QUINNE FOKES,48.5,40,0,12,0,100.5,13,--,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, SBNR (Starters: 20)",/ NILDA MESISTRANO,44.5,0,72,8,10,134.5,15,--,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, SBNR (Starters: 20)",Caught Red Handed / JANE BURKEMPER,34.5,TE,TE,0,0,TE,TE,--,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, SBNR (Starters: 20)",Just Another Day / LISA J. WONG,31,W,W,4,2,W,W,--,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Beginner Novice, SBNR (Starters: 20)",Lady Claire / BOB M. GARCIA,40,--,--,RF,RF,RF,RF,--,--
