Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[HT] HT 3-Star, CIC3*",Jumbo's Jake,JAMES ALLISTON,41.7,0,1.6,4,0,47.3,1,32.0
"[HT] HT 3-Star, CIC3*",Goodknight,JOLIE WENTWORTH,49.8,0,0.8,4,0,54.6,2,29.0
"[HT] HT 3-Star, CIC3*",Parker,JAMES ALLISTON,52.2,0,0,4,0,56.2,3,26.0
"[HT] HT 3-Star, CIC3*",Buenos Aires,,51.9,0,0.4,4,0,56.3,4,
"[HT] HT 3-Star, CIC3*",Nabouco De Lessay,JENNIFER WOOTEN - MACOUZET,53.1,0,2.4,4,4,63.5,5,0.0
"[HT] HT 3-Star, CIC3*",Landioso,MACKENNA SHEA,47.1,20,9.6,0,4,80.7,6,0.0
"[HT] HT 3-Star, CIC3*",Estrella,ANDREA BAXTER,72.6,0,5.2,4,0,81.8,7,0.0
"[HT] HT 3-Star, CIC3*",Sea Lion II,PAM FISHER,65.1,0,9.6,8,0,82.7,8,0.0
"[HT] HT 3-Star, CIC3*",Iona Grey,JOHN MICHAEL DURR,62.1,20,16.8,8,0,106.9,9,0.0
"[HT] HT 3-Star, CIC3*",Uppercrust D,ANNA C. COLLIER,51.3,40,39.2,0,2,132.5,10,0.0
"[HT] HT 3-Star, CIC3*",Cool Dancer,BRITTANY LUNNEY,61.8,0,E,8,0,E,E,
"[HT] HT 3-Star, CIC3*",Myelusivedream,KRISTI WALKER,48,40,R,12,1,1,R,R
"[HT] HT 3-Star, CIC3*",Simply Priceless,PAM FISHER,69.3,,W,2,4,0,W,W
"[HT] HT 3-Star, CIC3*",Udealer,ANNA C. COLLIER,51,0,E,8,3,E,E,
"[HT] HT 3-Star, CIC3*",Warrick,JOHN MICHAEL DURR,62.4,0,R,4,0,R,R,
"[HT] HT 2-Star, CIC2*",Young Gun,MARIS L. BURNS,50.8,0,0,4,0,54.8,1,16.0
"[HT] HT 2-Star, CIC2*",Rise Against,BUNNIE S. SEXTON,58.3,0,0,0,0,58.3,2,14.0
"[HT] HT 2-Star, CIC2*",,,54.7,0,0,4,4,62.7,3,
"[HT] HT 2-Star, CIC2*",Sanssouci,YVES SAUVIGNON,58.9,0,1.2,0,3,63.1,4,10.0
"[HT] HT 2-Star, CIC2*",V.E. Finnegan,JOHN MICHAEL DURR,55,0,9.2,0,0,64.2,5,0.0
"[HT] HT 2-Star, CIC2*",Cambridge,HAWLEY BENNETT-AWAD,56.7,0,0,8,0,64.7,6,0.0
"[HT] HT 2-Star, CIC2*",Oz Poof of Purchase,AMBER LEVINE,56.1,0,1.2,8,0,65.3,7,0.0
"[HT] HT 2-Star, CIC2*",Splendorofthesun,HAWLEY BENNETT-AWAD,56.1,0,0,12,0,68.1,8,0.0
"[HT] HT 2-Star, CIC2*",,KATHRYN MORGAN,51.9,0,1.2,8,8,69.1,9,
"[HT] HT 2-Star, CIC2*",Ray,NATHAN GROSSE,60,0,6,8,0,74,10,0.0
"[HT] HT 2-Star, CIC2*",Rock-On Rose,WHITNEY WESTON,66.9,0,1.6,16,0,84.5,11,0.0
"[HT] HT 2-Star, CIC2*",Lad's Night Out,BEA DI GRAZIA,44.7,20,8.4,12,0,85.1,12,0.0
"[HT] HT 2-Star, CIC2*",Hail II,NATALIA K. NENEMAN,53.9,20,11.2,12,0,97.1,13,0.0
"[HT] HT 2-Star, CIC2*",,,67.5,20,5.6,12,0,105.1,14,
"[HT] HT 2-Star, CIC2*",Apres Ski,ALEXA K. PERKIEL,47.5,0,RF,8,5,RF,RF,
"[HT] HT 2-Star, CIC2*",Ballingowan Ginger,LAUREN BILLYS,55.5,,W,8,0,W,W,
"[HT] HT 2-Star, CIC2*",,,55.8,,W,20,0,W,W,
"[HT] HT 2-Star, CIC2*",Jefferson D'Aurois,KEVIN BAUMGARDNER,61.9,0,RF,16,0,RF,RF,
"[HT] Intermediate, OI",The Good Witch,JENNIFER WOOTEN - MACOUZET,37.2,0,0,0,0,37.2,1,12.0
"[HT] Intermediate, OI",Flashpoint D,KAITLIN L. VELTKAMP,38,0,0,0,1,39,2,10.0
"[HT] Intermediate, OI",Tivoli,JAMES ALLISTON,36.4,0,0.8,4,0,41.2,3,8.0
"[HT] Intermediate, OI",Borneo Royale,NORA BATTIG,31.2,0,10,0,0,41.2,4,6.0
"[HT] Intermediate, OI",Bonza Twist of Fate,TERESA HARCOURT,38,0,1.6,4,0,43.6,5,4.0
"[HT] Intermediate, OI",Konyagi,MAYA BLACK,35.2,0,4.4,4,0,43.6,6,0.0
"[HT] Intermediate, OI",Caboose,AUBURN EXCELL BRADY,36,0,5.2,4,1,46.2,7,0.0
"[HT] Intermediate, OI",Reins for Justice,DAVID W. ACORD,44.4,0,7.2,4,0,55.6,8,0.0
"[HT] Intermediate, OI",Santini,DANIELLE DOWNING,43.6,0,17.6,0,0,61.2,9,0.0
"[HT] Intermediate, OI",,CAROLINE PETTY CAN,34,0,19.6,16,0,69.6,10,
"[HT] Intermediate, OI",Mozart,VALERIE BELOT,40.8,0,12,12,9,73.8,11,0.0
"[HT] Intermediate, OI",Rubiginous,GINA ECONOMOU,44.8,0,28.4,8,0,81.2,12,0.0
"[HT] Intermediate, OI",Jefferson,NATALIE BRADY,38.8,20,19.6,8,6,92.4,13,0.0
"[HT] Intermediate, OI",Worthy Opponent V.E.,DANA J. ESTES,30.4,20,28.4,16,5,99.8,14,0.0
