Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[TEST] Starter, JS:A",Paloma Paz,RILEY D. YOUNG,14.7,0,0,0,0,14.7,1,7.0
"[TEST] Starter, JS:A",Bijou,JANE LI,15.7,0,0,0,0,15.7,2,6.0
"[TEST] Starter, JS:A",FE Uncle Ben,NATALIE DEITCHER,18.7,0,0,0,0,18.7,3,5.0
"[TEST] Starter, JS:A",Once Upon A Dream,SIENNA LISKE,20.3,0,0,0,0,20.3,4,4.0
"[TEST] Starter, JS:A",Marmaduke,NINA VIJEH,16.3,0,0,4,0,20.3,5,0.0
"[TEST] Starter, JS:A",Catina,NANDA PRASAD,20.3,0,0,0,0,20.3,6,0.0
"[TEST] Starter, JS:A",Silver Lining,ANGELA DOBEL,17.7,0,0,4,0,21.7,7,0.0
"[TEST] Starter, JS:A",Connect the Dots,FRANCES LADUE,23.7,0,0,4,0,27.7,8,0.0
"[TEST] Starter, JS:A",Buzz Ryder,ELISA KARNAVY,22,0,6.4,0,0,28.4,9,0.0
"[TEST] Starter, JS:A",South Park,SUPRIYA I. BORGERT,25,0,0,4,0,29,10,0.0
"[TEST] Starter, JS:A",Pancake,SIERRA CLAYTON,27,0,0,4,0,31,11,0.0
"[TEST] Starter, JS:A",East Bound & Down,LAINE RETHMEIER,18.3,20,0,0,0,38.3,12,0.0
"[TEST] Starter, JS:A",Mo,MATHILDE SALLEMBIEN,23.3,20,0,0,0,43.3,13,0.0
"[TEST] Starter, JS:A",Take That,HARVEST RENFRO,27,20,90.4,4,0,141.4,14,0.0
"[TEST] Starter, JS:B",Devon Ridge Artemas,SAVVY CLAYTON,19.3,0,0,0,0,19.3,1,7.0
"[TEST] Starter, JS:B",Jewel,TIVANA M. GARLICK,20.3,0,0,0,0,20.3,2,0.0
"[TEST] Starter, JS:B",Theodore the Wonder Horse,BRYNN MIURA,23.7,0,0,0,0,23.7,3,5.0
"[TEST] Starter, JS:B",I Love Lucy,AMELIA SOLIVAN BUSQUE,17,0,0,4,3.6,24.6,4,4.0
"[TEST] Starter, JS:B",Crazzy Cutie,PIPER RENFRO,25.7,0,0,0,0.4,26.1,5,0.0
"[TEST] Starter, JS:B",Santa Ana Que Dira,SOFIA BOUKHARI,23.7,0,0,4,0,27.7,6,0.0
"[TEST] Starter, JS:B",Spicy Tuna Roll,MAYA SERTOVA,23.7,0,0.4,4,0,28.1,7,0.0
"[TEST] Starter, JS:B",Painted Princess,CHELSEA MAYON,18.7,0,10.8,0,0,29.5,8,0.0
"[TEST] Starter, JS:B",Kilbunny Amigo,JADE HILLE,23,0,12.8,4,0,39.8,9,0.0
"[TEST] Starter, JS:B",Mother Teresa,PENELOPE R. PEJCHA,22.3,20,0,0,0,42.3,10,0.0
"[TEST] Starter, JS:B",Even More Impressive,ROWAN THOMAS,19,20,17.2,0,0,56.2,11,0.0
"[TEST] Starter, JS:B",Lacey Monet,ADDISON SMITH,23.3,60,0,0,0,83.3,12,0.0
"[TEST] Starter, JS:B",Splash of Colors,ALIANA REISS,22,-,-,W,-,W,W,0.0
