Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[HT] HT 4-Star, CCI4-S",Ebay,HELEN ALLISTON,31.7,0,8.4,0,4,44.5,1,16.0
"[HT] HT 4-Star, CCI4-S",Carry On,AMBER BIRTCIL,30.8,0,5.2,0,8,45.2,2,14.0
"[HT] HT 4-Star, CCI4-S",Master Class,LEAH K. BREAKEY,38.8,0,18.0,0,4,62.8,3,12.0
"[HT] HT 4-Star, CCI4-S",Cinzano,AMBER BIRTCIL,36.4,20,14.8,0,0,72.4,4,0.0
"[HT] HT 4-Star, CCI4-S",Qupid,RENEE KALKMAN,48.4,60,R,4,R,R,R,
"[HT] HT 4-Star, CCI4-S",Borasco,KERRY GROOT,38.2,60,R,12,3.6,R,R,
"[HT] HT 3-Star, CCI3-S",Passepartout,KAYLAWNA SMITH-COOK,32.0,0,4.0,0,0,36.0,1,16.0
"[HT] HT 3-Star, CCI3-S",Woodford Reserve,ERIN R. KELLERHOUSE,31.9,0,3.2,4,0,39.1,2,14.0
"[HT] HT 3-Star, CCI3-S",Cassio's Picasso,JAMES ALLISTON,35.8,0,4.0,0,0,39.8,3,12.0
"[HT] HT 3-Star, CCI3-S",2 A.M.,CHARLOTTE BABBITT,33.1,0,3.2,4,0,40.3,4,0.0
"[HT] HT 3-Star, CCI3-S",Caravaggio II,REBECCA BRAITLING,34.3,0,4.0,4,0,42.3,5,0.0
"[HT] HT 3-Star, CCI3-S",Paper Jam,HELEN ALLISTON,30.8,20,14.8,4,0,69.6,6,0.0
"[HT] HT 3-Star, CCI3-S",Quidproquo,SOPHIA L. CLICK,32.6,20,15.6,8,0.8,77.0,7,0.0
"[HT] HT 3-Star, CCI3-S",Clear Approval,KAITLIN N. VOSSELLER,33.3,20,21.2,4,0,78.5,8,0.0
"[HT] HT 3-Star, CCI3-S",So Cool,MADDY MAZZOLA,38.8,40,21.6,0,0,100.4,9,0.0
"[HT] HT 3-Star, CCI3-S",Exquisite Prince,CHRISTINE D. RITTHALER,38.9,0,MR,16,4.4,MR,MR,
"[HT] HT 3-Star, CCI3-S",Amistoso,BRENNAN KAPPES,43.9,,W,24,0,W,W,
"[HT] HT 3-Star, CCI3-S",Isi,ASIA H. VEDDER,24.4,0,TE,0,0.4,TE,TE,
"[HT] Intermediate, OI",Carolina Morning,STEPHANIE GOODMAN,33.6,0,0.0,0,0,33.6,1,6.0
"[HT] Intermediate, OI",Vinetta M,MARISSA NIELSEN,33.9,0,0.0,0,2.4,36.3,2,5.0
"[HT] Intermediate, OI",Ringwood Trendsetter,KELLY PUGH GOODMAN,34.6,0,2.0,0,0,36.6,3,4.0
"[HT] Intermediate, OI",BSP Tuxedo,AUBURN EXCELL BRADY,33.9,0,2.8,4,0,40.7,4,0.0
"[HT] Intermediate, OI",Stoneman,JENNIFER MCFALL,40.2,0,0.0,4,0,44.2,5,0.0
"[HT] Intermediate, OI",Catch Me If You Can IV,RACHAEL K. MCGREGOR,37.5,0,8.8,8,0,54.3,6,0.0
"[HT] Intermediate, OI",M Creme De La Creme SE,ALEXIS A. HELFFRICH,33.0,0,16.8,12,4.0,65.8,7,0.0
"[HT] Intermediate, OI",Fritz Patrick,OLIVIA MILLER,40.0,0,RF,,,RF,RF,
"[HT] HT 2-Star, CCI2-S",Dassett Ricochet,REBECCA BRAITLING,25.6,0,0.0,0,0,25.6,1,8.0
"[HT] HT 2-Star, CCI2-S",RF Eloquence,MEG PELLEGRINI,26.9,0,0.0,0,0,26.9,2,7.0
"[HT] HT 2-Star, CCI2-S",Can Be Sweet,LAUREN BILLYS,27.9,0,0.0,0,0,27.9,3,6.0
"[HT] HT 2-Star, CCI2-S",Freedom Hill,LAUREN G. BURNELL,28.8,0,0.0,0,0,28.8,4,5.0
"[HT] HT 2-Star, CCI2-S",Ganymede,MEG PELLEGRINI,28.6,0,0.0,0,0.8,29.4,5,4.0
"[HT] HT 2-Star, CCI2-S",Shadow Inspector,HALEY TURNER,29.8,0,0.0,0,0.4,30.2,6,3.0
"[HT] HT 2-Star, CCI2-S",Bella Luna,RACHEL N. FOX,32.4,0,0.0,0,0,32.4,7,2.0
"[HT] HT 2-Star, CCI2-S",Graceland's Lanai,ALEXIS A. HELFFRICH,30.3,0,4.0,0,0.4,34.7,8,0.0
"[HT] HT 2-Star, CCI2-S",Sweeps Crystal Cruise,MAYA CLARKSON,29.9,0,2.0,4,0,35.9,9,0.0
"[HT] HT 2-Star, CCI2-S",Zia,BETSEY BENNITT STROHL,36.6,0,0.0,0,0,36.6,10,0.0
"[HT] HT 2-Star, CCI2-S",Redbull,INDIA MCEVOY,28.9,0,0.0,8,0.8,37.7,11,0.0
"[HT] HT 2-Star, CCI2-S",Kleopatra Van Broekhoven,LEAH M. FORQUER,37.9,0,0.0,0,0,37.9,12,0.0
"[HT] HT 2-Star, CCI2-S",CrissCross PCH,NICOLE CARROLL,30.0,0,0.0,8,0.8,38.8,13,0.0
"[HT] HT 2-Star, CCI2-S",Hanalea KS,KELLY PUGH GOODMAN,32.1,0,0.0,8,0,40.1,14,0.0
"[HT] HT 2-Star, CCI2-S",Stonehavens Royal Touch,TESS MOLINAR,32.8,0,9.2,0,0,42.0,15,0.0
"[HT] HT 2-Star, CCI2-S",Penhill Celtic,REBECCA BRAITLING,26.0,0,10.0,4,3.6,43.6,16,0.0
"[HT] HT 2-Star, CCI2-S",americana,ENEYA JENKINS,33.1,0,7.6,4,1.2,45.9,17,0.0
"[HT] HT 2-Star, CCI2-S",Quintessence,MEGAN MCIVER,34.5,0,7.2,8,0,49.7,18,0.0
"[HT] HT 2-Star, CCI2-S",Stunner,DAVID P. KOSS,25.5,20,0.0,8,0,53.5,19,0.0
"[HT] HT 2-Star, CCI2-S",Chatsworth Veyron,DANA CHASE,34.8,0,4.0,16,0,54.8,20,0.0
"[HT] HT 2-Star, CCI2-S",King of Hearts,SHANNON HARGER,34.1,0,0.0,20,1.2,55.3,21,0.0
"[HT] HT 2-Star, CCI2-S",Lawtown boy,ENEYA JENKINS,32.1,0,16.0,20,0,68.1,22,0.0
"[HT] HT 2-Star, CCI2-S",Dancing On The Moon,MALIA L. HUNTER,34.9,40,1.6,0,0,76.5,23,0.0
"[HT] HT 2-Star, CCI2-S",Storm Watch,ASHLEY SAMSON,34.9,20,22.0,16,3.2,96.1,24,0.0
"[HT] HT 2-Star, CCI2-S",Over Easy,JORDAN CRABO,29.8,60,R,4,0,R,R,
"[HT] HT 2-Star, CCI2-S",Under the Spotlight,LAUREN GILLIS,32.4,,,12,E,E,E,
"[HT] HT 2-Star, CCI2-S",Stone Temple DF,MORGAN WENELL,39.5,0,RF,12,2.0,RF,RF,
"[HT] HT 2-Star, CCI2-S",Sasha Fierce,TESS MOLINAR,38.9,60,E,0,0,E,E,
"[HT] HT 2-Star, CCI2-S",Tropic Star,CAROLINE M. DEIN,31.6,,W,16,0,W,W,
"[HT] Preliminary, OP:A",Solaguayre California,DAVID ADAMO,24.6,0,0.0,0,0,24.6,1,6.0
"[HT] Preliminary, OP:A",Happiness Is,JOSH BARNACLE,27.2,0,0.0,0,0,27.2,2,5.0
"[HT] Preliminary, OP:A",Carrigdhoun Cool Lad,SHANNON P. LILLEY,28.3,0,2.8,0,0,31.1,3,4.0
"[HT] Preliminary, OP:A",Rochambeau,JAMES ALLISTON,32.4,0,0.0,0,0,32.4,4,3.0
"[HT] Preliminary, OP:A",Dos Lunas Filipo,DAVID ADAMO,29.1,0,3.6,0,0,32.7,5,2.0
