Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[HT] Intermediate, I",Pikture This,KIMBERLY STEINBUCH,34.4,0,0,4,1,39.4,1,
"[HT] Intermediate, I",Fuerst Nino R,ANDREA BAXTER,31.2,0,7.2,8,1,47.4,2,
"[HT] Intermediate, I",Aerolite,DANA CHASE,40,0,0,0.4,8,48.4,3,
"[HT] Intermediate, I",Star of Arabia,JAMES ALLISTON,38.4,0,0,12,0,50.4,4,
"[HT] Intermediate, I",Worthy Opponent V.E.,DANA J. ESTES,35.2,0,3.6,12,8,58.8,5,
"[HT] Intermediate, I",Chanel,GINA O. MILES,31.2,20,13.2,0,0,64.4,6,
"[HT] Intermediate, I",Firebolt,JOHN STRASSBURGER,38.8,0,12,16,8,74.8,7,
"[HT] Intermediate, I",Cassiopeia,HILARY BATES,42.4,0,22.4,12,2,78.8,8,
"[FEH] 2 Year-old, FEH-2YO",Wait For It,BARBARA SLAUGHTER,,,,,,69.1,1,
"[FEH] 2 Year-old, FEH-2YO",Rock Star,DAVID ADAMO,,,,,,66.8,2,
"[FEH] 3 Year-old, FEH-3YO",Zazu,JILLIAN TERZIAN,,,,,,68.85,1,
"[HT] Preliminary, P",Obi-Wan Kenobi,KELLY PUGH,33,0,0,0,0,33,1,
"[HT] Preliminary, P",Mozart,JOSH BARNACLE,35.7,0,0,0,0,35.7,2,
"[HT] Preliminary, P",Jameson,GINA O. MILES,28.7,0,0,8,0,36.7,3,
"[HT] Preliminary, P",French Polish,MADISON REEB,30.9,0,0,4,2,36.9,4,
"[HT] Preliminary, P",Lady Zeyva,JULIE A. BOYER,37.4,0,0,0,0,37.4,5,
"[HT] Preliminary, P",Talisker,JAMES ALLISTON,29.6,0,0,8,0,37.6,6,
"[HT] Preliminary, P",London Town,ALEXIS A. HELFFRICH,30.4,0,2,8,3,43.4,7,
"[HT] Preliminary, P",Jitter Bug,LAUREN BILLYS,32.6,0,8.4,4,0,45,8,
"[HT] Preliminary, P",Great Bourton,REBECCA BRAITLING,33.9,0,14.4,0,1,49.3,9,
"[HT] Preliminary, P",Leonado SE,ALEXIS A. HELFFRICH,33,0,9.2,4,4,50.2,10,
"[HT] Preliminary, P",Phoenix Amani,JOHN STRASSBURGER,38.7,0,7.6,4,3,53.3,11,
"[HT] Preliminary, P",Chavez Ravine,WHITNEY TUCKER BILLETER,31.7,0,RF,RF,RF,RF,RF,
"[HT] Preliminary, P",Cristal,ERIN R. KELLERHOUSE,29.1,20,R,RR,RR,RR,RR,
