Division,Horse,Rider,D-S,XC-J,XC-T,SJ-J,SJ-T,S,P,Pts,U-Pts
[HT] Novice SNR,(no horse),TERINA UNDERWOOD,35.8,0,0,8,0,43.8,5,--,--
[HT] Novice SNR,Hot Fudge,RICHARD K. HOLMES,37.9,0,0.8,4,2,44.7,6,0.0,--
[HT] Novice SNR,Misty Morning,EMI HANSEN,42.1,0,0,4,0,46.1,7,0.0,--
[HT] Novice SNR,Toukoutou,CHRISTIANA ROSENBLATT,46.8,0,0,4,0,50.8,8,0.0,--
[HT] Novice SNR,Prince Maximillian,MARLEE J. HOLMES,35.8,20,2,4,2,63.8,9,0.0,--
[HT] Novice SNR,Santana,JULIANNE TURNER,36.8,0,38.8,0,0,75.6,10,0.0,--
[HT] Novice SNR,Splendid Outcast,ELIZABETH LAYTON,31.6,E,E,0,0,E,E,--,--
[HT] Novice SNR,Indiana Hoolihan,EVELYN HOLT,34.2,E,E,8,0,E,E,--,--
[HT] Novice SNRB,Payton,GILLIAN RYAN,27.4,0,0,0,0,27.4,1,6.0,--
[HT] Novice SNRB,Master Merlin,ALANDRA HALEM,33.7,0,0,0,0,33.7,2,5.0,--
[HT] Novice SNRB,Western Jubilee,HEATHER BAILEY,30.5,0,0,4,0,34.5,3,4.0,--
[HT] Novice SNRB,Wild Guess,NICOLE MUSHKIN,33.7,0,2,0,0,35.7,4,3.0,--
[HT] Novice SNRB,High Society,SHELLEY E. REID,33.2,0,4.8,0,1,39,5,2.0,--
[HT] Novice SNRB,Amaron,JENNIFER L. MCRONALD,34.2,0,0,0,5,39.2,6,0.0,--
[HT] Novice SNRB,Rooster Rock,KIMBERLY HANSEN,31.6,0,0,8,0,39.6,7,0.0,--
[HT] Novice SNRB,Romeo,MASHA KHMARTSEVA,28.4,0,11.6,0,1,41,8,0.0,--
[HT] Novice SNRB,Bugs Snow Man,BONNIE LIND,38.4,0,0,4,0,42.4,9,0.0,--
[HT] Novice SNRB,First Mate,CHRISTINE E. AMWAKE,45.3,0,0,4,3,52.3,10,0.0,--
[HT] Novice SNRB,Sweet Reason,VICTORIA KLEIN,33.2,--,0,W,W,W,W,--,--
[HT] Beginner Novice JBNR,Buddy,AMBER PEARSON,34.5,0,0,0,0,34.5,1,6.0,--
[HT] Beginner Novice JBNR,(no horse),EMILY R. HORNBERGER,33.5,0,3.6,0,0,37.1,2,--,--
[HT] Beginner Novice JBNR,Nip-it-in-the-bud,CHLOE DELEHANTY,38,0,0,0,0,38,3,4.0,--
[HT] Beginner Novice JBNR,Bonanza Bonney Bar,VICKIE HORVATICH,35.5,0,0,4,0,39.5,4,3.0,--
[HT] Beginner Novice JBNR,Alexander,SHANNON MERALA,36.5,0,3.2,0,0,39.7,5,2.0,--
[HT] Beginner Novice JBNR,(no horse),LAUREN HENRY,32,0,5.2,4,0,41.2,6,--,--
[HT] Beginner Novice JBNR,Braveheart,SHELBY RODEKOHR,37,0,4.4,0,0,41.4,7,0.0,--
[HT] Beginner Novice JBNR,MGRM Whimsical,EMMA MCCRACKEN,38.5,0,0,4,0,42.5,8,0.0,--
[HT] Beginner Novice JBNR,(no horse),NICHOLE BAHLMAN,36,0,9.6,4,0,49.6,9,--,--
[HT] Beginner Novice JBNR,(no horse),(no rider),46,0,0.4,4,0,50.4,10,--,--
[HT] Beginner Novice JBNR,Princess Xyla,(no rider),45.5,0,0,4,9,58.5,11,--,--
[HT] Beginner Novice JBNR,(no horse),(no rider),46.5,20,0,0,0,66.5,12,--,--
[HT] Beginner Novice JBNR,(no horse),(no rider),46,0,0.8,4,16,66.8,13,--,--
[HT] Beginner Novice JBNR,One Way Ticket,DELPHINE SCHALLER,35.5,E,E,4,0,E,E,--,--
[HT] Beginner Novice JBNR,Jersey Boy,MIKA POLNIASZEK,34.5,E,E,4,10,E,E,--,--
[HT] Beginner Novice JBNRB,(no horse),TYLER CHANDLER,29,0,0,0,0,29,1,--,--
[HT] Beginner Novice JBNRB,Equanimity,JULIETTE VERSTAEN,31,0,0,4,0,35,2,5.0,--
[HT] Beginner Novice JBNRB,Moonlit Dancer,MADISON K. HOGAN,35.5,0,0,0,0,35.5,3,4.0,--
[HT] Beginner Novice JBNRB,(no horse),KRISTEN MERALA,36.5,0,0,0,0,36.5,4,--,--
[HT] Beginner Novice JBNRB,Atticus,OLIVIA HONIGHAUSEN,37.5,0,0,0,0,37.5,5,2.0,--
[HT] Beginner Novice JBNRB,Mia Bella,LANI FRAZER,40,0,0,0,0,40,6,0.0,--
[HT] Beginner Novice JBNRB,(no horse),(no rider),41,0,0,0,0,41,7,--,--
[HT] Beginner Novice JBNRB,Yours Truly,(no rider),38,0,0,4,4,46,8,--,--
[HT] Beginner Novice JBNRB,My Lucky Penny,JESSICA HARTSON,46.5,0,0,0,0,46.5,9,0.0,--
[HT] Beginner Novice JBNRB,Kay Dee May,ADRIANNE D'AMATO,43.5,0,0,4,0,47.5,10,0.0,--
[HT] Beginner Novice JBNRB,Miss Ramsey,KELLY BROTHERS,42,0,3.6,4,0,49.6,11,0.0,--
[HT] Beginner Novice JBNRB,King George,MATTIE L. KELLY,38.5,20,0,4,0,62.5,12,0.0,--
[HT] Beginner Novice JBNRB,Hide and Seeker,KYANA SAZEGARI,43.5,20,7.6,0,0,71.1,13,0.0,--
[HT] Beginner Novice JBNRB,Dancin' With Dynamite,MARIAH S. COOGAN,29,40,4.8,4,4,81.8,14,0.0,--
[HT] Beginner Novice JBNRB,Hugo,(no rider),38.5,TE,TE,4,0,TE,TE,--,--
[HT] Beginner Novice OBN,(no horse),TAMRA SMITH,26,0,0,0,0,26,1,--,--
[HT] Beginner Novice OBN,(no horse),RUBEN ARCE-IBARRA,30.5,0,0,0,0,30.5,2,--,--
[HT] Beginner Novice OBN,(no horse),RUBEN ARCE-IBARRA,34,0,0,0,0,34,3,--,--
[HT] Beginner Novice OBN,(no horse),MATTHEW R. BROWN,34.5,0,3.6,0,0,38.1,4,--,--
[HT] Beginner Novice OBN,(no horse),(no rider),37,0,0,0,5,42,5,--,--
[HT] Beginner Novice OBN,Kiwi Spice,SARAH A. JOYNT,42.5,0,0,0,0,42.5,6,0.0,--
[HT] Beginner Novice OBN,Awesome Commander,CLAUDIA DUNCAN,43.5,0,0,0,0,43.5,7,0.0,--
[HT] Beginner Novice OBN,Concealed Weapon,DANIELA R. MARINARO,44,0,0,0,0,44,8,0.0,--
[HT] Beginner Novice OBN,Welocity,LAUREN WHITLOCK,45.5,0,0,0,0,45.5,9,0.0,--
[HT] Beginner Novice OBN,(no horse),ZANDRA M. WILKERSON,45.5,0,0,4,0,49.5,10,--,--
[HT] Beginner Novice OBN,Leo,LISA S. EVERETT,44,0,0,0,10,54,11,0.0,--
[HT] Beginner Novice OBN,(no horse),MATTHEW R. BROWN,24.5,20,0,12,0,56.5,12,--,--
[HT] Beginner Novice OBN,Southern Comfort,TAMARA K. SMITH,34,20,0,4,0,58,13,0.0,--
[HT] Beginner Novice OBN,Land Rover,JOLIE WENTWORTH,37.5,0,0,12,13,62.5,14,0.0,--
[HT] Beginner Novice OBN,Mamma Mia,JULIE MANDLE,38,0,0,16,27,81,15,0.0,--
[HT] Beginner Novice OBN,(no horse),TARA VERKUIL,34.5,0,21.6,4,26,86.1,16,--,--
[HT] Beginner Novice OBN,(no horse),KATIE KOMNENICH,37,--,0,E,E,E,E,--,--
[HT] Beginner Novice SBNR,Cash N Diamonds,GILLIAN WARD,35,0,0,4,0,39,1,5.0,--
[HT] Beginner Novice SBNR,Oxidation,(no rider),36,0,0.4,0,5,41.4,2,--,--
[HT] Beginner Novice SBNR,(no horse),(no rider),41,0,1.6,0,0,42.6,3,--,--
[HT] Beginner Novice SBNR,V.E. Justified,MARY SPONHALTZ,45,0,0,0,0,45,4,2.0,--
[HT] Beginner Novice SBNR,Brogue,MARK A. BRENNAN,45.5,0,0,0,0,45.5,5,1.0,--
[HT] Beginner Novice SBNR,Sotto Voce,JENNIFER JOSLIN,54.5,20,2,0,11,87.5,6,0.0,--
[HT] Beginner Novice SBNR,Southern Star,REBECCA A. DELLICKER,57,20,21.6,4,0,102.6,7,0.0,--
[HT] Beginner Novice SBNR,Diva,ELIZABETH HANSEN,38,20,0,16,34,108,8,0.0,--
[HT] Beginner Novice SBNR,Caught Red Handed,JANE BURKEMPER,E,--,0,--,--,E,E,--,--
[HT] Beginner Novice SBNRB,Paddington,ERIN SEGHESIO,28,0,0,4,0,32,1,5.0,--
[HT] Beginner Novice SBNRB,Spotless,ALLISON J. HULME,36,0,0,0,0,36,2,4.0,--
[HT] Beginner Novice SBNRB,Au Contraire,LEEAN NOUNNAN,36.5,0,0,0,0,36.5,3,3.0,--
[HT] Beginner Novice SBNRB,Fiener Things,SHANTAL LAMELAS,38,0,0,0,0,38,4,2.0,--
[HT] Beginner Novice SBNRB,Protégé,RACHEL HARNISH,39,0,1.6,0,3,43.6,5,1.0,--
[HT] Beginner Novice SBNRB,Denton,DIANE FINKELSTEIN,34.5,0,8,4,0,46.5,6,0.0,--
[HT] Beginner Novice SBNRB,(no horse),ANDREW PALEY,41.5,80,0,0,0,121.5,7,--,--
[HT] Beginner Novice SBNRB,Carbonado,MIA MACPHAIL,49.5,60,12,4,6,131.5,8,0.0,--
[HT] Beginner Novice SBNRB,(no horse),NATALIE M. D'ARPA,31.5,E,E,0,0,E,E,--,--
[HT] Beginner Novice SBNRB,Jet Legs,(no rider),E,--,0,--,--,E,E,--,--
