Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[HT] Advanced, A",PDQ Leigh,SARA SELLMER,33.8,0,0,0,4,37.8,1,
"[HT] Advanced, A",Castle Larchfield Purdy,LAUREN BILLYS,35.5,0,6.4,0,0.4,42.3,2,
"[HT] Advanced, A",Chatwin,FRANKIE THIERIOT STUTES,27.3,0,14.4,0,0.8,42.5,3,
"[HT] Advanced, A",Undercover,HILARY BURKEMPER,32.5,0,6.8,8,0,47.3,4,
"[HT] Advanced, A",Ringwood Justice,DEREK DI GRAZIA,37.4,0,11.2,4,0,52.6,5,
"[HT] Advanced, A",Exclusive,GINA ECONOMOU,36,0,14.8,4,0,54.8,6,
"[HT] Advanced, A",Lafite,LIZA HORAN,39.1,0,13.2,8,0,60.3,7,
"[HT] Advanced, A",Greenfort Carnival,SHANNON P. LILLEY,37.1,0,18.8,8,2,65.9,8,
"[HT] Advanced, A",Cinzano,AMBER BIRTCIL,34,20,12,8,0,74,9,
"[HT] Advanced, A",Pandora,JAMES ALLISTON,35.5,0,3.6,W,W,W,W,
"[HT] Advanced, A",Borasco,KERRY GROOT,40.5,0,0,12,E,E,E,
"[HT] Advanced, A",Britannica MVNZ,KATHRYN CANARIO,41.3,0,RF,RF,RF,RF,RF,
"[HT] Intermediate, OI",Cassio's Picasso,JAMES ALLISTON,22.2,0,6.4,0,0,28.6,1,
"[HT] Intermediate, OI",Over Easy,JORDAN CRABO,25,0,0,4,0,29,2,
"[HT] Intermediate, OI",NZB The Chosen One,KELSEY HOLMES,30.3,0,0,0,0,30.3,3,
"[HT] Intermediate, OI",RevitaVet Oreo,JAMES ALLISTON,31.4,0,0,0,0,31.4,4,
"[HT] Intermediate, OI",Dr. Hart,MADISON TEMKIN,28.3,0,4.8,0,0,33.1,5,
"[HT] Intermediate, OI",So Cool,MADDY MAZZOLA,35,0,0,0,0,35,6,
"[HT] Intermediate, OI",Vinetta M,MARISSA NIELSEN,32.2,0,4,0,0,36.2,7,
"[HT] Intermediate, OI",Drs Resolute,STEPHANIE GOODMAN,32.1,0,5.6,0,0,37.7,8,
"[HT] Intermediate, OI",Whiskey Up,KAYLEEN P. CROWLEY,33.1,0,7.2,0,0,40.3,9,
"[HT] Intermediate, OI",Ringwood Isabelle,BEA DI GRAZIA,34.3,0,7.2,0,0,41.5,10,
"[HT] Intermediate, OI",Hollister 13,LIZA HORAN,39,0,4.8,0,0,43.8,11,
"[HT] Intermediate, OI",No App for That,TAMRA SMITH,36.6,0,10,0,0,46.6,12,
"[HT] Intermediate, OI",Isi,ASIA H. VEDDER,34.7,0,8.4,8,0,51.1,13,
"[HT] Intermediate, OI",Paper Jam,HELEN ALLISTON,33.6,0,10.8,8,1.2,53.6,14,
