Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[HT] Intermediate, OI",Lad's Night Out,BEA DI GRAZIA,32.1,0,6.4,0,1,39.5,1,12.0
"[HT] Intermediate, OI",Mai Baum,ALEXANDRA AHEARN,31.7,0,4.4,4,0,40.1,2,10.0
"[HT] Intermediate, OI",High Times,JENNIFER MCFALL,35.4,0,1.2,4,0,40.6,3,8.0
"[HT] Intermediate, OI",Tivoli,JAMES ALLISTON,37.9,0,7.2,0,0,45.1,4,0.0
"[HT] Intermediate, OI",Code of Conduct,DAVID W. ACORD,39.6,0,5.6,4,0,49.2,5,0.0
"[HT] Intermediate, OI",Catch Of The Day,LOGAN E. BEARDEN,41.3,0,10,0,0,51.3,6,0.0
"[HT] Intermediate, OI",Ringwood Justice,DEREK DI GRAZIA,32.1,0,16.8,0,3,51.9,7,0.0
"[HT] Intermediate, OI",A Golden Effort,CORI L. DAVIS,42.9,0,5.2,4,0,52.1,8,0.0
"[HT] Intermediate, OI",Flanigan,MCKENA KNOTT,33.8,0,15.6,4,0,53.4,9,0.0
"[HT] Intermediate, OI",Celtic King,JOSH BARNACLE,47.1,0,0,8,0,55.1,10,0.0
"[HT] Intermediate, OI",Sasha Fierce,DAVID W. ACORD,49.2,0,2,4,0,55.2,11,0.0
"[HT] Intermediate, OI",Royal Lux,AUBURN EXCELL BRADY,47.5,0,3.6,8,0,59.1,12,0.0
"[HT] Intermediate, OI",Ragazzo,HOLLY G. WENZELL,44.6,20,20.4,-,-,WWW,-,-
"[HT] Intermediate, OI",Henry,DAVID ADAMO,35.4,0,40,E,E,E,-,-
"[HT] Intermediate, OI",Marley,STEVEN PAULSON,44.2,0,R,-,-,R,R,-
"[FEH] 3 Year-old, 3yo",Let's Go DF,EARL MCFALL,-,-,-,-,-,79.25,1,-
"[FEH] 3 Year-old, 3yo",Tropic Star,EARL MCFALL,-,-,-,-,-,65.5,2,-
"[FEH] 2 Year-old, FEH",Tropic Delight,EARL MCFALL,-,-,-,-,-,63.75,1,-
"[FEH] 2 Year-old, FEH",Blue Dreamin Catadude,MEGAN BITTLE,-,-,-,-,-,60.25,2,-
"[FEH] 2 Year-old, FEH",Crimson Twain DF,EARL MCFALL,-,-,-,-,-,59,3,-
"[FEH] 2 Year-old, FEH",Calamity Twain DF,EARL MCFALL,-,-,-,-,-,58.25,4,-
"[FEH] Yearling, Year",Simple Dreams DF,EARL MCFALL,-,-,-,-,-,78.25,1,-
"[FEH] Yearling, Year",Girl On Fire,STACEY SANDSTROM,-,-,-,-,-,57.75,2,-
"[HT] Preliminary, JYOP",Corinthoz,KIERA CARTER,24.6,0,0,4,0,28.6,1,6.0
"[HT] Preliminary, JYOP",Insatiable Casanova,GIGI HERRON,30.9,0,0,0,0,30.9,2,5.0
"[HT] Preliminary, JYOP",Kaptain Jak,KATELYN J. GRUBICH,36.4,0,0,0,0,36.4,3,4.0
"[HT] Preliminary, JYOP",Kingslee,MADISON TEMKIN,33.2,0,0,4,0,37.2,4,0.0
"[HT] Preliminary, JYOP",Elfenwind,MADELEINE S. MOORE,37.3,0,0.8,0,0,38.1,5,0.0
"[HT] Preliminary, JYOP",Brigantine,SONIA HERRON,34.1,0,4.8,4,0,42.9,6,0.0
"[HT] Preliminary, JYOP",Street Legal,JENNIFER M. RAMIREZ,50.5,0,0,4,0,54.5,7,0.0
"[HT] Preliminary, JYOP",The Alchemyst,JERICA COERT,37.7,0,15.2,4,5,61.9,8,0.0
"[HT] Preliminary, JYOP",King's Cross,PAULINA MONTGOMERY,41.4,20,12.4,4,0,77.8,9,0.0
"[HT] Preliminary, JYOP",Next Dance,SAMI CLARK,43.2,20,15.2,4,0,82.4,10,0.0
"[HT] Preliminary, JYOP",Sammy Equus,LISA TAKADA,33.6,20,4.4,0,E,E,-,-
"[HT] Preliminary, JYOP",Gambit,JORDAN GOOD,35.5,0,R,-,-,R,R,-
"[HT] Preliminary, JYOP",Cruise Control,SYDNEY JOHNSON,33.2,20,14,0,E,E,-,-
"[HT] Preliminary, JYOP",DVF Caliente Creek,WHITNEY TOMPKINS,42.7,20,13.6,0,E,E,-,-
"[HT] Preliminary, OP",Chatwin,FRANKIE THIERIOT STUTES,21.8,0,0,0,2,23.8,1,6.0
"[HT] Preliminary, OP",Wimbledon Star,BELLA MOWBRAY,20.9,0,0.8,0,5,26.7,2,5.0
"[HT] Preliminary, OP",La Patrona,DAVID ADAMO,29.6,0,0,0,0,29.6,3,4.0
"[HT] Preliminary, OP",Over Easy,BARBARA CRABO,30,0,0,0,0,30,4,3.0
"[HT] Preliminary, OP",Tatiana,TAMRA SMITH,30.5,0,0,0,0,30.5,5,2.0
"[HT] Preliminary, OP",Lickity Split,BARBARA CRABO,33.2,0,0,0,0,33.2,6,0.0
"[HT] Preliminary, OP",Cicero Z,MARISSA NIELSEN,27.7,0,0,8,0,35.7,7,0.0
"[HT] Preliminary, OP",Mystery Solved,GINA O. MILES,27.7,0,5.2,4,0,36.9,8,0.0
"[HT] Preliminary, OP",Lady Calido,SUE BUXTON,31.4,0,6,0,0,37.4,9,0.0
"[HT] Preliminary, OP",Max,HELEN BOUSCAREN,28.6,0,9.2,0,0,37.8,10,0.0
"[HT] Preliminary, OP",Tiz When,ERIN R. KELLERHOUSE,30,0,0,8,0,38,11,0.0
"[HT] Preliminary, OP",Phoenix Amani,JOHN STRASSBURGER,36.8,0,2,0,0,38.8,12,0.0
"[HT] Preliminary, OP",Ballynoe Castleross,SHANNON P. LILLEY,35,0,0,4,0,39,13,0.0
"[HT] Preliminary, OP",Lady Zeyva,JULIE A. BOYER,41.4,0,0,0,0,41.4,14,0.0
"[HT] Preliminary, OP",Miss Fantastic,TERESA HARCOURT,39.6,0,0,4,0,43.6,15,0.0
"[HT] Preliminary, OP",Alectra,DAVID ADAMO,38.6,0,6.8,0,0,45.4,16,0.0
"[HT] Preliminary, OP",Contalli Di Revel,GINA O. MILES,35,0,0,16,0,51,17,0.0
"[HT] Preliminary, OP",Zuvenir,DEBORAH ROSEN,35.5,0,5.2,12,0,52.7,18,0.0
"[HT] Preliminary, OP",Footlight's Ollie,JAMES ALLISTON,28.6,20,8.4,0,0,57,19,0.0
"[HT] Preliminary, OP",Pride,TERALYN ARTHUR,40.9,0,16.8,0,0,57.7,20,0.0
"[HT] Preliminary, OP",Dempsey,TAMRA SMITH,37.7,0,18.4,4,0,60.1,21,0.0
"[HT] Preliminary, OP",Rionach,SIGOURNEY JELLINS,50.9,-,W,-,-,W,W,-
"[HT] Preliminary, OP",My Cheatin Heart,SIGOURNEY JELLINS,37.7,-,W,-,-,W,W,-
"[HT] Preliminary, PR",Aramé,TYLIA SCHOENEWALD,28.6,0,0,4,0,32.6,1,16.0
"[HT] Preliminary, PR",Learning To Fly,TRISTEN N. HOOKS DVM,28.6,0,4,0,0,32.6,2,25.0
"[HT] Preliminary, PR",The Alchemist,JEANETTE M. GILBERT,33.2,0,7.2,4,0,44.4,3,34.0
"[HT] Preliminary, PR",Kaiden,CARRIE J. FINNO,33.6,0,0,12,0,45.6,4,40.0
"[HT] Preliminary, PR",Isengart,MATTHEW B. WALLEY,31.4,0,2.8,12,0,46.2,5,50.0
"[HT] Preliminary, PR",Elk Mountain,ANDREA DEMEL,35.5,0,0,12,0,47.5,6,60.0
"[HT] Preliminary, PR",Bold Dredger,KYANA SAZEGARI,38.6,0,7.6,4,0,50.2,7,70.0
"[HT] Preliminary, PR",Dream Big,SHELBY K. JONES,35.9,0,12,4,0,51.9,8,80.0
"[HT] Preliminary, PR",Star of Arabia,CRYSTAL NEWHALL,37.7,0,16.8,4,0,58.5,9,90.0
"[HT] Preliminary, PR",Chavez Ravine,WHITNEY TUCKER BILLETER,33.2,60,24.8,4,0,122,10,0.0
"[HT] Preliminary, PR",Simply a Star,LEAH M. FORQUER,36.4,60,36.8,0,0,133.2,11,0.0
"[HT] Training, JTR",DBCOOPER,MEGAN TRAYNHAM,35.9,0,0,0,0,35.9,1,15.0
"[HT] Training, JTR",Primo,JULIA BERGAMASCHI,32.3,0,0,4,0,36.3,2,24.0
"[HT] Training, JTR",Rani D,MIA BOUSLAUGH,35.9,0,2.8,0,0,38.7,3,33.0
"[HT] Training, JTR",Litoral,SOPHIE CHANCE,35,0,0,8,0,43,4,42.0
"[HT] Training, JTR",Gaelic Blessing,KELLY REEVES,30,20,4,4,0,58,5,51.0
"[HT] Training, JTR",Mitchell's Day,AARON SCHNEIDER,38.6,0,8,12,0,58.6,6,60.0
"[HT] Training, JTR",KIR ROYALE,SAMARA PHILLIPS,36.8,20,2.8,0,0,59.6,7,0.0
"[HT] Training, JTR",Fun Fun Fun,VICTORIA GARVIN,34.6,20,2,6,0,3,83.6,8,0.0
"[HT] Training, JTR",Just Ducky,ALLY L. DANGERFIELD,34.1,60,29.6,4,0,127.7,9,0.0
"[HT] Training, OT",Lagos Star,BELLA MOWBRAY,23.2,0,0,0,0,23.2,1,16.0
"[HT] Training, OT",Seven,JAMES ALLISTON,26.8,0,0,0,0,26.8,2,25.0
"[HT] Training, OT",Isle Of Japan,DEREK DI GRAZIA,30.5,0,0,0,0,30.5,3,34.0
"[HT] Training, OT",Liam's Bonnie Lass,DAVID ADAMO,27.7,0,0,4,0,31.7,4,43.0
"[HT] Training, OT",RF Lanacapri,GINA O. MILES,28.2,0,2,4,0,34.2,5,52.0
"[HT] Training, OT",Che Landscape,MATTHEW R. BROWN,34.6,0,0,0,0,34.6,6,60.0
"[HT] Training, OT",Parker,INDIA MCEVOY,32.3,0,1.2,4,0,37.5,7,0.0
"[HT] Training, OT",RevitaVet Elijah,HELEN BOUSCAREN,34.1,0,4.8,0,0,38.9,8,0.0
"[HT] Training, OT",Ancient Wisdom,ANN E. BYRON,32.3,0,15.2,0,0,47.5,9,0.0
"[HT] Training, OT",Ideal Man,EMILEE LIBBY,41.4,0,0,8,0,49.4,10,0.0
"[HT] Training, OT",Phoenix Belissima,JOHN STRASSBURGER,42.7,0,0,8,0,50.7,11,0.0
"[HT] Training, OT",Mario Andretti,LAUREL R. MECK,39.1,0,8,4,0,51.1,12,0.0
"[HT] Training, OT",Ice Cool Cooley,SOPHIE E. HULME,48.6,-,W,-,-,W,W,-
"[HT] Training, STR",Florestan du Serin,KATIE COOPER,33.6,0,0,0,0,33.6,1,16.0
"[HT] Training, STR",Paddington,AMBER CARVALHO,34.1,0,0,0,0,34.1,2,25.0
"[HT] Training, STR",Baron,GRACE BROWNRIGG,35.9,0,0,0,0,35.9,3,34.0
"[HT] Training, STR",Rock Classic,HOLLIE READ,33.6,0,0,4,0,37.6,4,43.0
"[HT] Training, STR",Obispo Street,RACHEL PERKISS,39.1,0,0,0,0,39.1,5,52.0
"[HT] Training, STR",Jack of All Trades,KATARINA SHORT,35.9,0,0,4,0,39.9,6,60.0
"[HT] Training, STR",Osprey,LAUREN E. LEE,42.7,0,0,0,0,42.7,7,0.0
"[HT] Training, STR",Princess Magnifique,KATHERINE WALKER,43.6,0,0,4,0,47.6,8,0.0
"[HT] Training, STR",Talisker,PASCALE WINNICK,40,0,4.8,4,0,48.8,9,0.0
"[HT] Training, STR",Diego,LIA COLOMBI,53.6,0,21.2,4,0,78.8,10,0.0
"[HT] Training, STR",Showman Pago,TORI CHIN,43.6,20,6,16,0,85.6,11,0.0
"[HT] Training, STR",The North Wind,BROOK MORRISON,35,20,24,12,1,92,12,0.0
"[HT] Training, STR",What Are The chances,BARI BOERSMA,30,60,E,-,-,E,E,-
"[HT] Training, STR",Contessa,JULIA MELMON,30,-,W,-,-,W,W,-
"[HT] Training, STR",Improvisor,LAUREN HENRY,34.6,0,0,E,E,E,-,-
"[HT] Training, STR",Belle Fleur,JENNIFER AZEVEDO,34.1,0,4.4,-,-,W,W,-
"[HT] Training, TAM",En Vogue,RUTH BLEY,30,0,0,0,0,30,1,16.0
"[HT] Training, TAM",Syntax,LAUREN RATH,30.5,0,0,0,0,30.5,2,25.0
"[HT] Training, TAM",Undercover,HILARY B. NIEMANN,28.6,0,0,4,0,32.6,3,34.0
"[HT] Training, TAM",Pallas Ballyowen,SIMONE K. VAN OMMEREN,30,0,4.4,0,0,34.4,4,43.0
"[HT] Training, TAM",Paloma Paz,NIKKI LLOYD,30.9,0,4.4,0,0,35.3,5,52.0
