Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[HT] Advanced, A",Ben,HELEN ALLISTON,38.2,0,7.2,8,0,53.4,1,12.0
"[HT] Advanced, A",Eye of the Storm,KIM LIDDELL,41.9,0,4.8,8,6,60.7,2,10.0
"[HT] Advanced, A",Aerolite,DANA CHASE,31.6,20,16.8,0,6,74.4,3,8.0
"[HT] Advanced, A",LC O'Shawnisee,ANDREA NIELSEN,37.8,0,RF,RF,RF,RF,RF,
"[HT] HT 3-Star, CIC3",Prince William,MARY BURKE,48,0,0,0,0,48,1,16.0
"[HT] HT 3-Star, CIC3",Chatwin,FRANKIE THIERIOT STUTES,41.8,0,7.6,0,0,49.4,2,14.0
"[HT] HT 3-Star, CIC3",Revitavet Capato,JORDAN LINSTEDT,44.7,0,1.6,4,2,52.3,3,12.0
"[HT] HT 3-Star, CIC3",Parker,JAMES ALLISTON,52.4,0,0,8,0,60.4,4,0.0
"[HT] HT 3-Star, CIC3",Eveready II,BARBARA CRABO,47.3,20,2.8,4,0,74.1,5,0.0
"[HT] HT 3-Star, CIC3",Indy 500,ANDREA BAXTER,53.2,40,19.6,0,0,112.8,6,0.0
"[HT] HT 3-Star, CIC3",TF Kreisler,SARA SELLMER,51.5,0,MR,4,0,MR,MR,
"[HT] HT 3-Star, CIC3",Contalli Di Revel,GINA O. MILES,51.5,0,RF,12,0,RF,RF,
"[HT] HT 3-Star, CIC3",Brighton,REBECCA BUEHLER,56.5,60,E,16,4,E,E,
"[HT] HT 2-Star, CIC2",Walterstown Don,LAUREN G. BURNELL,45.6,0,0,0,0,45.6,1,16.0
"[HT] HT 2-Star, CIC2",Thomascourt Cooley,JAMES ALLISTON,47.7,0,2.8,0,0,50.5,2,14.0
"[HT] HT 2-Star, CIC2",Soaring Bird,REBECCA BRAITLING,50.5,0,2.4,0,0,52.9,3,12.0
"[HT] HT 2-Star, CIC2",Nabouco De Lessay,MARC GRANDIA,52.8,0,0.8,0,0,53.6,4,10.0
"[HT] HT 2-Star, CIC2",Stakkato II,ASHLYN DORSEY,51.9,0,3.2,0,0,55.1,5,8.0
"[HT] HT 2-Star, CIC2",RevitaVet Elijah,JAMES ALLISTON,48,0,0,8,0,56,6,6.0
"[HT] HT 2-Star, CIC2",Marseille,LAUREN BILLYS,50.1,0,6,0,0,56.1,7,6.0
"[HT] HT 2-Star, CIC2",Ringwood Army,AVERY L. KLUNICK,55.2,0,1.2,0,0,56.4,8,0.0
"[HT] HT 2-Star, CIC2",Belshazzar,SANDRA DONNELLY,49.1,0,9.2,0,0,58.3,9,0.0
