Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[HT] Advanced, A",Oz The Tin Man,KATHERINE GROESBECK,27.5,0,0,4,5,36.5,1,2.0
"[HT] Advanced, A",Copycat Chloe,KELLY PUGH,43.8,0,5.6,0,1,50.4,2,10.0
"[HT] Advanced, A",Sanssouci,YVES SAUVIGNON,37.5,0,5.2,0,10,52.7,3,8.0
"[HT] Advanced, A",Snap Decision II,JEANINE K. ALLRED,38.4,0,8.4,8,10,64.8,4,0.0
"[HT] Advanced, A",Tivoli,JAMES ALLISTON,38.8,0,6.8,8,13,66.6,5,0.0
"[HT] Advanced, A",Chanel,GINA O. MILES,40.3,0,W,W,W,W,W,
"[HT] Advanced, A",Jefferson,NATALIE BRADY,38.8,20,RF,RF,RF,RF,RF,
"[HT] Intermediate, OI",Bonza Twist of Fate,TERESA HARCOURT,27.2,0,0,4,0,31.2,1,12.0
"[HT] Intermediate, OI",Indy 500,ANDREA BAXTER,37.2,0,0,0,0,37.2,2,10.0
"[HT] Intermediate, OI",Perfect Intentions,SARAH BRAUN,31.2,0,0,8,0,39.2,3,8.0
"[HT] Intermediate, OI",Nonsensical,EMILEE LIBBY,35.2,0,1.2,4,0,40.4,4,0.0
"[HT] Intermediate, OI",Tuscan Sun,FLORENCE MILLER,33.6,0,6.4,8,1,49,50,
"[HT] Intermediate, OI",Cool Dancer,BRITTANY LUNNEY,36.4,0,5.6,8,0,50,60,
"[HT] Intermediate, OI",Mojo,INDIA MCEVOY,31.2,0,15.6,8,6,60.8,7,0.0
"[HT] Intermediate, OI",Kingslee,GERIANN L. HENDERSON,39.6,0,0.4,2,4,26,68,0.0
"[HT] Intermediate, OI",Oz Poof of Purchase,JORDAN BALLENGER,34,0,3.2,2,8,4,69.2,9
"[HT] Intermediate, OI",High Times,JENNIFER MCFALL,34.4,60,5,3.6,12,4,164,10
"[HT] Intermediate, OI",InForAPound Dunvegan,GINA M. SHAMAN,44.4,60,E,E,E,E,E,
"[HT] Intermediate, OI",Worthy Opponent V.E.,JOHN MICHAEL DURR,36.4,20,TE,TE,TE,TE,TE,
"[HT] Intermediate, OI",Ben,HELEN BOUSCAREN,42.8,0,14.8,W,W,W,W,
