Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[HT] Advanced, A",Parker,JAMES ALLISTON,35.7,0,0,4,0,39.7,1,24.0
"[HT] Advanced, A",Dee Dee Chaser,CINDY A. MARVIN,38.3,0,6.8,0,0,45.1,2,22.0
"[HT] Advanced, A",Oz The Tin Man,KATHERINE GROESBECK,31,0,0,12,12,55,3,20.0
"[HT] Advanced, A",True Avenue,KAREN L. O'NEAL,44.3,0,6.8,4,0,55.1,4,0.0
"[HT] Advanced, A",Young Gun,MARIS L. BURNS,31,0,0,12,21,64,5,0.0
"[HT] Advanced, A",Cambridge,JORDAN TAYLOR,44.7,0,11.2,16,0,71.9,6,0.0
"[HT] Advanced, A",Indy 500,ANDREA BAXTER,41,20,16.8,8,0,85.8,7,0.0
"[HT] Advanced, A",Unknown,Unknown,43.3,0,22.8,16,10,92.1,8,
"[HT] Advanced, A",Jefferson D'Aurois,KEVIN BAUMGARDNER,46.3,20,23.2,8,0,97.5,9,0.0
"[HT] Advanced, A",Tullibards Hawkwind,JORDAN LINSTEDT,35.3,0,MR,MR,MR,MR,MR,
"[HT] HT 3-Star, CIC3",Tivoli,JAMES ALLISTON,48.6,0,0,4,0,52.6,1,32.0
"[HT] HT 3-Star, CIC3",Goodknight,JOLIE WENTWORTH,58.5,0,0.4,0,0,58.9,2,29.0
"[HT] HT 3-Star, CIC3",Landioso,MACKENNA SHEA,56.4,0,5.2,4,4,69.6,3,26.0
"[HT] HT 3-Star, CIC3",Jireh,BECKY ROPER,68.1,0,14,4,3,89.1,4,0.0
"[HT] HT 3-Star, CIC3",The Alchemyst,JAMES ATKINSON,65.1,20,9.6,8,6,108.7,5,0.0
"[HT] HT 3-Star, CIC3",S.V.R. Ron,GINA O. MILES,72.3,40,14,4,0,130.3,6,0.0
"[HT] HT 3-Star, CIC3",Snap Decision II,JEANINE K. ALLRED,56.1,40,24,8,4,132.1,7,0.0
"[HT] HT 3-Star, CIC3",Rise Against,BUNNIE S. SEXTON,72,0,E,E,E,E,E,
"[HT] HT 3-Star, CIC3",Copycat Chloe,KELLY PUGH,73.5,0,E,0,0,E,E,
"[HT] HT 3-Star, CIC3",Jumbo's Jake,JAMES ALLISTON,45.9,60,E,4,0,E,E,
"[HT] HT 2-Star, CIC2",Mojo,JAMES ALLISTON,51.4,0,0,0,0,51.4,1,16.0
"[HT] HT 2-Star, CIC2",Man on a Mission III,JOLIE WENTWORTH,49.7,0,2,4,0,55.7,2,14.0
"[HT] HT 2-Star, CIC2",Over Easy,BARBARA CRABO,53.1,0,3.2,0,0,56.3,3,12.0
"[HT] HT 2-Star, CIC2",Fuerst Nino R,ANDREA BAXTER,48.6,0,2,8,0,58.6,4,0.0
"[HT] HT 2-Star, CIC2",Cavallino Cocktail,ZACHARY BRANDT,55.6,0,6.8,0,0,62.4,5,0.0
