Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[HT] Advanced, A",Parker,JAMES ALLISTON,31.9,0,2.8,0,0,34.7,1,12.0
"[HT] Advanced, A",London Town,ALEXIS A. HELFFRICH,30.2,0,10.8,0,0,41,2,10.0
"[HT] Advanced, A",Happenstance,JAMES ALLISTON,33.1,0,6.8,4,0,43.9,3,8.0
"[HT] Advanced, A",Ben,HELEN ALLISTON,39.1,0,5.6,0,0,44.7,4,0.0
"[HT] Advanced, A",Rise Against,BUNNIE S. SEXTON,34.9,0,7.2,4,0,46.1,5,0.0
"[HT] Advanced, A",Nonsensical,EMILEE LIBBY,38.7,0,8.4,0,2,49.1,6,0.0
"[HT] Advanced, A",RF Kinetic,ASHLYN DORSEY,35.7,0,10,4,3,52.7,7,0.0
"[HT] Advanced, A",Fleeceworks Royal,TAMRA SMITH,33.7,0,14,4,1,52.7,8,0.0
"[HT] Advanced, A",Charlie Tango,HEATHER MORRIS,30,60,E,E,E,E,E,
"[HT] Intermediate, OI",Castle Larchfield Purdy,LAUREN BILLYS,28.2,0,5.6,0,0,33.8,1,12.0
"[HT] Intermediate, OI",Sunsprite Madeira,JAMES ALLISTON,27.4,0,8.4,0,0,35.8,2,10.0
"[HT] Intermediate, OI",Rubicon,NIKKI AYERS,27,0,2.8,8,0,37.8,3,8.0
"[HT] Intermediate, OI",High Decorum,JULIE A. BOYER,38.3,0,0,0,0,38.3,4,6.0
"[HT] Intermediate, OI",Greenfort Othello,GINA O. MILES,34.8,0,1.6,4,0,40.4,5,4.0
"[HT] Intermediate, OI",Patagonia,AMBER PEARSON,37,0,5.6,0,1,43.6,6,0.0
"[HT] Intermediate, OI",Ringwood Justice,DEREK DI GRAZIA,29.1,0,12,0,4,45.1,7,0.0
"[HT] Intermediate, OI",Sunsprite Syrius,TAMRA SMITH,28.2,0,14,4,0,46.2,8,0.0
"[HT] Intermediate, OI",Ringwood Isabelle,BEA DI GRAZIA,32.8,0,11.2,0,3,47,9,0.0
"[HT] Intermediate, OI",Tullamore,MARIS L. BURNS,40.2,0,3.2,4,0,47.4,10,0.0
"[HT] Intermediate, OI",Wishbone,TAMRA SMITH,34.4,0,10.8,4,0,49.2,11,0.0
"[HT] Intermediate, OI",Cooley On The Rocks,MADDY MAZZOLA,38.3,0,17.2,4,5,64.5,12,0.0
"[HT] Intermediate, OI",RedRox Jazzman,DELANEY VADEN,33,20,12,0,0,65,13,0.0
"[HT] Intermediate, OI",Undercover,HILARY BURKEMPER,35.9,0,23.6,4,2,65.5,14,0.0
"[HT] Intermediate, OI",Whats That Sportsfield,ERIN R. KELLERHOUSE,28.3,0,8.4,3,2,47,15,0.0
"[HT] Intermediate, OI",Beetle Bailey,LISA PEECOOK,40.6,0,17.6,4,13,75.2,16,0.0
"[HT] Intermediate, OI",Glock Pullman,TAMRA SMITH,31.9,20,38,0,0,89.9,17,0.0
"[HT] Intermediate, OI",Vinetta M,MARISSA NIELSEN,E,,,,,E,
"[HT] Intermediate, OI",My Cheatin Heart,SIGOURNEY JELLINS,43.7,80,E,,,,E,
"[HT] Intermediate, OI",So Cool,MADDY MAZZOLA,39.1,20,R,,,,R,
"[HT] Intermediate, OI",Lord Lombardi,MEGAN TRAYNHAM,E,,,,,E,
"[HT] Intermediate, OI",Kingslee,MADISON TEMKIN,39.4,,W,,,,W,
"[HT] Preliminary, OP",Feisty Belle,JAMES ALLISTON,29.6,0,0,0,0,29.6,1,6.0
"[HT] Preliminary, OP",Diego,LAUREN LOPICCOLO,34.1,0,0,0,0,34.1,2,5.0
"[HT] Preliminary, OP",Cooley President,JAMES ALLISTON,30.5,0,4.8,0,0,35.3,3,4.0
"[HT] Preliminary, OP",Cooley Wick,MARIS L. BURNS,32.7,0,0,4,0,36.7,4,0.0
"[HT] Preliminary, OP",Marseille,LAUREN BILLYS,33.2,0,3.6,0,0,36.8,5,0.0
"[HT] Preliminary, OP",KF Escuda,JOLIE WENTWORTH,36.6,0,13.2,0,0,49.8,6,0.0
"[HT] Preliminary, OP",Flash Gordon,HOLLY FOX,33.9,0,18,0,0,51.9,7,0.0
"[HT] Preliminary, OP",americana,DAVID P. KOSS,34.8,0,22.4,0,1,58.2,8,0.0
"[HT] Preliminary, OP",Bastian,DAVID P. KOSS,27.7,0,26.4,0,6,60.1,9,
"[HT] Preliminary, OP",Gaelic Wealth,ASIA H. VEDDER,31.4,20,29.6,4,0,85,10,0.0
"[HT] Preliminary, OP",KF Peroni,JOLIE WENTWORTH,30.5,40,26,0,3,99.5,11,0.0
"[HT] Preliminary, OP",Virghazi,ALISHA ODELL,38.4,40,74,24,3,179.4,12,0.0
"[HT] Preliminary, OP",Cinzano,AMBER BIRTCIL,30.9,0,RF,,,RF,RF,
"[HT] Preliminary, OP",Be Real,JENNIFER MCFALL,36.6,,W,,,,W,
"[HT] Preliminary, OP",Charlotte,JENNIFER L. MCRONALD,33.2,0,RF,,,RF,RF,
"[HT] Preliminary, PH",Santana II,REBECCA BRAITLING,25.4,0,1.6,0,0,27,1,6.0
"[HT] Preliminary, PH",Woodford Reserve,ERIN R. KELLERHOUSE,24.4,0,1.6,0,1,27,2,5.0
"[HT] Preliminary, PH",Junit,DAVID ADAMO,27.8,0,1.6,0,0,29.4,3,4.0
"[HT] Preliminary, PH",Laguna Seca,TAMRA SMITH,30.5,0,0,0,0,30.5,4,3.0
"[HT] Preliminary, PH",Baron,JAMES ALLISTON,26.6,0,0,4,0,30.6,5,2.0
"[HT] Preliminary, PH",Ebay,HELEN ALLISTON,30.1,0,0,4,0,34.1,6,1.0
"[HT] Preliminary, PH",Pandora,JAMES ALLISTON,33.5,0,1.2,0,0,34.7,7,0.0
"[HT] Preliminary, PH",The Hokuspocus,TAMRA SMITH,33,0,4,0,0,37,8,0.0
"[HT] Preliminary, PH",Danseur Japur,ERIN D. GRANDIA,32.3,0,4.8,0,0,37.1,9,0.0
"[HT] Preliminary, PH",Greenfort Carnival,SHANNON P. LILLEY,37.2,0,0,0,0,37.2,10,0.0
