Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[HT] Advanced, A",Indy 500,ANDREA BAXTER,30.5,0,2.4,0,0,32.9,1,
"[HT] Advanced, A",Castle Larchfield Purdy,LAUREN BILLYS,30.8,0,4,0,0.4,35.2,2,
"[HT] Advanced, A",Woodford Reserve,ERIN R. KELLERHOUSE,30.2,0,6.8,4,1.2,42.2,3,
"[HT] Advanced, A",Dr. Hart,MADISON TEMKIN,31.4,0,7.2,4,0,42.6,4,
"[HT] Advanced, A",Laguna Seca,ANDREA BAXTER,37,0,6.8,4,0,47.8,5,
"[HT] Advanced, A",BSP Tuxedo,AUBURN EXCELL BRADY,35.5,0,19.6,4,0,59.1,6,
"[HT] Advanced, A",Undercover,HILARY BURKEMPER,32.2,20,12.8,8,6,79,7,
"[HT] Advanced, A",Paper Jam,JAMES ALLISTON,32.2,W,W,W,W,0,W,
"[HT] Advanced, A",Ebay,HELEN ALLISTON,26.3,0,MR,MR,MR,MR,MR,
"[HT] Intermediate, OI",Can Be Sweet,LAUREN BILLYS,27.1,0,6,0,0.4,33.5,1,
"[HT] Intermediate, OI",Ringwood Isabelle,BEA DI GRAZIA,28.8,0,6.4,0,0,35.2,2,
"[HT] Intermediate, OI",Counterpoint,LAUREN G. BURNELL,34.8,0,3.2,0,0,38,3,
"[HT] Intermediate, OI",Juniperus,AMBER BIRTCIL,33.8,0,4.8,0,0,38.6,4,
"[HT] Intermediate, OI",Stoneman,JENNIFER MCFALL,33.6,0,4,4,0,41.6,5,
"[HT] Intermediate, OI",Happiness Is,JOSH BARNACLE,31.8,0,4,8,0,43.8,6,
"[HT] Intermediate, OI",Ringwood Trendsetter,KELLY PUGH GOODMAN,35.9,0,0,8,0,43.9,7,
"[HT] Intermediate, OI",MVP Madbum,MADISON TEMKIN,37,0,9.2,0,0,46.2,8,
"[HT] Intermediate, OI",Master Class,TAREN HOFFOS,36.4,0,10,0,0,46.4,9,
"[HT] Intermediate, OI",Hawk's Cay,ALEXANDRA A. TETT TETT,43.8,0,6,4,0,53.8,10,
"[HT] Intermediate, OI",Stonehavens Royal Touch,TESS MOLINAR,33.8,0,18.4,4,0,56.2,11,
"[HT] Intermediate, OI",Addyson,KAYLA BIERMAN,36.8,0,18.8,8,0.4,64,12,
"[HT] Intermediate, OI",OBOS Quality Time,AUDREY SANBORN,34.5,0,32,0,0,66.5,13,
"[HT] Intermediate, OI",Ols Take Time,SYDNEY JOHNSON,30.7,20,16.8,8,0,75.5,14,
"[HT] Intermediate, OI",Drs Resolute,STEPHANIE GOODMAN,29.5,20,28,0,0.4,77.9,15,
"[HT] Intermediate, OI",Cooley By Design,GINA ECONOMOU,33.8,20,37.6,0,0.4,91.8,16,
"[HT] Intermediate, OI",Quintessence,MEGAN MCIVER,32.9,40,29.2,0,0,102.1,17,
"[HT] Intermediate, OI",Mine The Melody,BARBARA CRABO,31.3,60,R,R,R,R,R,
"[HT] Intermediate, OI",Look Again,ROBERTA ZAJAC,44.3,0,MR,MR,MR,MR,MR,
"[HT] Intermediate, OI",RevitaVet Calaro,JAMES ALLISTON,28.8,0,0,W,W,W,W,
"[HT] Intermediate, OI",Irish Pop,HELEN ALLISTON,32.5,0,10.8,W,W,W,W,
