Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[TEST] Starter, JSR:A",Just You Wait,MAYA BARRY,28.7,0,0,0,0,28.7,1,7.0
"[TEST] Starter, JSR:A",Little Bit of Trouble,MIA BEY,29.7,0,0,4,0,33.7,2,6.0
"[TEST] Starter, JSR:A",Paulank Pepper Pot,SUMMER NELSON,26.3,0,8,0,1.2,35.5,3,5.0
"[TEST] Starter, JSR:A",Uber,ANAIA BENEMANN,29,0,0,8,0,37,4,0.0
"[TEST] Starter, JSR:A",Pancake,SIERRA CLAYTON,39.3,0,0,0,0,39.3,5,0.0
"[TEST] Starter, JSR:A",Ashanti,AMELIA EVANS,39,0,0,4,0,43,6,0.0
"[TEST] Starter, JSR:A",Dwayne the Roxy Johnson,ALLIE M. NIELSEN,47.7,0,0,0,0,47.7,7,0.0
"[TEST] Starter, JSR:A",Bayside Boulevard,SUPRIYA I. BORGERT,34.7,20,0,4,0,58.7,8,0.0
"[TEST] Starter, JSR:A",Untouchable Rock,LYLA CAIRNS,32,20,0,WW,WW,0,0.0
"[TEST] Starter, JSR:A",Stella In Gold,KAYLEE DAVIS,33.7,20,RF,RF,RF,RF,RF,0.0
"[TEST] Starter, JSR:B",Keepin' Out of Mischief,TIVANA M. GARLICK,22,0,0,4,0,26,1,7.0
"[TEST] Starter, JSR:B",Mother Teresa,PENELOPE R. PEJCHA,26.3,0,0,0,1.2,27.5,2,6.0
"[TEST] Starter, JSR:B",Million Ways HE,MAYA SERTOVA,27.7,0,0,0,0,27.7,3,5.0
"[TEST] Starter, JSR:B",Fire and Rain,ALAYNA KONCZAL,28,0,0.8,0,0,28.8,4,0.0
"[TEST] Starter, JSR:B",Zinfandel,JOURNEY NILES,31.3,0,0,0,0,31.3,5,0.0
"[TEST] Starter, JSR:B",Lizzie,AUBREY RENNIA,31.7,0,0,0,0,31.7,6,0.0
"[TEST] Starter, JSR:B",Starting Over,ANGELA DOBEL,27.7,0,0,8,0,35.7,7,0.0
"[TEST] Starter, JSR:B",Devon Ridge Artemas,SAVVY CLAYTON,28.3,20,0.8,0,0,49.1,8,0.0
"[TEST] Starter, JSR:B",Take That,HARVEST RENFRO,32,0,20.4,0,2.8,55.2,9,0.0
"[TEST] Starter, JSR:B",Lausbub Z,BRYNN MIURA,24.7,20,R,R,RR,0,0.0
"[TEST] Starter, SSR",Liberty Song,PATRICIA CAMERON,27.3,0,0,0,0,27.3,1,7.0
"[TEST] Starter, SSR",Millie's Diamond Lad,STEFANIE GLADEN,28.7,0,0,0,0,28.7,2,6.0
"[TEST] Starter, SSR",El Guapo,IRIS PAN,29.7,0,0,4,0,33.7,3,5.0
"[TEST] Starter, SSR",Kodachrome,ERIN L. SIMMETH SIMMETH,32.7,0,7.2,0,1.2,41.1,4,0.0
"[TEST] Starter, SSR",Collin,CHRISTINA KALLITSANTSI,30.3,0,9.2,4,0,43.5,5,0.0
"[TEST] Starter, SSR",Twinkle Toes,SAYRE HELBLING-FRY,35.3,0,16.4,4,0,55.7,6,0.0
"[TEST] Starter, SSR",Newton WW,DOLORES NELSON,35.3,0,7.2,8,6,56.5,7,0.0
"[TEST] Starter, SSR",VC Caalif Elmy,SUSAN SHEEHAN,21.3,0,40,0,2.4,63.7,8,0.0
