Division,Horse,Rider,Dressage,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
Novice:OPEN,Leap of Faith XI,SUE BUXTON,28.40,80,65.60,0,22.00,196.00,130.0,--
Novice:RIDER JR,Ben Dancing,JESSICA M. DUFFY,27.90,0,0.00,0,0.00,27.90,17.0,--
Novice:RIDER JR,Pikture This,KIMBERLY STEINBUCH,27.40,0,0.00,4,0.00,31.40,26.0,--
Novice:RIDER JR,Silver Wings,LUCY VILLEGAS,27.40,0,0.00,4,1.00,32.40,35.0,--
Novice:RIDER JR,Benoit,SARAH BRICKEY,33.70,0,0.00,0,0.00,33.70,44.0,--
Novice:RIDER JR,Goldie Hawn,ALYSSA THUNEN,34.20,0,0.00,0,0.00,34.20,53.0,--
Novice:RIDER JR,Jet Legs,ALAINA HOWER,32.10,0,3.20,0,0.00,35.30,60.0,--
Novice:RIDER JR,Skyler,SARAH O'DEA,33.70,0,0.00,0,2.00,35.70,70.0,--
Novice:RIDER JR,Final Concept,ALEXANDRA M. KOLB,35.80,0,4.80,0,0.00,40.60,80.0,--
Novice:RIDER JR,Finnegan MacChip,CAMILLE POWELL,30.00,0,0.00,0,12.00,42.00,90.0,--
Novice:RIDER JR,Biscotty,SAMANTHA VALENTINE,36.80,0,0.00,4,2.00,42.80,100.0,--
Novice:RIDER JR,Avalon,BODHI CANFIELD,38.40,0,0.00,4,2.00,44.40,110.0,--
Novice:RIDER JR,Dimond Bay,LARA PORTE,34.20,0,0.00,0,13.00,47.20,120.0,--
Novice:RIDER JR,Press for Time,CHLOE LALONDE,33.20,0,0.00,4,11.00,48.20,130.0,--
Novice:RIDER JR,Tradewinds,SUMMER LESTER,28.90,0,0.00,4,16.00,48.90,140.0,--
Novice:RIDER JR,Fly,TIFFANY PARKS,33.20,0,5.60,0,14.00,52.80,150.0,--
Novice:RIDER JR,Jackpot,HANNA RAMLETH,39.50,0,8.40,8,0.00,55.90,160.0,--
Novice:RIDER JR,Daytona,ASHLEY BLACK,40.00,20,0.00,0,9.00,69.00,170.0,--
Novice:RIDER JR,Somebody To Love,ALEXIS DUBBS,37.90,20,12.80,0,13.00,83.70,180.0,--
