Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[TEST] Starter, JSTART",FE Uncle Ben,NATALIE DEITCHER,26,0,0,0,0.4,26.4,1,7.0
"[TEST] Starter, JSTART",Painted Princess,CHELSEA MAYON,30.3,0,0,0,0,30.3,2,6.0
"[TEST] Starter, JSTART",Armani,MIA BUDELLI,27.3,0,0,4,0,31.3,3,5.0
"[TEST] Starter, JSTART",,SAVVY CLAYTON,31.7,0,0,0,0,31.7,4,0.0
"[TEST] Starter, JSTART",Secret Sauce,KAITLYNN RAMOS,32.7,0,0,0,1.6,34.3,5,3.0
"[TEST] Starter, JSTART",BSP Levity,GRACE TURNER,31.7,0,0,4,0,35.7,6,2.0
"[TEST] Starter, JSTART",Columbia BF,MAKENNA ROWLAND,30.3,0,0,8,0,38.3,7,0.0
"[TEST] Starter, JSTART",Connect the Dots,CORA FITZ,36.7,0,2,0,0,38.7,8,0.0
"[TEST] Starter, JSTART",Spicy Tuna Roll,MAYA SERTOVA,40.3,0,0,0,0,40.3,9,0.0
"[TEST] Starter, JSTART",Foxens Little Treat,ELISA KARNAVY,21.7,20,0,0,0,41.7,10,0.0
"[TEST] Starter, JSTART",Santa Ana Que Dira,SOFIA BOUKHARI,39.3,0,0.8,4,0,44.1,11,0.0
"[TEST] Starter, JSTART",Cloud Nine,EMMA-NOELLE ESCHELMAN,25.7,20,0,0,0,45.7,12,0.0
"[TEST] Starter, JSTART",Theodore the Wonder Horse,BRYNN MIURA,33.7,0,14,0,0,47.7,13,0.0
"[TEST] Starter, JSTART",Throw A Tizzy Fit,KAITLYN FAVERO,36,0,0,12,0,48,14,0.0
"[TEST] Starter, JSTART",Little Bit of Trouble,MIA BEY,36.3,20,0,4,0,60.3,15,0.0
"[TEST] Starter, JSTART",Mo,MATHILDE SALLEMBIEN,45.3,20,3.2,0,0,68.5,16,0.0
"[TEST] Starter, JSTART",Mother Teresa,PENELOPE R. PEJCHA,31,40,0,0,0,71,17,0.0
"[TEST] Starter, JSTART",Kentucky Bourbon,NOELLE HENRICH,31.3,60,0,0,0,91.3,18,0.0
"[TEST] Starter, JSTART",Butternut Squash,EVELYN BOMBEN,30,60,12.8,4,0,106.8,19,0.0
"[TEST] Starter, JSTART",Lacey Monet,ADDISON SMITH,36,60,E,12,0,E,E,0.0
"[TEST] Starter, JSTART",Pancake,SIERRA CLAYTON,42.3,----,4,TE,TE,TE,E,0.0
"[TEST] Starter, JSTART",Fatty Lumpkin,AMELIA EVANS,44.7,40,TE,0,0,TE,TE,0.0
"[TEST] Starter, START",Zero Gravity,ASHLEY COX,27.3,0,0,0,0,27.3,1,7.0
"[TEST] Starter, START",Bella Mia Apache,EILEEN W. MORGENTHALER,28.7,0,0,4,0,32.7,2,6.0
"[TEST] Starter, START",Lightning,GINA O. MILES,25,0,0,8,0,33,3,5.0
"[TEST] Starter, START",Devonshire Cream,LIA COLOMBI,29.3,0,0,4,0,33.3,4,4.0
"[TEST] Starter, START",Farrah Well MTR,NICOLAS SALLEMBIEN,30.3,0,0,4,0,34.3,5,3.0
"[TEST] Starter, START",Pelos,ANTOINE AUBRIOT,30.7,0,0,4,0,34.7,6,2.0
"[TEST] Starter, START",Improvisor,ISABELLE J. FRANCHINI,35.3,0,0,0,0,35.3,7,0.0
"[TEST] Starter, START",Alimony,NATALIE HAMILL,34.7,0,0,0,2.8,37.5,8,0.0
"[TEST] Starter, START",Buffalo Bill Cody,KARI DELEEUW,31,0,0,4,2.8,37.8,9,2.0
"[TEST] Starter, START",Chef's Kiss,JACQUELINE BLAIS,30.3,0,0,12,0,42.3,10,0.0
"[TEST] Starter, START",Rodrigue Du Granit,MOHAMED MOSTAFA,33.7,0,0,12,0,45.7,11,0.0
"[TEST] Starter, START",Overzealous,SAYRE HELBLING-FRY,34.7,0,0,8,3.6,46.3,12,0.0
"[TEST] Starter, START",Chromatic,VICKY Y. TENG,35.7,20,0,4,0,59.7,13,0.0
"[TEST] Starter, START",Tower Furnace Hero,AMELIA MAZER,29.3,20,0,8,2.4,59.7,14,0.0
"[TEST] Starter, START",Winter Star,KIRA NIYOGI,36.7,20,0,4,2.4,63.1,15,0.0
"[TEST] Starter, START",Cornet Star,JENNIFER WANG,31.7,20,0,12,17.6,81.3,16,0.0
"[TEST] Starter, START",La Una,SALH M. ABDALLAH,45.3,20,0,8,10,83.3,17,0.0
"[TEST] Starter, START",Dylan,SHARYN SIMMONS,31.3,----,20,E,E,E,E,0.0
"[TEST] Starter, START",Mr Stud Muffin,MEGAN R. BOLENTINI,36.7,20,R,8,5.2,R,R,0.0
"[TEST] Starter, START",Hemsworth DF,MEGAN GUYAN,29.7,0,TE,8,1.2,TE,TE,0.0
"[TEST] Starter, START",,CHANTELLE STROMOSKI,33.7,----,0,RF,RF,RF,RF,0.0
"[TEST] Starter, START",Rionach,MICHELLE LEAHY,33.3,0,R,8,6.4,R,R,0.0
"[TEST] Starter, START",Tennessee Whiskey,CARYN E. LUCIDO,40.3,0,TE,0,0.4,TE,TE,0.0
"[HT] HT 4-Star, CCI4-S",Disco Traveler,MOLLY DUDA,34.4,0,14.4,8,0.8,57.6,1,32.0
"[HT] HT 4-Star, CCI4-S",Tarantino 54,SOPHIA L. CLICK,33.9,0,21.6,8,1.2,64.7,2,0.0
"[HT] HT 3-Star, CCI3-S",Kynan,TAMRA SMITH,27.4,0,0,0,0,27.4,1,16.0
"[HT] HT 3-Star, CCI3-S",Elle,MEGAN MCIVER,31,0,1.6,0,0,32.6,2,14.0
"[HT] HT 3-Star, CCI3-S",Lillet 3,TAMRA SMITH,29.6,0,0,4,0,33.6,3,12.0
"[HT] HT 3-Star, CCI3-S",Call Me Rudi,HELEN ALLISTON,28.1,0,8.8,0,0,36.9,4,10.0
"[HT] HT 3-Star, CCI3-S",Stoneman,TAYLOR MCFALL,39.1,0,0.8,0,0,39.9,5,0.0
"[HT] HT 3-Star, CCI3-S",Ringwood Adios Amigo,ERIN R. KELLERHOUSE,36.4,0,7.2,0,0,43.6,6,0.0
"[HT] HT 3-Star, CCI3-S",Kapitan Sparrow XII,MEGAN MCIVER,35,0,12.8,0,0,47.8,7,0.0
"[HT] HT 3-Star, CCI3-S",Igor B,MEGAN MCIVER,31.6,0,19.2,0,0,50.8,8,0.0
"[HT] HT 3-Star, CCI3-S",Spiro P,MEGAN N. SYKES,30.2,0,21.2,4,0,55.4,9,0.0
"[HT] HT 3-Star, CCI3-S",Carlingfords Hes a Clover,MOLLY DUDA,31.4,0,16.4,12,0,59.8,10,16.0
"[HT] HT 3-Star, CCI3-S",Bon Vivant GWF,ERIN R. KELLERHOUSE,31.3,20,11.6,0,0,62.9,11,0.0
"[HT] HT 3-Star, CCI3-S",Czechers,KRISTIN JOLY,37.4,0,17.6,8,2,65,12,0.0
"[HT] HT 3-Star, CCI3-S",Baral Villester,HAILEY BLACKBURN,37.4,20,10,8,0,75.4,13,0.0
"[HT] HT 3-Star, CCI3-S",Kismet Klosterbrau,JOLIE WENTWORTH,38.8,----,W,W,W,W,W,0.0
"[HT] HT 3-Star, CCI3-S",Oakley's Hunt SE,LEAH M. FORQUER,34.8,----,12,E,E,E,E,0.0
"[HT] HT 3-Star, CCI3-S",Mameluke,ASIA H. VEDDER,35.4,40,R,12,0,R,R,0.0
"[HT] Intermediate, OI",Elwenda DP,STEPHANIE GOODMAN,25,0,18.8,0,0.8,44.6,1,12.0
"[HT] Intermediate, OI",Lord Limon,STEPHANIE GOODMAN,34.6,0,25.6,8,1.6,69.8,2,0.0
"[HT] Intermediate, OI",HH Ontario,MICKAYLA HOWARD,35.9,0,24,12,0,71.9,3,0.0
"[HT] Intermediate, OI",Cooley By Design,GINA ECONOMOU,36.4,0,RF,----,RF,RF,RF,0.0
"[HT] Intermediate, OI",No App for That,SAVANNAH C. GWIN,34.3,60,R,----,R,R,R,0.0
"[HT] HT 2-Star, CCI2-S",Get Wild,GABRIELLA RINGER,23.4,0,0,0,0,23.4,1,8.0
"[HT] HT 2-Star, CCI2-S",Clearsky,LAUREN BILLYS SHADY,26.4,0,4,0,0,30.4,2,7.0
"[HT] HT 2-Star, CCI2-S",Renaissance Man,JAMES ALLISTON,29.1,0,0,4,0,33.1,3,6.0
"[HT] HT 2-Star, CCI2-S",Modesto RE,GREYLIN M. BOOTH,30.1,0,0,4,0,34.1,4,8.0
"[HT] HT 2-Star, CCI2-S",HMR Rolan,JAMES ALLISTON,30.2,0,0,4,0,34.2,5,4.0
"[HT] HT 2-Star, CCI2-S",EPA Mo Chara,LAUREN BEBB,33,0,1.2,0,0,34.2,6,7.0
"[HT] HT 2-Star, CCI2-S",WS Radagast,HALEY DWIGHT,30.8,0,0,4,0,34.8,7,0.0
"[HT] HT 2-Star, CCI2-S",Dealas,KAYLAWNA SMITH-COOK,32,0,3.2,0,0,35.2,8,0.0
"[HT] HT 2-Star, CCI2-S",Pistol Annie,JOSEY THOMPSON,35.5,0,0,0,0.4,35.9,9,0.0
"[HT] HT 2-Star, CCI2-S",Calcourt Legend,KENDRA MITCHELL,30.9,0,1.6,4,0,36.5,10,0.0
"[HT] HT 2-Star, CCI2-S",Cartaleyo JF,MARGOT E. CHANDLER,29.5,0,3.6,4,0.4,37.5,11,6.0
"[HT] HT 2-Star, CCI2-S",Camelot PJ,ANDREA BAXTER,33.2,0,6,0,0,39.2,12,0.0
"[HT] HT 2-Star, CCI2-S",Geronimo,PAYTON PIEARCY,33.5,0,0,8,0,41.5,13,5.0
"[HT] HT 2-Star, CCI2-S",Justiz-ESH,INDIA MCEVOY-CHISHOLM,30.6,0,3.6,4,4.8,43,14,4.0
"[HT] HT 2-Star, CCI2-S",FE Coco Cassana,ANYA OSTROVSKY,33,0,8,4,0,45,15,3.0
"[HT] HT 2-Star, CCI2-S",The Big Easy,ANDREA BAXTER,35,0,6.4,4,0,45.4,16,0.0
"[HT] HT 2-Star, CCI2-S",Adventure,ANDREA BAXTER,37.6,0,10.8,4,0,52.4,17,0.0
"[HT] HT 2-Star, CCI2-S",Moto GP,LUNA SOUCHARD,32.6,0,6,8,6,52.6,18,0.0
"[HT] HT 2-Star, CCI2-S",Catalina PJ,SIGOURNEY JELLINS,36,0,9.6,8,0,53.6,19,0.0
"[HT] HT 2-Star, CCI2-S",Mississipi,AMBER BIRTCIL,29.3,20,13.6,4,0,66.9,20,0.0
"[HT] HT 2-Star, CCI2-S",Dassett Endeavour,CHLOE L. KISCHUK,29.4,----,0,RF,RF,RF,RF,0.0
"[HT] HT 2-Star, CCI2-S",Dhaulagiri,GRACE BROWNRIGG,32.5,----,12,R,R,R,R,0.0
"[HT] HT 2-Star, CCI2-S",Frogadt,ANNIEPEARL E. STROUD,37.3,0,TE,12,0.8,TE,TE,0.0
